open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,predicted_action,reward
664.05,664.05,665.8843572661725,669.4092705852516,651.15,1,662.2,458316.0,669.5779999999994,0,0,0,228838.34510838834,229477.65489161166,0,go_long,-2.26881662
0.3596,0.365,0.338232047539888,0.3321487046780413,0.3596,0,0.3616,4695.0,0.3285120000000034,1,0,0,2354.009983361065,2340.9900166389352,1,go_long,0.005616
0.3577,0.3622,0.3466296269683699,0.3456881140673135,0.357,0,0.3605,1899.0,0.3463360000000033,0,0,0,953.2017543859649,945.7982456140353,1,go_long,-1.523928
490.8,492.65,494.7157323093211,492.24557296938247,482.05,0,487.75,670182.0,498.8939999999987,0,0,1,334046.5694139288,336135.4305860713,0,go_long,2.95272937
237.2,237.3,239.19994904358632,239.9381201989113,235.1,1,235.1,204747.0,240.15999999999872,0,0,1,101918.31399534194,102828.68600465807,0,go_long,9.72869774
260.5,260.5,260.8093333973422,261.90502160941145,252.05,1,256.1,250840.0,262.0199999999988,0,0,1,124351.76926054976,126488.23073945024,0,go_long,-0.68932167
230.55,245.4,231.84435098321904,229.9842920499744,230.4,0,244.45,1223899.0,229.1739999999987,0,0,0,629857.0748421053,594041.9251578947,0,go_long,0.30190373
837.7,837.7,862.1709533823985,908.937853185097,697.8,1,697.8,192638.0,920.8580000000017,1,0,1,87543.33858677956,105094.66141322044,0,go_long,-1.117855
235.75,236.75,238.38763593096027,240.2581577467303,233.9,1,235.6,183830.0,240.97599999999875,0,0,1,91885.749443089,91944.25055691099,0,go_long,-0.15158223
0.4924,0.5213,0.4884890133918432,0.4834480266285396,0.4924,0,0.5093,5482.0,0.4831560000000037,0,0,0,2787.2442847159828,2694.7557152840172,1,go_long,0.035786
245.7,246.05,247.1665585302113,247.6860636249465,240.9,1,242.2,426315.0,247.3339999999987,0,0,0,211628.3931133429,214686.6068866571,0,go_long,-0.24690855
210.95,211.5,213.33559763489305,215.14011691676225,207.15,1,207.5,577855.0,216.2999999999987,0,0,1,286545.3757916119,291309.6242083881,0,go_long,1.49931637
0.4989,0.5104000000000001,0.4909109248432212,0.479773091128875,0.4976,1,0.51,7716.0,0.4736160000000034,0,0,0,3900.4460303300616,3815.553969669937,1,go_long,-0.728916
232.7,232.9,232.6356887313605,234.6550229635878,219.85,1,226.75,3663936.0,235.2199999999986,0,0,1,1808243.5259549462,1855692.4740450538,0,go_long,-0.70271875
259.9,260.1,260.7669441761582,264.0740210657696,254.0,1,255.9,531916.0,265.06999999999886,1,0,1,263895.5106630477,268020.4893369523,0,go_long,-0.74846327
0.5802,0.583,0.5633588336315406,0.5587049675138038,0.5759000000000001,0,0.5766,1304.0,0.5591320000000033,0,0,0,649.9709543568464,654.0290456431536,1,go_long,-1.450962
0.72,0.7351000000000001,0.7100257082152598,0.7007522050092366,0.72,0,0.7351000000000001,1208.0,0.7017840000000031,0,0,0,610.2678853687032,597.7321146312968,1,go_long,-1.856606
108.1,108.1,106.47818335478767,108.32504361705556,89.5,1,92.95,1486626.0,109.16799999999874,0,0,1,687301.1027107685,799324.8972892314,0,go_long,14.92430286
0.9199,0.93,0.8899808119382999,0.8770807035516668,0.9098,0,0.9293,1665.0,0.8750760000000042,0,0,0,836.731829980532,828.2681700194679,1,go_long,-2.700259
1.179,1.2225,1.1122842522649556,1.0816821760753068,1.172,0,1.196,6757.0,1.076692000000003,1,0,0,3402.6829473684206,3354.3170526315794,1,go_long,-4.125822
1.2542,1.2542,1.2701843976031666,1.2852983758594287,1.2344,1,1.2344,615.0,1.2884920000000022,0,0,1,305.053443703287,309.946556296713,1,go_long,1.102326
1.1162,1.1524,1.0647941719067624,1.0315682985668213,1.1162,0,1.1234,134.0,1.0191080000000023,0,0,0,67.21539560635827,66.78460439364173,1,go_long,-1.212651
0.4159,0.444,0.4116355983004517,0.4062560641062291,0.4136,0,0.4391,4183.0,0.4012840000000039,0,0,0,2148.251812865497,2034.7481871345028,1,go_long,-1.420946
1.2237,1.224,1.2256466565237294,1.2109484096362029,1.22,1,1.22,27.0,1.2071920000000018,0,0,0,13.479559684085608,13.520440315914394,1,go_long,-1.699634
0.8467,0.855,0.8268214905864298,0.8195402223914168,0.8451000000000001,0,0.8458,850.0,0.814467999999994,0,0,0,424.7740029542097,425.2259970457903,1,go_long,-2.165042
792.15,801.85,823.6162333010651,854.6272785774794,682.55,1,729.75,376010.0,857.9419999999997,0,0,1,180296.53558052433,195713.46441947564,0,go_long,4.4568561
0.16904,0.17259,0.1633118248516825,0.1607129136442426,0.16332,1,0.16354,65351.0,0.1598703999999947,0,0,0,32135.133020626618,33215.866979373386,1,go_long,-3.1783354
0.1266,0.1276,0.1256080100672096,0.1245735636729036,0.12649,0,0.1276,7537.0,0.1241623999999946,0,0,0,3783.3249409913456,3753.6750590086544,1,go_long,-3.11403351
0.13903,0.13959,0.1373287293631018,0.1363007892694205,0.13877,0,0.13921,22551.0,0.1360391999999946,0,0,0,11282.79438614146,11268.20561385854,1,go_long,0.75699269
0.3317,0.3421,0.3250762466066428,0.3214992874224913,0.3315,0,0.3416,8928.0,0.3204719999999942,0,0,0,4529.637308777663,4398.362691222337,1,go_long,-0.580234
0.3685,0.3703,0.3644080239350278,0.3604711970932377,0.3657,1,0.366,3921.0,0.3587199999999941,1,0,0,1953.8270932607218,1967.1729067392787,1,go_long,0.68403
0.11903,0.12022,0.1181394247322311,0.1174784258903025,0.11903,0,0.12018,2058.0,0.1178759999999949,0,0,0,1033.9469085740564,1024.0530914259439,1,go_long,-1.31546547
0.1542,0.1548,0.1529468206003856,0.1517636912858066,0.1541,0,0.1548,5874.0,0.1516319999999949,0,0,0,2942.702912621359,2931.2970873786408,1,go_long,2.10943947
0.1439,0.1445,0.1435909824856844,0.1432368845868864,0.1438,0,0.1445,8058.0,0.1431079999999948,0,0,0,4037.382108183079,4020.617891816921,1,go_long,-0.60885257
0.195,0.1999,0.1943247071685375,0.1935366868166559,0.1947,0,0.1987,20992.0,0.1932239999999952,0,0,0,10594.64160528321,10397.35839471679,1,go_long,2.82240582
0.2174,0.2175,0.218108856316403,0.2218435456254428,0.114,1,0.2046,98477.0,0.2232039999999955,0,0,1,47745.009952606626,50731.99004739336,1,go_long,0.32043898
0.2866,0.2907,0.2832709465267225,0.2812538951441988,0.2866,0,0.2901,14195.0,0.2801439999999955,0,0,0,7140.57482226461,7054.425177735392,1,go_long,4.28569285
