,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,ema-12 (exit),sma-07 (exit),close (exit),high (exit),sma-compare (exit),short-large-rl (exit),ema-26 (exit),low (exit),long-large-rl (exit),short_kdj (exit),volume (exit),sma-05 (exit),short-small-rl (exit),sma-25 (exit),long-small-rl (exit),mean-grad-hist (exit),open (exit),long_jcrosk (exit)
100,LPT/USDT:USDT,2023-08-11 10:00:00+00:00,first_buy,roi,5.842,5.99,5.770800772249236,5.599178093844531,5.765,1,5.791,4401646.8,0,False,5.793199999999882,5.786428571428323,5.664359999999817,25.04774212,0.4115206585029216,0,go_long,go_long,go_short,go_short,2023-08-12 23:45:00+00:00,6.907538117562659,7.125571428571176,7.334,7.4,0,go_short,7.081021279867651,7.206,go_short,False,4286168.0,7.162399999999877,go_long,6.950479999999812,go_long,0,7.237,0
99,LPT/USDT:USDT,2023-06-30 17:00:00+00:00,first_buy,roi,4.708,4.942,4.620907044005325,4.559882623373115,4.696,0,4.806,444117.6,0,False,4.679599999999858,4.641571428571188,4.568599999999815,25.39439219,0.4157254691525915,0,go_long,go_long,go_short,go_short,2023-08-11 09:45:00+00:00,5.583832341352093,5.779428571428324,5.842,5.866,0,go_short,5.76712818538546,5.772,go_short,False,1722366.0,5.7889999999998825,go_long,5.629919999999817,go_long,0,5.804,0
98,LPT/USDT:USDT,2023-06-10 04:30:00+00:00,first_buy,roi,4.427,4.427,4.321563114866152,4.446342534992795,3.151,1,3.525,716168.9,0,False,4.230199999999839,4.303857142856905,4.492479999999817,23.78567453,0.387411960827955,1,go_long,go_long,go_short,go_short,2023-06-30 16:45:00+00:00,4.540193233242964,4.600999999999759,4.71,4.739,0,go_short,4.58725377927902,4.626,go_short,False,256656.6,4.625599999999858,go_long,4.556879999999815,go_long,0,4.674,0
144,COMP/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,roi,38.77,38.85,39.96633945427689,40.88473631456897,34.35,1,37.16,155317.885,0,False,39.23400000000097,39.67857142856827,41.229999999998725,24.30622925,0.3958928159318966,1,go_long,go_long,go_short,go_short,2024-08-23 07:30:00+00:00,50.95011841129173,51.36142857142551,51.54,51.56,0,go_short,51.17307160200307,51.35,go_short,False,2385.031,51.44200000000101,go_long,50.76639999999865,go_long,1,51.46,0
33,LDO/USDT:USDT,2023-05-05 12:45:00+00:00,first_buy,roi,1.8669,1.8707,1.8685355514939739,1.8748059178901768,1.81,1,1.8464,5871113.0,0,False,1.8657999999999695,1.8689857142857147,1.8727320000000045,20.83167452,0.34152842242643583,1,go_long,go_long,go_short,go_short,2023-12-27 14:30:00+00:00,2.527522654383272,2.5966428571428657,2.6337,2.691,0,go_short,2.5785234656873293,2.6201,go_short,False,1892013.0,2.6159399999999957,go_long,2.5126920000000186,go_long,0,2.6422,1
66,1000SHIB/USDT:USDT,2023-01-22 07:30:00+00:00,second_buy,roi,0.012097,0.012107,0.012080467533640919,0.012064601942775819,0.012055,1,0.012077,65479577.0,0,False,0.012102000000000073,0.012097285714285835,0.012040680000000048,24.40104228,0.3982039925140019,0,do_nothing,go_short,do_nothing,do_nothing,2023-06-05 16:00:00+00:00,0.008440002413813935,0.008373571428571562,0.007988,0.008378,1,do_nothing,0.008377750133135372,0.007988,do_nothing,False,1384661566.0,0.008332000000000048,go_short,0.00845700000000005,do_nothing,1,0.008374999999999999,0
117,COMP/USDT:USDT,2021-05-23 09:00:00+00:00,first_buy,roi,330.49,331.95,348.9454806613016,362.2244680955206,315.51,1,325.65,6787.974,0,False,337.6500000000013,342.5100000000003,366.10559999999896,23.99282943,0.3915180542903168,1,go_long,go_long,go_short,go_short,2021-05-26 08:00:00+00:00,435.9869702879364,450.03285714285727,452.7,453.56,0,go_short,444.19144263027823,447.54,go_short,False,829.287,451.4760000000021,go_long,434.70799999999906,go_long,1,453.14,1
31,LDO/USDT:USDT,2023-01-14 01:15:00+00:00,first_buy,roi,2.1923,2.3179,2.1505466142350245,2.110307156033125,2.1849,0,2.2785,4057931.0,0,False,2.1693599999999917,2.1519142857142914,2.1030600000000015,22.45648714,0.3787578225936102,0,go_long,go_long,go_short,go_short,2023-02-18 16:45:00+00:00,3.1097839109023195,3.13391428571428,3.1277,3.1354,0,go_short,3.127034103214771,3.112,go_short,False,542583.0,3.129099999999994,go_long,3.111672000000003,go_long,0,3.118,0
30,LDO/USDT:USDT,2022-11-09 21:15:00+00:00,first_buy,roi,0.991,0.993,1.0008958896133386,1.033325703294235,0.9590000000000001,1,0.96,559318.0,0,False,0.9775999999999915,0.9857142857142873,1.0378799999999988,24.66242972,0.40737089828161255,1,go_long,go_long,go_short,go_short,2023-01-04 06:30:00+00:00,1.2455094994663045,1.2644714285714351,1.2781,1.29,0,go_short,1.2595889073859985,1.2662,go_short,False,2033275.0,1.2681999999999936,go_long,1.2420679999999988,go_long,0,1.2675,1
67,1000SHIB/USDT:USDT,2023-06-05 16:15:00+00:00,second_buy,roi,0.008006,0.008106,0.008333634728037623,0.00841415038316105,0.007711999999999999,1,0.008091,2093964141.0,0,False,0.008254600000000048,0.008318714285714419,0.00843992000000005,24.17700172,0.3945003342967073,1,do_nothing,go_short,do_nothing,do_nothing,2023-06-10 04:15:00+00:00,0.007610155913944805,0.007265428571428703,0.007287,0.007311,0,do_nothing,0.007444518770422644,0.007212,do_nothing,False,405976323.0,0.007300400000000054,go_short,0.007688520000000043,do_nothing,1,0.0072569999999999996,0
