,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),open (exit),close (exit),sma-07 (exit),mean-grad-hist (exit),volume (exit),sma-compare (exit),short_kdj (exit),ema-12 (exit),sma-25 (exit),ema-26 (exit),low (exit),long_jcrosk (exit),sma-05 (exit),high (exit)
2244,AAVE/USDT:USDT,2021-04-25 21:00:00+00:00,first_buy,trailing_stop_loss,338.574,338.616,339.27480061145707,340.5646015254523,327.831,1,330.226,23395.5,1,False,337.11000000000115,337.81628571428575,344.289200000001,9.91787872,0.2999316085272718,1,445.946,431.815,447.52928571428595,1,13465.6,1,False,447.86315553670136,451.4461600000009,447.44780063920655,431.684,0,445.4532000000011,446.469
2243,AAVE/USDT:USDT,2021-04-24 11:00:00+00:00,first_buy,trailing_stop_loss,323.912,327.292,329.90805141414745,332.9514908275256,321.031,1,321.108,4984.8,0,False,325.89320000000095,328.0814285714286,335.5316800000011,0.88237533,0.02745034881225687,1,340.944,338.736,339.5814285714286,0,2927.4,1,False,341.3916896474885,344.860640000001,340.9200370862674,337.0,0,338.77620000000115,341.168
2242,AAVE/USDT:USDT,2021-04-24 02:15:00+00:00,first_buy,trailing_stop_loss,326.063,326.556,329.209639492134,332.42866846266924,320.64,0,320.925,8077.8,1,False,325.8456000000009,325.7268571428572,334.24700000000115,0.02325879,0.0007240272355362985,0,325.112,324.145,329.839,1,4163.8,1,False,333.89897009372766,336.17512000000113,331.50806076217424,323.263,0,328.70980000000094,328.175
2241,AAVE/USDT:USDT,2021-04-23 13:30:00+00:00,first_buy,trailing_stop_loss,333.867,335.953,335.1162057885394,334.51483470586925,323.801,1,327.443,10224.1,0,False,334.4570000000009,336.1405714285716,330.86316000000096,-0.49842643,-0.015215724607741624,0,327.99,326.149,327.19114285714295,0,2712.7,1,False,333.3489619396828,335.0990800000011,330.7159375816129,325.992,0,326.73720000000094,329.926
2240,AAVE/USDT:USDT,2021-04-23 08:00:00+00:00,first_buy,trailing_stop_loss,319.775,322.093,326.49143227809355,334.4519753011614,311.624,1,314.053,14972.3,0,False,324.39960000000093,324.58042857142885,331.495320000001,1.05382488,0.0335223294271347,1,332.812,333.804,338.9134285714287,1,10626.7,0,False,335.0805814823388,331.05168000000094,336.51133411372837,328.44,0,336.4644000000009,335.178
2239,AAVE/USDT:USDT,2021-04-23 05:30:00+00:00,first_buy,trailing_stop_loss,326.779,329.398,334.67068766157144,344.53924654895667,317.532,0,329.267,13346.0,0,False,330.295000000001,332.2807142857145,345.2694400000009,-1.4659435,-0.0444826189074044,1,327.152,320.083,326.87814285714313,1,13593.7,0,False,336.0838933252543,332.765160000001,328.7529654195651,317.151,1,326.98800000000097,327.655
2238,AAVE/USDT:USDT,2021-04-23 02:30:00+00:00,first_buy,trailing_stop_loss,339.711,344.376,351.4929138444136,362.20308497830104,303.0,1,326.717,54911.6,0,False,343.77000000000106,347.1798571428575,361.64448000000067,-0.6236749,-0.019072879524896703,1,328.215,326.889,334.1630000000002,1,8585.6,1,False,345.7610262728732,346.8878800000009,335.6531763273117,325.489,0,330.910200000001,333.341
2237,AAVE/USDT:USDT,2021-04-23 01:45:00+00:00,first_buy,trailing_stop_loss,354.896,356.678,360.26627026008765,368.29289188018555,344.867,1,345.799,8077.5,0,False,355.01620000000105,358.9771428571432,367.99832000000066,-1.3982264,-0.04039601515482412,1,351.744,339.76,352.3644285714289,1,14918.7,1,False,365.0419717765651,364.0734000000007,355.99762545248876,339.695,0,349.3560000000011,355.974
2236,AAVE/USDT:USDT,2021-04-22 21:00:00+00:00,first_buy,trailing_stop_loss,376.14,377.05,385.5286124549721,390.87035724452284,361.826,1,368.711,21010.6,0,False,381.0180000000011,384.6060000000004,395.3880400000008,-2.12117335,-0.057522504749198414,1,354.707,354.864,361.0118571428575,1,6781.6,1,False,370.0924032306004,369.8371200000007,362.896683034649,348.2,0,360.3068000000011,355.883
2235,AAVE/USDT:USDT,2021-04-22 18:00:00+00:00,first_buy,trailing_stop_loss,390.717,395.233,399.8722110620945,399.23410473499325,386.169,1,387.0,14430.8,0,False,396.41080000000113,400.6774285714291,402.44000000000085,-1.5532313,-0.04009062611595146,1,378.926,375.74,386.99385714285756,1,13300.2,1,False,392.64310582408467,396.86552000000074,388.586360174058,373.479,0,386.3524000000011,384.617
