,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),volume (exit),ema-12 (exit),mean-grad-hist (exit),sma-07 (exit),imit-enter-short (exit),nlp-exit-short (exit),close (exit),imit-exit-short (exit),long_jcrosk (exit),nlp-enter-short (exit),sma-05 (exit),ema-26 (exit),open (exit),short_kdj (exit),nlp-enter-long (exit),high (exit),sma-25 (exit),low (exit)
89,AAVE/USDT:USDT,2024-03-16 14:00:00+00:00,first_buy,trailing_stop_loss,122.82,122.92,124.26508734189596,125.60318267568749,121.61,1,121.79,43631.0,0,False,123.00399999999745,123.52142857142825,126.36399999999725,-0.39385265,-0.053702834986104175,go_long,go_long,go_long,go_long,go_long,83310.0,120.98992882020696,1,119.28428571428587,go_long,go_long,117.81,go_long,0,go_long,118.88599999999755,119.52359052652251,118.47,False,go_long,118.54,121.05599999999717,117.57
88,AAVE/USDT:USDT,2024-02-21 10:00:00+00:00,first_buy,trailing_stop_loss,90.2,90.2,90.86217131655457,91.55307139734624,89.49,1,89.61,37912.0,0,False,90.49399999999801,90.61857142857127,91.72159999999705,2.28618525,0.3181984714460751,go_long,go_long,go_long,go_long,go_long,2923.0,125.90823728974249,1,123.99571428571396,go_long,go_long,122.7,go_long,0,go_long,123.48399999999745,124.71510322224069,124.28,False,go_long,124.28,126.63959999999724,122.65
87,AAVE/USDT:USDT,2024-01-23 09:30:00+00:00,first_buy,trailing_stop_loss,89.05,89.29,90.2818934128674,91.36632341437901,86.51,1,86.61,89408.0,0,False,89.12399999999825,89.67714285714283,92.01799999999717,0.18806819,0.024091852239572956,go_long,go_long,go_long,go_long,go_long,15478.0,91.70851710913394,1,90.82142857142841,go_long,go_long,90.32,go_long,0,go_long,90.737999999998,91.08983882865539,90.52,False,go_long,90.65,91.85359999999704,90.21
86,AAVE/USDT:USDT,2023-12-26 17:45:00+00:00,first_buy,trailing_stop_loss,102.88,102.91,103.9170130468153,103.9791117904789,92.34,1,100.42,417140.0,0,False,103.35399999999811,103.60428571428541,104.82999999999718,-0.95950334,-0.13637582984119329,go_long,go_long,go_long,go_long,go_long,28357.0,91.74682928752934,1,90.39714285714282,go_long,go_long,88.74,go_long,1,go_long,89.96799999999824,90.94951039702512,89.56,False,go_long,89.8,92.27199999999716,88.52
85,AAVE/USDT:USDT,2023-12-03 13:00:00+00:00,first_buy,trailing_stop_loss,102.07,102.07,102.39518071852041,102.81929107131243,101.26,1,101.49,17293.0,0,False,102.1819999999981,102.19285714285691,102.89359999999716,-0.75888107,-0.09345697079055068,go_long,go_long,go_long,go_long,go_long,164799.0,104.2638407337172,1,104.27714285714255,go_long,go_long,102.72,go_long,1,go_long,104.05399999999811,104.55283360078172,104.29,False,go_long,104.44,104.84999999999718,102.16
84,AAVE/USDT:USDT,2023-10-31 15:15:00+00:00,first_buy,trailing_stop_loss,81.75,81.77,81.74488645941454,82.06842006897365,79.95,1,80.69,102669.0,0,False,81.4799999999976,81.54285714285677,82.26999999999714,2.15186323,0.24198675272226536,go_long,go_long,go_long,go_long,go_long,2285.0,102.92563435701743,1,102.34142857142832,go_long,go_long,102.11,go_long,1,go_long,102.34999999999809,102.55975903097867,102.29,False,go_long,102.36,102.97039999999717,102.11
97,AAVE/USDT:USDT,2024-09-28 09:15:00+00:00,first_buy,trailing_stop_loss,165.44,165.45,165.86851132234833,166.80673182105218,164.18,1,164.73,60891.0,0,False,165.36799999999752,165.58428571428473,166.85839999999772,-1.48596727,-0.1802322330131472,go_long,go_long,go_long,go_long,go_long,78579.0,142.720413369324,1,140.9071428571421,go_long,go_long,136.8,go_long,0,go_long,140.47399999999715,141.14554556947792,140.31,False,go_long,140.42,142.76519999999792,136.54
83,AAVE/USDT:USDT,2023-10-02 16:00:00+00:00,first_buy,trailing_stop_loss,69.18,69.18,69.37997042207114,69.68984868451115,68.32,1,68.829,47646.0,1,False,69.28079999999761,69.28742857142814,69.6875199999971,1.38836474,0.155172780695812,go_long,go_long,go_long,go_long,go_long,13871.0,82.17869367449154,1,81.7514285714282,go_long,go_long,81.57,go_long,1,go_long,81.63599999999761,81.93668399748992,81.85,False,go_long,81.98,82.33879999999715,81.57
81,AAVE/USDT:USDT,2023-07-30 20:00:00+00:00,first_buy,trailing_stop_loss,72.937,72.937,73.45990369077614,73.80617948680916,70.454,1,70.958,129670.0,0,False,73.13079999999772,73.40542857142815,73.97311999999701,-1.78927685,-0.21006253856234816,go_long,go_long,go_long,go_long,go_long,109.0,57.23155307530921,0,56.91599999999942,go_long,go_long,56.974,go_long,0,go_long,56.88279999999763,57.083527703295346,57.043,False,go_long,57.043,57.270759999997054,56.974
80,AAVE/USDT:USDT,2023-06-28 19:45:00+00:00,first_buy,trailing_stop_loss,59.2,59.254,59.81576928665333,60.32565753277653,57.202,1,58.171,278948.0,0,False,59.513799999997595,59.66285714285684,60.53959999999699,1.90203988,0.21827891009405295,go_long,go_long,go_long,go_long,go_long,844.0,74.03403384575388,1,73.923571428571,go_long,go_long,73.0,go_long,0,go_long,73.74979999999773,73.91479527091727,73.49,False,go_long,73.49,74.086719999997,73.0
