,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),sma-05 (exit),volume (exit),ema-26 (exit),high (exit),imit-enter-short (exit),short_kdj (exit),nlp-enter-long (exit),open (exit),imit-exit-short (exit),nlp-enter-short (exit),ema-12 (exit),low (exit),long_jcrosk (exit),nlp-exit-short (exit),close (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit)
708,EGLD/USDT:USDT,2022-01-12 17:00:00+00:00,first_buy,stop_loss,215.6,216.34,215.7337903356043,214.1031082750429,215.21,1,216.22,3195.5,0,False,215.49600000000268,215.77428571428757,214.04200000000156,-17.16891099,-0.39662749123044194,go_long,go_long,go_long,go_long,go_long,136.44800000000265,14479.6,137.61555233331887,135.78,go_long,False,go_long,135.43,go_long,go_long,139.71035587837642,132.68,0,go_long,133.2,139.1348000000015,1,137.08857142857352
302,UNI/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,26.214,26.214,27.079234304489194,28.6619918239932,22.436,1,22.504,861443.0,1,False,25.56000000000015,26.216999999999974,29.07256000000008,-17.45605082,-0.3868198440129588,go_long,go_long,go_short,go_long,go_long,14.74980000000017,674116.0,15.105473952220143,14.885,go_long,False,go_short,14.72,go_long,go_long,15.974545750927701,13.879,0,go_long,13.97,16.036920000000094,1,14.985285714285695
587,TRB/USDT:USDT,2022-10-27 04:45:00+00:00,first_buy,stop_loss,15.27,15.3,15.141924969852393,15.078775434672822,15.19,0,15.23,17046.5,0,False,15.204000000000212,15.188571428571933,15.065200000000075,-24.22115968,-0.39745339548756103,go_long,go_long,go_long,go_long,go_long,10.336000000000258,79689.9,10.446794429224651,10.4,go_long,False,go_long,10.39,go_long,go_long,10.759167642896498,10.04,0,go_long,10.16,10.825600000000076,1,10.385714285714815
412,INJ/USDT:USDT,2024-04-11 01:45:00+00:00,first_buy,stop_loss,33.001,33.128,33.11324264672924,33.06989650631523,32.961,1,33.068,23022.1,0,False,33.11640000000021,33.12057142857112,33.109320000000004,-23.56072534,-0.39543412483112494,go_long,go_long,go_long,go_long,go_long,24.407200000000245,908994.8,24.706306220315298,24.33,go_long,False,go_long,24.287,go_long,go_long,25.354001959639515,21.0,0,go_long,22.846,25.622839999999997,1,24.570142857142542
2,LINK/USDT:USDT,2021-05-05 15:30:00+00:00,first_buy,stop_loss,48.131,48.149,47.982689946437354,48.31588070258319,47.15,0,47.4,283051.3,0,False,47.61680000000008,47.671857142857085,48.39883999999991,-25.15766736,-0.4110250028648616,go_long,go_long,go_long,go_long,go_long,33.15920000000004,763267.19,34.67904883179078,33.507,go_long,False,go_long,33.472,go_long,go_long,36.02995429366791,32.086,0,go_long,32.629,36.306119999999964,1,33.982714285714174
912,RUNE/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,15.083,15.083,15.429173884099777,16.432594893777456,12.153,1,12.292,617132.0,1,False,14.697600000000055,14.987428571428623,16.595040000000033,-19.399016,-0.39415140667988047,go_long,go_long,go_long,go_long,go_long,13.876200000000054,1101539.0,14.754993286545965,13.21,go_long,False,go_long,12.292,go_long,go_long,16.03366193868283,8.4,0,go_long,11.047,16.338040000000035,1,14.238000000000053
315,UNI/USDT:USDT,2022-04-19 07:00:00+00:00,first_buy,stop_loss,9.303,9.33,9.296402964701214,9.297074112334359,9.268,1,9.271,68608.0,1,False,9.297999999999991,9.298571428571497,9.297919999999975,-22.15896241,-0.398087066328866,go_long,go_long,go_short,go_long,go_long,5.7763999999999935,389971.0,5.873688876167264,5.811,go_long,False,go_short,5.719,go_long,go_long,5.9596731994947945,5.682,0,go_long,5.691,5.987479999999972,1,5.8405714285714945
396,INJ/USDT:USDT,2022-11-06 04:00:00+00:00,first_buy,stop_loss,2.65,2.666,2.646492794162009,2.6706749359451845,2.648,0,2.664,126678.3,0,False,2.642000000000011,2.638285714285724,2.6642000000000046,-24.16304241,-0.3941109815097961,go_long,go_long,go_long,go_long,go_long,2.004000000000011,2259842.5,2.111255564800824,2.038,go_long,False,go_long,2.008,go_long,go_long,2.2032846518383904,1.732,0,go_long,1.759,2.2356800000000083,1,2.0465714285714394
385,AAVE/USDT:USDT,2024-04-02 02:30:00+00:00,first_buy,stop_loss,126.94,127.09,127.56891253182849,127.2154033629494,124.83,1,124.87,13199.8,0,False,127.43400000000504,127.80428571428914,127.45120000000037,-19.88536007,-0.3976916755169878,go_long,go_long,go_long,go_long,go_long,88.45400000000521,163064.0,89.46500456210215,88.46,go_long,False,go_long,88.38,go_long,go_long,91.74515808811039,81.15,0,go_long,83.81,92.3652000000003,1,88.998571428575
737,COMP/USDT:USDT,2022-01-12 17:00:00+00:00,first_buy,stop_loss,197.6,198.25,197.44853090515264,196.7569800471359,197.41,0,197.98,954.875,0,False,197.23400000000166,197.3757142857151,196.88799999999878,-24.29501547,-0.39681771968549073,go_long,go_long,go_long,go_long,go_long,124.30400000000141,3202.774,125.68485222853491,125.11,go_long,False,go_long,123.85,go_long,go_long,129.47584296442287,122.73,0,go_long,123.1,130.09639999999877,0,124.2328571428578
