,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),ema-12 (exit),mean-grad-hist (exit),sma-compare (exit),sma-07 (exit),low (exit),short_kdj (exit),sma-05 (exit),volume (exit),sma-25 (exit),long-large-rl (exit),open (exit),close (exit),ema-26 (exit),high (exit),short-large-rl (exit),long_jcrosk (exit),short-small-rl (exit),long-small-rl (exit)
8,LINK/USDT:USDT,2024-02-12 18:00:00+00:00,first_buy,stop_loss,20.705,20.829,20.456597942108306,20.366304660902582,20.672,0,20.692,477853.5,1,False,20.578400000000432,20.505571428571123,20.338760000000082,-27.34529237,-0.4459984247774805,0,go_long,go_long,go_long,go_long,14.448835789004265,1,1,14.112428571428229,12.748,False,14.060800000000492,3483723.84,14.537319999999964,go_long,14.066,13.434,14.171194920941632,14.071,go_long,0,go_long,go_long
7,LINK/USDT:USDT,2022-07-29 14:45:00+00:00,first_buy,stop_loss,8.066,8.089,7.723951500508255,7.65373498418263,7.927,0,7.95,1221422.13,0,False,7.843600000000388,7.744857142856884,7.6439600000001064,-27.81331628,-0.4533119733295932,0,go_long,go_long,go_long,go_long,5.888058818280985,1,1,5.799428571428376,5.753,False,5.786800000000461,390933.24,5.913080000000065,go_long,5.771,5.777,5.836599907808061,5.791,go_long,0,go_long,go_long
6,LINK/USDT:USDT,2022-06-09 09:45:00+00:00,first_buy,stop_loss,9.119,9.228,8.838795793876724,8.73732206692351,9.117,0,9.181,1189192.98,1,False,8.940400000000386,8.881428571428343,8.660520000000123,-24.13337975,-0.393113193276672,0,go_long,go_long,go_long,go_long,5.961609154387336,1,1,5.802142857142626,5.625,False,5.777600000000406,1924988.56,5.921840000000122,go_long,5.8,5.656,5.8466755609969905,5.82,go_long,1,go_long,go_long
4,LINK/USDT:USDT,2022-05-02 10:15:00+00:00,first_buy,stop_loss,11.039,11.068,11.157200498720291,11.202747675519234,11.021,1,11.036,145277.69,0,False,11.104800000000381,11.125428571428344,11.227800000000094,-24.21871095,-0.3950138030420741,1,go_long,go_long,go_long,go_long,7.352895772557696,0,1,7.007571428571205,6.828,False,6.956800000000395,722598.88,7.3819200000001,go_long,6.905,7.018,7.115196537234464,7.055,go_long,0,go_long,go_long
2,LINK/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,stop_loss,27.708,28.367,27.76100169353737,27.438314306964067,27.686,0,28.336,254070.35,0,False,27.8216000000002,27.834857142857068,27.352480000000043,-35.31512599,-0.5764341663538769,0,go_long,go_long,go_long,go_long,19.90644611047499,1,1,18.79728571428551,17.282,False,18.3958000000003,1459453.66,19.84548,go_long,17.504,17.417,18.947255142002344,18.231,go_long,0,go_long,go_long
11,OGN/USDT:USDT,2021-04-01 13:45:00+00:00,first_buy,stop_loss,1.8522,1.8755000000000002,1.8596970168825513,1.8608588319088324,1.8522,0,1.8652000000000002,98652.0,0,False,1.8669600000000002,1.866928571428572,1.8593000000000006,-30.19803492,-0.5054124512971616,0,go_long,go_long,go_long,go_long,1.3886582300878678,1,1,1.3290714285714333,1.1687,False,1.318460000000004,1495423.0,1.392920000000008,go_long,1.3133,1.2086000000000001,1.3452015085304478,1.3282,go_long,0,go_long,go_long
21,OGN/USDT:USDT,2023-07-23 18:45:00+00:00,first_buy,stop_loss,0.13870000000000002,0.146,0.11711176290293039,0.10816625275914335,0.11860000000000001,1,0.1217,1035677819.0,1,False,0.12274000000001091,0.12070000000000115,0.10796400000000002,-19.7667887,-0.3219444388742428,0,go_long,go_long,go_long,go_long,0.08283031678402956,1,1,0.08252857142857255,0.0813,False,0.08224000000001046,4973126.0,0.08265600000000005,go_long,0.0816,0.0816,0.0825162526239913,0.0821,go_long,0,go_long,go_long
22,OGN/USDT:USDT,2024-01-11 19:00:00+00:00,first_buy,stop_loss,0.2006,0.20090000000000002,0.19143034315511945,0.18570739082172444,0.192,1,0.1927,13818991.0,0,False,0.19548000000001056,0.19427142857142807,0.18417999999999998,-30.64060925,-0.4995218436901178,0,go_long,go_long,go_long,go_long,0.12370254756892529,1,1,0.12259999999999927,0.1211,False,0.1225600000000111,684000.0,0.12400000000000043,go_long,0.1221,0.1218,0.12312225151905347,0.1222,go_long,0,go_long,go_long
23,OGN/USDT:USDT,2024-06-14 16:15:00+00:00,first_buy,stop_loss,0.12190000000000001,0.1221,0.12224190513150678,0.12323569219344935,0.1148,1,0.1174,7020600.0,0,False,0.1214000000000111,0.1218285714285707,0.12372000000000043,-24.43910542,-0.39797109158211985,1,go_long,go_long,go_long,go_long,0.08165514105135423,0,1,0.07742857142857074,0.07640000000000001,False,0.07736000000001098,5370271.0,0.0828040000000006,go_long,0.0766,0.0766,0.07887245718367626,0.0782,go_long,0,go_long,go_long
44,UNI/USDT:USDT,2024-04-11 16:00:00+00:00,first_buy,stop_loss,9.09,9.101,9.124904325571025,9.194315265793922,8.928,1,9.034,1811532.0,0,False,9.069799999999978,9.079714285714578,9.187200000000002,-22.80440852,-0.4202942014077723,1,go_long,go_long,go_long,go_long,6.1581831563043945,1,1,6.049000000000314,5.743,False,5.993600000000056,1236845.0,6.196759999999988,go_long,5.9190000000000005,5.802,6.07889344160377,5.978,go_long,0,go_long,go_long
