,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,open (exit),long_jcrosk (exit),close (exit),mean-grad-hist (exit),volume (exit),short_kdj (exit),high (exit),sma-05 (exit),sma-07 (exit),ema-12 (exit),ema-26 (exit),low (exit),sma-25 (exit)
62,STMX/USDT:USDT,2023-09-29 07:45:00+00:00,second_buy,trailing_stop_loss,0.006920000000000001,0.00702,0.006994151719555663,0.0070334865467302,0.006920000000000001,0,0.0069900000000000006,381313404.0,0,False,0.006958000000000896,0.006968571428570706,0.007046799999999959,-6.81615787,-0.11122447438994844,0.007690000000000001,0,0.007730000000000001,0,232083166.0,False,0.007750000000000001,0.007658000000000889,0.007628571428570727,0.007529115650263726,0.007601529220151666,0.007680000000000001,0.007509199999999951
61,STMX/USDT:USDT,2023-09-16 02:15:00+00:00,second_buy,trailing_stop_loss,0.006390000000000001,0.006560000000000001,0.006435560894517471,0.0064204126308442635,0.00638,0,0.006540000000000001,678811996.0,0,False,0.006358000000000896,0.00633285714285642,0.006444799999999954,-6.66128308,-0.10868820991634028,0.0067800000000000004,0,0.0068000000000000005,1,219559760.0,False,0.0068000000000000005,0.006822000000000902,0.006815714285713572,0.006744531114775458,0.006784679175074312,0.006750000000000001,0.006729199999999953
60,STMX/USDT:USDT,2023-08-21 09:45:00+00:00,second_buy,trailing_stop_loss,0.0053100000000000005,0.00532,0.00531198011775733,0.005305868823861666,0.005280000000000001,1,0.005280000000000001,33337752.0,0,False,0.005316000000000873,0.005322857142856457,0.005309599999999959,-5.50764187,-0.08986671680171873,0.005450000000000001,0,0.005560000000000001,0,1293597670.0,False,0.00557,0.005424000000000891,0.005409999999999278,0.005258693827350228,0.005394560283800353,0.00544,0.005256799999999954
59,STMX/USDT:USDT,2023-07-31 16:00:00+00:00,second_buy,trailing_stop_loss,0.00617,0.006180000000000001,0.0061501625761883,0.00616134203726187,0.0061200000000000004,1,0.006130000000000001,375109336.0,1,False,0.006160000000000854,0.006155714285713605,0.006131599999999951,1.34732274,0.0219851190405471,0.005240000000000001,0,0.005280000000000001,0,123617485.0,False,0.0053,0.0052580000000008705,0.005249999999999318,0.0052217800753074336,0.0052414127060885435,0.00521,0.005209999999999961
58,STMX/USDT:USDT,2023-07-24 02:15:00+00:00,second_buy,trailing_stop_loss,0.00753,0.007540000000000001,0.007258789668382709,0.00726745543071503,0.007180000000000001,1,0.00719,2025245733.0,0,False,0.00739200000000084,0.007344285714285034,0.007117999999999961,-7.07364751,-0.11542296925758448,0.007390000000000001,0,0.00736,0,3225518093.0,False,0.0074600000000000005,0.007206000000000841,0.007132857142856465,0.00693689043989277,0.007087556403879451,0.007350000000000001,0.006906799999999955
39,STMX/USDT:USDT,2022-05-28 17:30:00+00:00,second_buy,trailing_stop_loss,0.009130000000000001,0.009160000000000001,0.009106506743140662,0.009077991286907644,0.00906,1,0.00909,27796501.0,0,False,0.009128000000000608,0.00911999999999928,0.009079999999999963,13.27435304,0.2166069494872347,0.00702,0,0.0069700000000000005,0,79653868.0,False,0.007110000000000001,0.0068780000000006085,0.006861428571427862,0.006706084821495063,0.006851041275567088,0.0069500000000000004,0.006743599999999942
73,STMX/USDT:USDT,2024-07-06 00:45:00+00:00,second_buy,trailing_stop_loss,0.0047,0.0048000000000000004,0.00465643606481303,0.004604422043233797,0.004690000000000001,0,0.004770000000000001,169129977.0,0,False,0.0046800000000011225,0.004657142857142237,0.004652000000000011,-20.35746747,-0.332176060114173,0.00585,0,0.00593,0,1229650677.0,False,0.00598,0.005716000000001132,0.005619999999999416,0.005550255697267176,0.005615279833820689,0.0057,0.005512400000000025
37,STMX/USDT:USDT,2022-05-01 23:00:00+00:00,second_buy,trailing_stop_loss,0.01408,0.014110000000000001,0.01408494018025477,0.014066069179814102,0.014020000000000001,1,0.014070000000000001,7968070.0,0,False,0.014114000000000603,0.014117142857142105,0.014111199999999933,23.00882077,0.37544669546472453,0.008650000000000001,0,0.008660000000000001,1,27458877.0,False,0.008660000000000001,0.008594000000000592,0.008527142857142142,0.008174674287745372,0.008374122713433324,0.008530000000000001,0.008029199999999934
34,STMX/USDT:USDT,2022-03-25 09:45:00+00:00,second_buy,trailing_stop_loss,0.01678,0.016870000000000003,0.016767116923976845,0.016729374702093052,0.01676,0,0.01686,5289423.0,0,False,0.01677200000000049,0.0167214285714279,0.016775199999999844,-20.49226563,-0.33442922584672674,0.018430000000000002,0,0.021330000000000002,0,762160827.0,False,0.021580000000000002,0.018798000000000488,0.0185414285714279,0.017893929692182495,0.018434056609958595,0.0183,0.017717999999999855
14,STMX/USDT:USDT,2021-06-11 21:45:00+00:00,second_buy,trailing_stop_loss,0.0222,0.0222,0.022177094096686337,0.022567758106494532,0.021630000000000003,1,0.02169,18889488.0,1,False,0.02207400000000009,0.022147142857142494,0.02236159999999988,21.66799025,0.353601571225927,0.013730000000000001,0,0.01386,0,11499292.0,False,0.01386,0.013658000000000083,0.013591428571428163,0.013515935451673306,0.013593770745652935,0.013670000000000002,0.013511999999999863
