,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,low (exit),volume (exit),long-large-rl (exit),short-large-rl (exit),ema-26 (exit),open (exit),ema-12 (exit),sma-compare (exit),sma-25 (exit),close (exit),high (exit),long_jcrosk (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-07 (exit),sma-05 (exit),long-small-rl (exit),short_kdj (exit),long-bid-rl (exit),short-small-rl (exit)
33,LPT/USDT:USDT,2024-03-09 01:30:00+00:00,first_buy,long-exit-profit,24.792,25.959,23.99841302895887,22.94230758223699,24.552,0,25.893,661380.1,0,False,24.36479999999972,24.11928571428545,23.40171999999978,0.59067156,0.009908742645394555,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-14 20:30:00+00:00,26.038,302901.0,go_long,go_long,25.44218291335997,26.069,24.39958382053903,0,24.007959999999727,26.344,26.5,0,0,go_long,25.833999999999712,25.740199999999714,go_long,False,go_long,do_nothing
34,LPT/USDT:USDT,2024-03-14 20:45:00+00:00,first_buy,long-exit-profit,26.346,26.969,25.626462465150745,24.565540574573173,26.2,0,26.64,351822.6,0,False,25.898599999999714,25.905857142856853,24.229639999999726,0.6287855,0.01025040865154962,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-14 21:00:00+00:00,26.61,373245.4,go_long,go_long,25.832852855127552,26.644,24.7435005320122,0,24.469839999999728,26.968,27.434,1,0,go_long,26.044142857142564,26.271399999999716,go_long,False,go_long,do_nothing
35,LPT/USDT:USDT,2024-03-14 21:15:00+00:00,first_buy,long-exit-profit,26.971,27.207,26.00395241587716,24.90657456667796,26.607,1,26.945,255578.5,0,False,26.593599999999714,26.20085714285685,24.70083999999973,0.5209974,0.008779797356951667,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-03-14 23:15:00+00:00,26.55,127342.3,go_long,go_long,26.65863109450879,26.756,25.80157912482133,0,26.190479999999734,27.237,27.249,0,1,go_long,26.85599999999971,26.989999999999714,go_long,False,go_long,do_nothing
24,LPT/USDT:USDT,2024-02-17 13:15:00+00:00,first_buy,long-exit-profit,19.044,19.663,17.237963449543575,16.091572203200435,18.526,1,18.639,4794519.7,0,False,18.072799999999738,17.894999999999744,15.534519999999802,0.9772,0.016365534578076824,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-02-17 13:45:00+00:00,18.681,2224038.8,go_long,go_long,17.695027085176168,18.681,16.483718281207505,0,15.936279999999805,18.987,19.35,0,1,go_long,18.29042857142832,18.59399999999974,go_long,False,go_long,do_nothing
23,LPT/USDT:USDT,2024-02-17 12:15:00+00:00,first_buy,long-exit-profit,17.664,17.75,16.241072336753913,15.319894910057068,17.136,1,17.627,2131224.6,0,False,17.318599999999737,17.044857142856888,14.822639999999803,4.696522,0.07829059627539146,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2024-02-17 13:00:00+00:00,17.602,6681207.0,go_long,go_long,16.98322953127877,17.615,15.88777797945647,0,15.335679999999803,19.047,19.48,0,0,go_long,17.64871428571403,17.877799999999738,go_long,False,go_long,do_nothing
39,BAL/USDT:USDT,2022-05-10 00:15:00+00:00,first_buy,long-exit-profit,10.279,10.511,10.706904494482016,10.91985868034735,10.049,1,10.359,108101.9,0,False,10.53179999999963,10.63914285714306,10.861840000000164,1.1508776,0.01880976166690453,1,go_long,go_long,go_long,go_long,go_long,go_long,2022-05-10 00:45:00+00:00,9.997,66889.6,go_long,go_long,10.602292567055171,10.058,10.835275274646218,1,10.820680000000163,10.576,10.593,0,0,go_long,10.470428571428775,10.358399999999628,go_long,False,go_long,go_long
40,BAL/USDT:USDT,2022-05-10 01:00:00+00:00,first_buy,long-exit-profit,10.576,10.807,10.628555249046682,10.83066229133909,10.451,0,10.773,71046.9,0,False,10.409399999999627,10.465571428571632,10.828920000000164,1.1996656,0.01987296759327589,1,go_long,go_long,go_long,go_long,go_long,go_long,2022-05-10 01:30:00+00:00,10.769,44329.3,go_long,go_long,10.71371115464289,10.827,10.844073980914859,0,10.836720000000167,11.004,11.038,0,0,go_long,10.555714285714489,10.649999999999626,go_long,False,go_long,go_long
41,BAL/USDT:USDT,2022-05-10 01:45:00+00:00,first_buy,long-exit-profit,11.005,11.007,10.753755592390139,10.85369813047672,10.838,0,10.974,38312.5,0,False,10.833199999999627,10.654714285714489,10.846400000000164,0.5551425,0.009190973095813128,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-05-10 04:45:00+00:00,10.828,40849.0,go_long,go_long,10.81956130161659,10.857,10.834098860310332,0,10.741440000000166,11.1,11.189,0,0,go_long,10.785571428571627,10.802399999999627,go_long,False,go_long,go_long
42,BAL/USDT:USDT,2022-05-10 05:00:00+00:00,first_buy,long-exit-profit,11.094,11.365,10.891013409060191,10.867424870657715,11.06,0,11.284,57992.4,0,False,10.918799999999628,10.861857142857342,10.754720000000166,0.8006742,0.013133966583159703,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-05-10 05:15:00+00:00,11.264,41713.8,go_long,go_long,10.975319038435547,11.278,10.909763769127514,0,10.777760000000166,11.439,11.472,0,0,go_long,10.962142857143059,11.078199999999628,go_long,False,go_long,go_long
43,BAL/USDT:USDT,2022-05-10 05:30:00+00:00,first_buy,long-exit-profit,11.449,11.533,11.054346878676233,10.952670156599549,11.369,0,11.489,34451.0,0,False,11.234999999999626,11.07457142857163,10.805040000000165,1.0218824,0.01676665952431969,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-05-10 05:45:00+00:00,11.439,34447.5,go_long,go_long,11.154447358879889,11.488,11.00839829314773,0,10.845480000000164,11.705,11.705,0,0,go_long,11.226428571428773,11.403399999999627,go_long,False,go_long,go_long
