,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),volume (exit),close (exit),ema-12 (exit),sma-25 (exit),short-bid-rl (exit),ema-26 (exit),short_kdj (exit),sma-07 (exit),sma-compare (exit),long-small-rl (exit),short-large-rl (exit),open (exit),high (exit),mean-grad-hist (exit),long_jcrosk (exit),long-bid-rl (exit),short-small-rl (exit),sma-05 (exit),long-large-rl (exit),low (exit)
465,QTUM/USDT:USDT,2021-04-27 01:30:00+00:00,first_buy,long-exit-proift,14.855,15.119,14.240051627600963,13.894722196104162,14.655,0,15.065,141696.4,0,False,14.548399999999862,14.424000000000046,13.735239999999978,12.03535649,0.19941838314939225,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,410191.1,18.224,17.110817404293694,17.154719999999976,go_short,17.506394493739176,False,17.54271428571434,0,go_long,do_nothing,17.801,18.397,0,0,go_short,do_nothing,17.619599999999885,do_nothing,17.8
466,QTUM/USDT:USDT,2021-05-06 00:30:00+00:00,first_buy,long-exit-proift,18.23,18.431,17.53264149470238,17.152756855827494,17.35,1,17.677,411742.6,1,False,17.734599999999887,17.58714285714291,17.208719999999975,11.32944805,0.18829468528762805,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,1095331.9,21.078,19.082612878942843,18.866239999999976,go_short,19.551916893703453,False,19.69714285714291,0,go_long,do_nothing,20.615,21.276,0,0,go_short,do_nothing,19.979199999999878,do_nothing,20.469
467,QTUM/USDT:USDT,2021-05-06 13:15:00+00:00,first_buy,long-exit-proift,21.077,22.909,19.974391217749076,19.320789702724856,20.901,0,22.298,1847701.9,1,False,20.619799999999877,20.192857142857196,19.041359999999976,12.15433145,0.20173636881424428,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,1537132.7,26.92,23.754605026442682,23.461839999999967,go_short,24.488615314139988,False,24.52557142857148,0,go_long,do_nothing,24.811,27.744,0,0,go_short,do_nothing,24.58179999999987,do_nothing,24.786
468,QTUM/USDT:USDT,2021-05-07 00:30:00+00:00,first_buy,long-exit-proift,26.903,29.497,25.256828342733836,24.178856505965445,26.854,0,29.482,1375716.5,0,False,25.663799999999867,25.269142857142914,23.730159999999966,10.88306,0.18438687694504804,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,1156156.0,34.959,28.3422259502087,27.53659999999997,go_short,31.0007797800921,False,32.80257142857149,0,go_long,do_nothing,32.443,35.0,1,0,go_short,do_nothing,33.13519999999987,do_nothing,32.121
471,QTUM/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,long-exit-proift,13.533,13.536,13.926965289827292,14.683668914466985,11.5,1,11.504,419392.6,1,False,13.236999999999759,13.516142857142922,14.893639999999989,11.45605796,0.18770523372761808,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,165099.7,13.585,12.530976629759365,12.480879999999981,go_short,12.858508199047028,False,13.019142857142924,0,go_long,do_nothing,13.332,13.667,0,1,go_short,do_nothing,13.22939999999976,do_nothing,13.227
473,QTUM/USDT:USDT,2021-05-23 12:45:00+00:00,first_buy,long-exit-proift,8.05,8.2,8.395513352946718,8.771815176331495,7.506,1,7.531,372900.0,0,False,8.214599999999768,8.336000000000064,8.782719999999998,11.19663845,0.18314590491867236,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,230551.4,8.934,8.278956787526674,8.205559999999997,go_short,8.491314478852756,False,8.608571428571492,0,go_long,do_nothing,8.706,8.936,0,0,go_short,do_nothing,8.687199999999764,do_nothing,8.705
496,QTUM/USDT:USDT,2022-05-12 05:15:00+00:00,first_buy,long-exit-proift,3.348,3.355,3.548504860773234,3.735269761753359,3.179,1,3.192,443847.8,1,False,3.3809999999996547,3.4507142857143838,3.8289999999999407,10.66727974,0.1738823477457171,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,267328.5,3.754,3.573671600622189,3.5617199999999416,go_short,3.6044117566189002,False,3.5907142857143843,0,go_long,do_nothing,3.68,3.776,0,0,go_short,do_nothing,3.614399999999655,do_nothing,3.6470000000000002
474,QTUM/USDT:USDT,2021-05-24 08:00:00+00:00,first_buy,long-exit-proift,8.93,9.128,8.58265071287541,8.338663692154327,8.889,0,9.085,234243.8,0,False,8.799799999999765,8.726428571428636,8.254119999999995,10.68603484,0.175361791316138,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,109151.7,10.693,10.104444662222273,10.06608,go_short,10.373711796947566,False,10.508000000000065,0,go_long,do_nothing,10.338,10.755,1,0,go_short,do_nothing,10.542799999999762,do_nothing,10.338
475,QTUM/USDT:USDT,2021-05-24 21:15:00+00:00,first_buy,long-exit-proift,10.69,10.836,10.42652536664794,10.14981913168729,10.664,0,10.717,105254.2,0,False,10.58059999999976,10.563857142857207,10.11384,10.52461414,0.17208498501529568,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,97447.3,12.581,12.032076665487764,11.96656,go_short,12.264251027484818,False,12.410285714285786,0,go_long,do_nothing,12.363,12.591,0,0,go_short,do_nothing,12.403399999999753,do_nothing,12.36
476,QTUM/USDT:USDT,2021-05-26 06:45:00+00:00,first_buy,long-exit-proift,12.577,12.696,12.312212407871769,12.072367282859041,12.533,0,12.576,96205.0,0,False,12.42259999999975,12.440857142857213,12.0176,10.70700407,0.17722263802021634,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,401561.1,14.817,13.976408664029929,13.968359999999997,go_short,14.203214022113366,False,14.276571428571506,0,go_long,do_nothing,14.531,14.9,0,0,go_short,do_nothing,14.376999999999759,do_nothing,14.302
