,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,volume (exit),sma-07 (exit),low (exit),mean-grad-hist (exit),imit-exit-short (exit),nlp-enter-short (exit),nlp-enter-long (exit),high (exit),ema-12 (exit),sma-25 (exit),long-small-rl (exit),open (exit),nlp-exit-short (exit),imit-enter-short (exit),short-large-rl (exit),long-bid-rl (exit),ema-26 (exit),long-large-rl (exit),short-bid-rl (exit),long_jcrosk (exit),sma-05 (exit),close (exit),short_kdj (exit),sma-compare (exit),short-small-rl (exit)
1714,ETC/USDT:USDT,2023-06-09 03:15:00+00:00,second_buy,short-exit-profit,16.851,16.87,16.892499303776624,16.926312603973305,16.83,0,16.861,37574.56,0,False,16.85759999999913,16.87871428571449,16.942479999999904,12.86078355,0.21031026748223625,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_long,go_long,go_short,2023-06-10 04:30:00+00:00,2870000.76,16.025857142857348,12.568,1,go_short,go_short,go_short,16.485,16.458198664070064,16.621639999999896,go_short,16.485,go_short,go_short,do_nothing,go_long,16.07850675657693,do_nothing,go_long,1,15.817599999999123,13.292,False,1,go_short
554,UNI/USDT:USDT,2023-06-09 20:00:00+00:00,second_buy,short-exit-profit,4.574,4.575,4.590291006054033,4.605848230827231,4.545,1,4.553,105754.0,0,False,4.572599999999834,4.5820000000001215,4.616319999999916,10.18088803,0.17221642404199522,1,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2023-06-10 04:30:00+00:00,3394222.0,4.382857142857268,3.558,1,go_short,go_short,go_short,4.472,4.4747251024806864,4.509119999999914,go_long,4.472,go_short,go_short,do_nothing,go_long,4.388754010945866,do_nothing,go_long,0,4.333799999999835,3.759,False,1,go_long
710,INJ/USDT:USDT,2023-03-03 23:30:00+00:00,second_buy,short-exit-profit,3.608,3.608,3.5735912036295874,3.570276903735795,3.591,0,3.602,33049.8,0,False,3.58440000000002,3.579857142857158,3.5606400000000025,7.71686892,0.12614876561246224,0,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2023-03-04 20:45:00+00:00,457333.4,3.2522857142857298,3.137,1,go_short,go_short,go_short,3.222,3.3121968970931057,3.3119599999999987,go_long,3.22,go_short,go_short,do_nothing,go_long,3.2668493413017514,do_nothing,go_long,0,3.229400000000021,3.142,False,1,go_long
815,INJ/USDT:USDT,2024-06-16 15:45:00+00:00,second_buy,short-exit-profit,24.958,25.102,25.027164381150712,25.052328179557424,24.957,0,25.102,41406.0,0,False,24.9650000000003,24.98628571428546,25.063840000000017,7.80107302,0.12961402192802157,1,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2024-06-17 15:30:00+00:00,207248.5,22.156428571428332,21.747,1,go_short,go_short,go_short,22.063,22.662472349662686,22.642080000000018,go_long,21.989,go_short,go_short,do_nothing,go_long,22.299334596857282,do_nothing,go_long,0,22.095800000000303,21.812,False,1,go_long
2356,BCH/USDT:USDT,2021-06-21 11:00:00+00:00,second_buy,short-exit-profit,486.61,488.82,495.6004007826555,506.67004355086937,475.8,1,477.48,13918.88,0,False,489.45000000000147,492.40999999999593,507.44399999999945,7.76559629,0.12718742243882697,1,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2021-06-22 12:00:00+00:00,8632.075,426.01999999999543,415.74,1,go_short,go_short,go_short,426.0,439.74902305739465,442.8111999999994,go_long,421.15,go_short,go_short,do_nothing,go_long,429.4846777704727,do_nothing,go_long,0,423.4900000000015,416.06,False,1,go_long
2210,ALGO/USDT:USDT,2022-06-28 15:15:00+00:00,second_buy,short-exit-profit,0.329,0.329,0.3305952615272796,0.3309445701529284,0.3252,1,0.3266,2159704.1,0,False,0.3290999999999955,0.33028571428571485,0.33199200000000806,7.93523719,0.1294745644472251,1,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2022-06-30 09:30:00+00:00,3462993.8,0.28830000000000017,0.2831,1,go_short,go_short,go_short,0.2864,0.2926449514654779,0.294088000000008,go_short,0.28600000000000003,go_short,go_short,do_nothing,go_long,0.28947325898019366,do_nothing,go_long,1,0.2872599999999955,0.2837,False,1,do_nothing
1642,ETC/USDT:USDT,2022-08-19 01:15:00+00:00,second_buy,short-exit-profit,38.678,38.731,39.271131386725315,39.83202833102946,38.202,0,38.563,615822.97,0,False,38.70619999999908,38.94728571428585,40.012080000000076,8.44202092,0.13785956322313325,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_long,go_long,go_short,2022-08-19 22:00:00+00:00,1736340.97,34.26485714285725,32.154,1,go_short,go_short,go_short,34.426,34.80404813685537,35.04216000000009,go_short,34.411,go_short,go_short,do_nothing,go_long,34.4947252009872,do_nothing,go_long,1,34.19059999999907,33.15,False,1,go_short
2089,ALGO/USDT:USDT,2021-05-18 20:15:00+00:00,second_buy,short-exit-profit,1.361,1.3638,1.3452395602154203,1.3460381986792098,1.3414000000000001,0,1.3457,393625.3,0,False,1.3439999999999994,1.3407857142857225,1.3401800000000055,8.59204028,0.14044511121559938,0,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-19 07:15:00+00:00,1010767.1,1.1850714285714363,1.1531,0,go_short,go_short,go_short,1.1917,1.2391270944757335,1.2429680000000054,go_short,1.1803,go_short,go_short,do_nothing,go_long,1.1999941286807772,do_nothing,go_long,0,1.1827799999999993,1.1542,False,1,do_nothing
476,UNI/USDT:USDT,2022-07-11 05:15:00+00:00,second_buy,short-exit-profit,6.144,6.144,6.135776089000674,6.163193348205191,6.052,1,6.077,194656.0,0,False,6.124599999999951,6.143000000000035,6.160559999999964,7.71844433,0.1271797613251111,1,go_short,go_short,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,2022-07-11 22:45:00+00:00,3736363.0,5.597428571428607,5.217,1,go_short,go_short,go_short,5.606,5.767214112354316,5.780159999999969,go_long,5.598,go_short,go_short,do_nothing,go_long,5.644056195947317,do_nothing,go_long,0,5.566999999999952,5.293,False,1,go_long
2090,ALGO/USDT:USDT,2021-05-19 11:30:00+00:00,second_buy,short-exit-profit,1.1367,1.1392,1.1615217042626442,1.1896064835002877,1.0673,1,1.0778,3413873.0,0,False,1.1430599999999989,1.1571000000000082,1.1833280000000053,12.0618492,0.197023884576021,1,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,go_short,2021-05-19 13:00:00+00:00,9874509.6,1.032814285714294,0.7831,1,go_short,go_short,go_short,0.9916,1.1253513748531054,1.1423720000000053,go_short,0.9602,go_short,go_short,do_nothing,go_long,1.0620310786951035,do_nothing,go_long,0,1.013999999999999,0.8719,False,1,do_nothing
