,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,high (exit),sma-07 (exit),short-small-rl (exit),long_jcrosk (exit),sma-25 (exit),ema-26 (exit),short_kdj (exit),open (exit),volume (exit),close (exit),mean-grad-hist (exit),sma-compare (exit),low (exit),sma-05 (exit),long-large-rl (exit),ema-12 (exit),long-small-rl (exit),short-large-rl (exit)
347,XRP/USDT:USDT,2021-12-09 10:00:00+00:00,first_buy,stop_loss,0.8774000000000001,0.934,0.8660076383773825,0.8599221115181609,0.8729,0,0.9308000000000001,199920084.8,0,False,0.8681799999999906,0.8636571428571533,0.856152000000003,-24.31994879,-0.39660026864049736,0,go_long,go_long,go_short,go_short,2022-01-22 10:00:00+00:00,0.5878,0.5963571428571547,go_long,0,0.6162000000000031,0.5994927713706295,False,0.5831000000000001,57797259.4,0.5731,1,1,0.5680000000000001,0.5924799999999942,go_short,0.6125429488770731,go_long,go_short
345,XRP/USDT:USDT,2021-08-14 14:30:00+00:00,first_buy,stop_loss,1.1829,1.2188,1.1620185627421238,1.1514893447040098,1.1802,0,1.2074,191415577.8,0,False,1.1709799999999917,1.1621428571428571,1.153852000000006,-29.38676938,-0.4786729150951132,0,go_long,go_long,go_short,go_short,2021-12-04 05:15:00+00:00,0.8378,0.8643571428571543,go_long,0,0.8981560000000024,0.8680647061421881,False,0.8257,181467187.9,0.7597,1,1,0.7368,0.8534399999999913,go_short,0.8914801148437318,go_long,go_short
342,XRP/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,stop_loss,1.1034,1.1542,1.260953354590945,1.3431331730746872,0.85,1,1.04,296741101.8,0,False,1.1940799999999927,1.2130142857142867,1.3745160000000036,-24.5041693,-0.3992340351720122,1,go_long,go_long,go_short,go_short,2021-06-21 21:45:00+00:00,0.6642,0.6661857142857132,go_long,0,0.6654440000000045,0.6640628699246693,False,0.6625,27519427.4,0.6489,1,0,0.6464000000000001,0.6645599999999907,go_short,0.6674139836626389,go_long,go_short
341,XRP/USDT:USDT,2021-04-30 12:15:00+00:00,first_buy,stop_loss,1.5844,1.6223,1.5582201637547264,1.5365859253675636,1.5765,0,1.6207,181350869.2,0,False,1.5640799999999941,1.557428571428573,1.5528800000000011,-26.36767522,-0.4298955489314174,0,go_long,go_long,go_short,go_short,2021-05-19 12:45:00+00:00,1.2567,1.2629571428571438,go_long,1,1.3903720000000035,1.3011266917892987,False,1.2567,172650621.5,1.1034,1,1,1.0955,1.2376799999999926,go_short,1.3673838269206622,go_long,go_short
339,XRP/USDT:USDT,2021-04-13 16:15:00+00:00,first_buy,stop_loss,1.7829000000000002,1.8435000000000001,1.7367102022128689,1.6992165801358265,1.76,0,1.7856,305134889.9,1,False,1.758719999999998,1.7509142857142872,1.7054279999999995,-25.82680449,-0.4213150246935458,0,go_long,go_long,go_short,go_short,2021-04-22 21:00:00+00:00,1.2784,1.2843857142857174,go_long,0,1.3215560000000028,1.2937449386969864,False,1.2747,112277867.7,1.2422,1,1,1.221,1.2771399999999946,go_short,1.3094262185260077,go_long,go_short
12,XLM/USDT:USDT,2022-05-02 18:00:00+00:00,first_buy,stop_loss,0.17185,0.17189000000000002,0.17313521830534895,0.1737708441272725,0.171,1,0.17184000000000002,2964888.0,0,False,0.17242000000000032,0.17278000000000276,0.17389440000000053,-24.1589528,-0.3934155735714347,1,go_short,go_short,go_short,go_short,2022-05-12 05:15:00+00:00,0.11192,0.1132628571428594,go_short,1,0.12222080000000052,0.11561784365374081,False,0.11095000000000001,29558901.0,0.10545,1,1,0.10483,0.11141600000000021,go_short,0.11997690835768401,go_short,go_short
330,ALGO/USDT:USDT,2024-07-17 13:30:00+00:00,first_buy,stop_loss,0.15910000000000002,0.15940000000000001,0.1591025377589189,0.159363067250805,0.15810000000000002,0,0.1587,1453138.3,1,False,0.15891999999999107,0.1589142857142878,0.15954800000001199,-24.36919771,-0.396899661906008,0,go_short,do_nothing,do_nothing,do_nothing,2024-08-05 01:00:00+00:00,0.1129,0.11345714285714525,do_nothing,0,0.11497200000001215,0.11372091876119518,False,0.1119,14465158.5,0.1101,1,1,0.10880000000000001,0.11287999999999068,do_nothing,0.11450292612083816,go_short,do_nothing
329,ALGO/USDT:USDT,2024-05-29 14:00:00+00:00,first_buy,stop_loss,0.19240000000000002,0.193,0.19351838569652519,0.19383025080046004,0.1917,1,0.1927,2425984.1,0,False,0.1931599999999904,0.19320000000000234,0.19395200000001211,-24.59433776,-0.4005302632571224,1,go_short,do_nothing,do_nothing,do_nothing,2024-07-05 02:45:00+00:00,0.1268,0.12595714285714507,do_nothing,0,0.13095200000001214,0.12727819540057106,False,0.12480000000000001,6122788.9,0.1253,1,1,0.1247,0.1259199999999911,do_nothing,0.12975967123637855,go_short,do_nothing
328,ALGO/USDT:USDT,2024-03-04 06:15:00+00:00,first_buy,stop_loss,0.2501,0.2509,0.2511572241884861,0.25141626962979763,0.2489,0,0.2509,4589685.5,0,False,0.2513799999999898,0.2507571428571436,0.25423200000001056,-26.25208498,-0.42751838995701513,0,go_short,do_nothing,do_nothing,do_nothing,2024-04-13 20:00:00+00:00,0.1759,0.1768714285714303,do_nothing,0,0.18235200000001156,0.17733487015504207,False,0.1759,48091120.3,0.16590000000000002,1,1,0.1559,0.17609999999998943,do_nothing,0.18109459109400894,go_short,do_nothing
325,ALGO/USDT:USDT,2023-06-05 16:00:00+00:00,first_buy,stop_loss,0.1462,0.1463,0.14630037379454838,0.14763998060890965,0.1374,1,0.138,30974786.5,0,False,0.14525999999999387,0.14611428571428722,0.1481400000000098,-24.12031178,-0.3927755690506112,1,go_short,do_nothing,do_nothing,do_nothing,2023-08-17 21:30:00+00:00,0.10110000000000001,0.10135714285714405,do_nothing,0,0.10171600000000991,0.10142753622367111,False,0.1003,10868930.1,0.1004,1,1,0.1,0.10103999999999344,do_nothing,0.10181136995869373,go_short,do_nothing
324,ALGO/USDT:USDT,2023-02-18 16:45:00+00:00,first_buy,stop_loss,0.2747,0.27540000000000003,0.27437224384202463,0.2737881245665859,0.274,1,0.2743,1093685.1,0,False,0.2750399999999936,0.27501428571428815,0.27295600000000997,-25.20241861,-0.4104636557803849,0,go_short,do_nothing,do_nothing,do_nothing,2023-05-08 01:30:00+00:00,0.17300000000000001,0.17321428571428774,do_nothing,0,0.17405200000001048,0.17347017805466847,False,0.1728,2351897.3,0.17170000000000002,1,1,0.1714,0.1731399999999937,do_nothing,0.17387401081755496,go_short,do_nothing
322,ALGO/USDT:USDT,2022-05-29 01:30:00+00:00,first_buy,stop_loss,0.36160000000000003,0.3638,0.363706050227675,0.36445136435656744,0.3608,1,0.3608,953425.1,0,False,0.3626399999999952,0.36387142857142823,0.3647240000000089,-25.89940102,-0.42183265117561447,1,go_short,do_nothing,do_nothing,do_nothing,2022-12-07 07:00:00+00:00,0.23020000000000002,0.23028571428571748,do_nothing,0,0.23186000000000984,0.23068384890389604,False,0.2301,6711446.7,0.22870000000000001,1,1,0.2281,0.23007999999999332,do_nothing,0.2314564989287507,go_short,do_nothing
363,ADA/USDT:USDT,2021-05-19 16:45:00+00:00,first_buy,stop_loss,1.6432,1.7824,1.5766602642579552,1.5636617083989306,1.6352,0,1.7662,48677199.0,0,False,1.6489400000000114,1.625957142857151,1.5047760000000028,-23.69671995,-0.39423933264549177,0,go_short,go_long,go_short,go_short,2021-05-23 16:30:00+00:00,1.1439,1.1639000000000077,go_long,0,1.204836000000003,1.1686384841783566,False,1.1357,45074439.0,1.1158,1,1,1.0964,1.1556600000000112,go_short,1.209951733413433,go_short,go_short
243,COMP/USDT:USDT,2024-04-12 18:45:00+00:00,first_buy,stop_loss,63.35,63.41,64.23838092992892,66.18654773744716,52.53,1,57.23,170775.036,0,False,62.60600000000098,63.52999999999717,66.71559999999877,-24.27856251,-0.3957087696458685,1,go_long,go_long,go_short,go_short,2024-08-05 01:00:00+00:00,39.85,40.23999999999684,go_long,0,41.42359999999872,40.47658299141814,False,39.49,50537.473,38.76,1,1,38.1,39.94600000000097,go_short,41.18271521973448,go_long,go_short
367,ADA/USDT:USDT,2021-08-23 14:15:00+00:00,first_buy,stop_loss,2.8752,2.9418,2.8489954716854444,2.8328489192634208,2.8651,0,2.9225000000000003,71828832.0,0,False,2.8601800000000153,2.849557142857148,2.834356000000001,-26.54787991,-0.4537288467708299,0,go_short,go_long,go_short,go_short,2021-11-16 10:00:00+00:00,1.9405999999999999,1.9467999999999848,go_long,0,1.9435320000000038,1.9435350982779351,False,1.9361000000000002,7330778.0,1.9228,1,0,1.916,1.943500000000005,go_short,1.9492107468421684,go_short,go_short
