,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,sma-05 (exit),short-small-rl (exit),short_kdj (exit),close (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),sma-25 (exit),mean-grad-hist (exit),low (exit),high (exit),open (exit),volume (exit),sma-compare (exit),long-small-rl (exit),long-large-rl (exit),ema-12 (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit)
454,LPT/USDT:USDT,2023-08-11 16:00:00+00:00,first_buy,long-exit-profit,6.06,6.166,5.971179678907485,5.885165803254201,6.059,0,6.148,5325278.8,0,False,6.00959999999988,5.9745714285711795,5.897919999999813,22.92774866,0.376995370293843,0,go_long,go_long,go_long,go_long,go_long,go_long,2023-08-13 09:30:00+00:00,7.629799999999877,go_long,False,7.853,0,7.576942551060851,7.600142857142603,7.375839999999812,0,7.684,7.993,7.712,6961963.5,0,go_long,go_long,7.421458229599187,go_long,go_long,go_long
453,LPT/USDT:USDT,2023-08-08 03:00:00+00:00,first_buy,long-exit-profit,4.934,4.9350000000000005,4.975040466668347,5.026254914092857,4.757,1,4.798,1511735.5,0,False,4.914999999999878,4.936857142856902,5.068079999999817,23.44805978,0.38434245889243895,1,go_long,go_long,go_long,go_long,go_long,go_long,2023-08-11 15:45:00+00:00,5.96559999999988,go_long,False,6.06,0,5.939030529617937,5.939428571428323,5.885679999999813,0,5.978,6.1,5.98,3776596.4,0,go_long,go_long,5.864139067514537,go_long,go_long,go_long
450,LPT/USDT:USDT,2023-06-10 04:30:00+00:00,first_buy,long-exit-profit,4.427,4.427,4.321563114866152,4.446342534992795,3.151,1,3.525,716168.9,0,False,4.230199999999839,4.303857142856905,4.492479999999817,23.02485953,0.3750200973722617,1,go_long,go_long,go_long,go_long,go_long,go_long,2023-06-30 17:15:00+00:00,4.737999999999857,go_long,False,4.875,1,4.659998268004506,4.686999999999759,4.582919999999815,0,4.793,4.899,4.805,220528.1,0,go_long,go_long,4.5832246512714025,go_long,go_long,go_long
445,LPT/USDT:USDT,2023-03-09 21:00:00+00:00,first_buy,long-exit-profit,5.381,5.39,5.513406521563699,5.607615957069427,5.23,1,5.247,192616.1,0,False,5.417599999999895,5.470571428571182,5.659479999999815,22.91027805,0.3760340992774304,1,go_long,go_long,go_long,go_long,go_long,go_long,2023-03-23 23:15:00+00:00,7.2061999999998845,go_long,False,7.256,0,7.174558016089851,7.196428571428322,7.131279999999818,0,7.18,7.277,7.22,68892.8,0,go_long,go_long,7.111693715547527,go_long,go_long,go_long
442,LPT/USDT:USDT,2023-01-25 13:45:00+00:00,first_buy,long-exit-profit,7.865,7.979,7.235991895874011,7.04812308839806,7.715,0,7.808,711727.2,0,False,7.502799999999877,7.3259999999997465,6.968079999999815,25.46624213,0.4175167941607148,0,go_long,go_long,go_long,go_long,go_long,go_long,2023-02-07 18:00:00+00:00,10.652999999999881,go_long,False,11.115,0,10.541673187088941,10.58971428571404,10.366679999999814,0,10.653,11.146,10.657,285142.6,0,go_long,go_long,10.332587911805819,go_long,go_long,go_long
547,STORJ/USDT:USDT,2022-06-17 22:15:00+00:00,first_buy,long-exit-profit,0.4933,0.4944,0.4827325127271468,0.4802957963916608,0.486,0,0.4868,8295867.0,1,False,0.486000000000002,0.48434285714290004,0.48015999999999953,22.96487048,0.3739552228945768,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-06-21 00:15:00+00:00,0.6385000000000025,go_long,False,0.6589,0,0.6327872381659241,0.6342285714286139,0.6232439999999994,0,0.6343,0.6798000000000001,0.6408,40312500.0,0,go_long,go_long,0.6253669984277248,go_long,go_long,go_long
548,STORJ/USDT:USDT,2022-06-21 00:30:00+00:00,first_buy,long-exit-profit,0.6589,0.6798000000000001,0.638373816909628,0.6286064800256711,0.6571,0,0.6691,14930444.0,1,False,0.6466400000000025,0.6411428571428995,0.6252679999999994,23.27553169,0.38182838308804695,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-06-23 21:15:00+00:00,0.813920000000002,go_long,False,0.92,1,0.7921102522692262,0.7981571428571848,0.7478320000000009,0,0.8126,1.04,0.8127000000000001,75964003.0,0,go_long,go_long,0.760994310717514,go_long,go_long,go_long
1086,ADA/USDT:USDT,2024-10-25 23:30:00+00:00,first_buy,long-exit-profit,0.3286,0.33280000000000004,0.3349791579098359,0.3372191257950886,0.312,1,0.3205,114547968.0,0,False,0.33378000000001135,0.33630000000000104,0.3369719999999931,22.76537243,0.3715175045568491,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-08 06:30:00+00:00,0.43326000000001075,go_long,False,0.44160000000000005,0,0.42825020291520444,0.43030000000000185,0.420779999999993,0,0.433,0.4418,0.43410000000000004,30060064.0,0,go_long,go_long,0.42061317073327026,go_long,go_long,go_long
561,STORJ/USDT:USDT,2023-01-30 19:15:00+00:00,first_buy,long-exit-profit,0.3643,0.3643,0.3630731456768793,0.3650565674725193,0.3457,1,0.3519,4438574.0,0,False,0.36197999999999403,0.36308571428575126,0.36485200000000106,23.25561535,0.37942438857422545,1,go_long,go_long,go_long,go_long,go_long,go_long,2023-02-08 00:30:00+00:00,0.4647799999999943,go_long,False,0.48750000000000004,0,0.4619074764592985,0.4617857142857517,0.45426000000000116,0,0.46840000000000004,0.4887,0.46890000000000004,16666199.0,0,go_long,go_long,0.4550970947560374,go_long,go_long,go_long
1456,IOTX/USDT:USDT,2023-12-17 04:15:00+00:00,first_buy,long-exit-profit,0.041690000000000005,0.04186,0.04202198212310781,0.04240663712326226,0.04122000000000001,1,0.04145,27405491.0,0,False,0.04184799999999912,0.04186999999999959,0.042431999999999845,23.8518998,0.3884209521121464,1,go_long,go_long,go_long,go_long,go_long,go_long,2023-12-20 14:30:00+00:00,0.056085999999999095,go_long,False,0.05766,0,0.054266017364519255,0.055332857142856746,0.051662399999999886,1,0.05582,0.0577,0.05582,38092365.0,0,go_long,go_long,0.052481523745396795,go_long,go_long,go_long
