,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),ema-12 (exit),long-large-rl (exit),sma-05 (exit),sma-07 (exit),long-bid-rl (exit),short-bid-rl (exit),volume (exit),high (exit),short_kdj (exit),short-large-rl (exit),short-small-rl (exit),open (exit),long-small-rl (exit),sma-compare (exit),close (exit),long_jcrosk (exit),low (exit),sma-25 (exit),ema-26 (exit)
85,ETH/USDT:USDT,2021-05-01 16:30:00+00:00,second_buy,stop_loss,2878.99,2889.0,2866.974092386305,2861.641168616976,2877.0,0,2884.0,39511.807,0,False,2868.124000000013,2863.757142857145,2863.2428000000027,-23.02657939,-0.3805935607985133,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,0,3922.4397107520617,go_short,3956.802000000015,3945.404285714284,go_short,go_short,29672.209,3986.0,False,go_short,do_nothing,3957.21,do_nothing,0,3980.56,0,3955.0,3919.144000000002,3938.8740863200132
84,ETH/USDT:USDT,2021-04-02 15:00:00+00:00,second_buy,stop_loss,2058.32,2079.99,2027.1421716872173,2014.184803264623,2052.79,0,2073.95,105373.061,0,False,2041.3340000000117,2029.3428571428553,2008.6819999999998,-20.52784166,-0.34165172287513473,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,0,2859.852462106334,go_short,2861.300000000013,2860.6014285714305,go_short,go_short,53047.59,2885.47,False,go_short,do_nothing,2867.63,do_nothing,0,2878.99,0,2867.24,2861.0896000000025,2863.8784728201786
96,ALGO/USDT:USDT,2023-02-01 19:45:00+00:00,first_buy,stop_loss,0.23700000000000002,0.2427,0.2366823681590112,0.23627149167315925,0.2343,0,0.2421,11332509.2,0,False,0.23753999999999667,0.23621428571428724,0.2362200000000098,-25.95535397,-0.42266817522380146,0,go_long,do_nothing,go_long,go_long,go_long,go_long,1,0.1484709525063328,go_long,0.14763999999999675,0.14762857142857216,go_long,go_long,1618295.9,0.1477,False,go_long,do_nothing,0.14750000000000002,go_long,0,0.14750000000000002,1,0.14730000000000001,0.14824000000000973,0.1478413530448637
95,ALGO/USDT:USDT,2022-05-30 02:00:00+00:00,first_buy,stop_loss,0.38580000000000003,0.38720000000000004,0.3806087365841403,0.37789722955372523,0.3846,0,0.3871,2087186.6,0,False,0.38241999999999793,0.3812571428571416,0.3772640000000091,-25.69802256,-0.41852884698750736,0,go_long,do_nothing,go_long,go_long,go_long,go_long,1,0.24037413061043347,go_long,0.23737999999999712,0.2377285714285736,go_long,go_long,4978289.5,0.23770000000000002,False,go_long,do_nothing,0.2371,go_long,1,0.2356,0,0.2351,0.24132800000000956,0.2383008055823431
81,BNB/USDT:USDT,2022-05-30 02:00:00+00:00,first_buy,stop_loss,309.71,311.29,306.9414478368045,305.61290026982545,308.59,0,311.14,40290.63,0,False,307.77399999999295,307.0928571428541,305.00759999999804,-22.98350321,-0.3884066512615757,0,go_long,go_long,go_long,go_long,go_long,go_long,1,197.03126436988458,go_long,191.86199999999326,192.69285714285363,go_long,go_long,42372.38,192.5,False,go_long,go_long,191.14,go_long,1,190.52,1,190.23,197.785199999998,194.22284736665654
93,ALGO/USDT:USDT,2021-03-03 00:15:00+00:00,first_buy,stop_loss,1.0838,1.0841,1.0761812985390284,1.0710069800569801,1.0701,0,1.0797,551153.5,0,False,1.0820400000000006,1.0799857142857139,1.0690800000000003,-48.92984991,-0.7980912957372344,0,go_long,do_nothing,go_long,go_long,go_long,go_long,0,0.6752379866541013,go_long,0.6613999999999983,0.6619285714285736,go_long,go_long,1942016.7,0.6616000000000001,False,go_long,do_nothing,0.6588,go_long,1,0.6587000000000001,0,0.656,0.6788720000000086,0.6666466560626396
114,MKR/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,stop_loss,2059.8,2073.4,2110.752141024032,2150.463313913096,1668.0,1,1909.4,8385.83,0,False,2075.520000000012,2102.9285714285556,2166.031999999996,-24.97615694,-0.4084469246704055,1,go_long,go_long,go_long,go_long,go_long,go_long,1,1177.4799027751083,go_long,1172.9400000000007,1174.7428571428354,go_long,go_long,573.319,1171.0,False,go_long,go_long,1166.7,go_long,1,1166.7,0,1164.3,1178.9679999999962,1174.3960990896755
109,XRP/USDT:USDT,2023-07-14 14:00:00+00:00,first_buy,stop_loss,0.776,0.7833,0.7830257383420378,0.7843183004721419,0.773,0,0.7796000000000001,69533368.0,0,False,0.776259999999995,0.7798142857142895,0.7851039999999968,-24.63754484,-0.4016696091962718,1,go_long,go_long,go_long,go_long,go_long,go_long,1,0.5744850463999642,go_long,0.5665799999999928,0.569114285714291,go_long,go_long,53615358.8,0.5651,False,go_long,go_long,0.5613,go_long,1,0.5578000000000001,0,0.5562,0.5747319999999939,0.5701702632415098
146,NEAR/USDT:USDT,2024-04-21 23:00:00+00:00,first_buy,stop_loss,6.463,6.476,6.292348870502791,6.241967604177048,6.379,1,6.382,932640.0,1,False,6.352599999999896,6.322285714285733,6.201680000000002,-23.85771025,-0.41501465067520543,0,go_long,go_long,go_long,go_long,go_long,go_long,0,4.40445090896588,go_long,4.120799999999826,4.15042857142861,go_long,go_long,1275076.0,4.132,False,go_long,go_long,4.114,go_long,1,4.098,0,4.087,4.456039999999982,4.243123768535708
145,NEAR/USDT:USDT,2024-03-12 13:45:00+00:00,first_buy,stop_loss,7.469,7.539,7.208297108034937,7.1054910699353995,7.37,0,7.395,3061442.0,0,False,7.315399999999895,7.220571428571454,7.080879999999992,-24.88146631,-0.42010224615163094,0,go_long,go_long,go_long,go_long,go_long,go_long,1,5.417912292029065,go_long,5.200799999999904,5.228142857142879,go_long,go_long,9336604.0,5.178,False,go_long,go_long,5.172,go_long,1,4.904,0,4.7,5.475200000000009,5.2659262309638875
144,NEAR/USDT:USDT,2023-12-25 18:15:00+00:00,first_buy,stop_loss,4.277,4.388,4.1351036251097195,4.046770498332895,4.257,0,4.2620000000000005,4027397.0,1,False,4.219999999999913,4.1675714285714704,4.006639999999993,-24.39700378,-0.4085665864627879,0,go_long,go_long,go_long,go_long,go_long,go_long,1,2.6744901341959557,go_long,2.639799999999903,2.6498571428571793,go_long,go_long,1208018.0,2.638,False,go_long,go_long,2.624,go_long,1,2.604,0,2.593,2.688799999999993,2.6594625076327834
