,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,short_kdj (exit),long_jcrosk (exit),volume (exit),close (exit),sma-05 (exit),sma-07 (exit),ema-12 (exit),low (exit),ema-26 (exit),open (exit),sma-25 (exit),mean-grad-hist (exit),high (exit)
428,STORJ/USDT:USDT,2020-09-16 13:45:00+00:00,second_buy,trailing_stop_loss,0.4307,0.4339,0.43383002974361273,0.4360757834757834,0.4297,0,0.43260000000000004,30270.0,0,False,0.4337,0.4337714285714283,0.43572799999999995,4.31361726,0.070789768531282,False,0,104828.0,0.3869,0.38872000000000023,0.38864285714285735,0.3844445803542865,0.3854,0.3874512617276093,0.3854,0.38610800000000034,1,0.38880000000000003
426,COMP/USDT:USDT,2024-07-23 07:15:00+00:00,first_buy,trailing_stop_loss,50.2,50.33,50.35877089118914,50.61035519955077,50.11,0,50.14,1170.644,0,False,50.197999999999865,50.16714285713979,50.79799999999841,-6.11764249,-0.09966421018761464,False,0,13627.073,46.22,46.711999999999954,46.904285714282665,47.29390123057019,45.57,47.01031672309174,46.45,47.36879999999834,1,46.45
425,COMP/USDT:USDT,2024-06-03 16:30:00+00:00,first_buy,trailing_stop_loss,58.86,58.9,58.891740721366794,58.95281771146761,58.63,1,58.73,1367.78,1,False,58.88399999999977,58.78999999999703,58.90039999999846,-8.93181136,-0.14552746531351132,False,0,9170.891,50.8,51.305999999999834,51.27714285713974,51.29903974414051,50.46,51.26444969005433,51.25,51.26199999999844,1,51.26
424,COMP/USDT:USDT,2024-04-20 16:45:00+00:00,first_buy,trailing_stop_loss,57.11,57.26,56.359286856636494,55.89031187606554,57.01,0,57.24,2271.357,0,False,56.879999999999846,56.55571428571141,55.70239999999846,0.62073411,0.010113618599178762,False,0,1336.713,58.54,58.7439999999998,58.74571428571131,58.85249021103048,58.46,58.802905543541144,58.77,58.92639999999846,1,58.77
423,COMP/USDT:USDT,2024-03-16 21:15:00+00:00,first_buy,trailing_stop_loss,76.68,77.02,76.66832092197905,77.50130222930933,75.98,0,76.56,6257.255,0,False,76.35799999999985,76.37857142856903,77.5559999999985,-21.80855985,-0.3552699453028783,False,0,7167.914,52.91,53.52999999999993,53.448571428568584,54.61631079700202,52.9,53.721255019981726,53.31,54.88399999999849,1,53.72
422,COMP/USDT:USDT,2024-02-11 08:00:00+00:00,first_buy,trailing_stop_loss,55.96,56.0,55.80423883214315,55.590655774837295,55.9,1,55.94,1954.248,0,False,55.899999999999736,55.87428571428348,55.53079999999866,22.19986996,0.3616643553572381,False,0,32307.891,78.85,81.31599999999987,81.82714285714054,82.97610171394604,78.74,81.79745363222348,80.53,82.40599999999851,1,80.54
420,COMP/USDT:USDT,2023-09-29 19:00:00+00:00,first_buy,trailing_stop_loss,47.34,47.49,47.171014159104445,47.22204524816463,47.29,0,47.39,14506.744,0,False,47.21999999999937,47.17857142856934,47.05879999999857,7.55070921,0.12300780892342315,False,0,54715.825,56.67,56.283999999999466,55.801428571426506,54.74052449841735,56.6,55.37240961981882,58.02,54.379999999998645,1,58.21
399,COMP/USDT:USDT,2021-09-25 16:15:00+00:00,first_buy,trailing_stop_loss,336.93,338.36,335.87783636571845,336.89729515724804,331.5,1,332.44,2229.723,1,False,335.72800000000046,334.6842857142868,337.48999999999876,-9.36095558,-0.15292292659035422,False,0,7379.878,330.4,338.46799999999973,341.33000000000027,342.1752231995878,330.1,340.48471031235147,332.23,342.1091999999985,1,333.63
398,COMP/USDT:USDT,2021-08-25 08:30:00+00:00,first_buy,trailing_stop_loss,426.59,427.26,430.16574850784383,430.7165036369994,425.0,1,425.64,1948.968,0,False,428.65000000000134,430.34428571428583,430.98239999999913,-16.37899484,-0.2669549872709746,False,0,7791.179,326.59,333.6660000000007,335.60142857143035,341.35378409054897,324.11,337.24672065174707,338.08,340.8423999999988,1,338.35
397,COMP/USDT:USDT,2021-07-20 09:45:00+00:00,first_buy,trailing_stop_loss,317.68,318.22,318.94348749990314,320.6569018430665,314.89,1,314.97,2518.166,0,False,317.0880000000031,319.3842857142854,317.120399999999,17.36256493,0.2838810891319635,False,0,8211.545,423.26,434.66600000000125,436.1800000000002,448.3393068004676,423.0,440.0253248447415,433.26,451.491199999999,1,435.55
