,pair,open_date,enter_reason,exit_reason,close_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-small-rl (exit),short_kdj (exit),low (exit),sma-05 (exit),sma-25 (exit),ema-26 (exit),mean-grad-hist (exit),short-bid-rl (exit),open (exit),high (exit),short-large-rl (exit),close (exit),long-small-rl (exit),ema-12 (exit),sma-07 (exit),volume (exit),sma-compare (exit),long-large-rl (exit),long-bid-rl (exit),long_jcrosk (exit)
168,ASTR/USDT:USDT,2024-09-04 07:15:00+00:00,second_buy,roi,2024-09-04 20:15:00+00:00,0.057780000000000005,0.05811,0.05800823750851001,0.05807812994870714,0.057780000000000005,0,0.05811,3435.0,0,False,0.05785599999999873,0.05782428571428539,0.05783840000000053,0.06390589,0.006475534216026387,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.05763000000000001,0.057637999999998725,0.05788440000000053,0.0577858741842715,0,go_short,0.05763000000000001,0.05763000000000001,go_long,0.05763000000000001,go_short,0.05774392366204276,0.057598571428571096,0.0,0,go_long,go_short,1
142,ASTR/USDT:USDT,2024-08-01 09:00:00+00:00,second_buy,roi,2024-08-01 17:45:00+00:00,0.06855,0.06875,0.06858327618424997,0.06893472299757825,0.06855,0,0.06875,4247.0,0,False,0.06841199999999859,0.06844714285714279,0.06884440000000062,0.26756954,0.027802995554775816,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06603,0.0663999999999986,0.06840160000000062,0.06710092267093307,0,go_short,0.06603,0.06603,go_long,0.06603,go_short,0.06791105294923043,0.06651142857142853,0.0,1,go_long,go_short,0
140,ASTR/USDT:USDT,2024-08-01 02:30:00+00:00,second_buy,roi,2024-08-01 05:30:00+00:00,0.06974000000000001,0.06974000000000001,0.0701762459763479,0.07052203148750327,0.06957,1,0.06958,5597.0,0,False,0.06997799999999862,0.07014142857142854,0.07043000000000058,0.0450352,0.004640466954921486,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06879,0.06868999999999861,0.0697256000000006,0.06914855032334401,0,go_short,0.06879,0.06879,go_long,0.06879,go_short,0.06965194599605234,0.06899142857142851,0.0,1,go_long,go_short,0
116,ASTR/USDT:USDT,2024-06-17 08:00:00+00:00,second_buy,roi,2024-06-17 13:00:00+00:00,0.07465000000000001,0.07465000000000001,0.07539419692065925,0.07608316216170548,0.07465000000000001,0,0.07465000000000001,599.0,0,False,0.07481799999999872,0.07495571428571358,0.0759908000000004,0.1701921,0.01750107479274146,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.07361000000000001,0.07375599999999874,0.0738292000000004,0.07369002300411287,1,go_short,0.07361000000000001,0.07361000000000001,go_long,0.07361000000000001,go_short,0.07412079054887664,0.07380571428571361,0.0,1,go_long,go_short,1
117,ASTR/USDT:USDT,2024-06-17 13:15:00+00:00,second_buy,roi,2024-06-17 21:45:00+00:00,0.07343000000000001,0.07343000000000001,0.07358232715732628,0.0740370282859969,0.07292000000000001,1,0.07299,417.0,0,False,0.07357199999999875,0.0736614285714279,0.0737616000000004,0.09638538,0.010119555060924029,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.07246000000000001,0.07248399999999879,0.07305600000000041,0.072857201368581,0,go_short,0.07246000000000001,0.07246000000000001,go_long,0.07246000000000001,go_short,0.0730847082676099,0.07258999999999935,0.0,1,go_long,go_short,0
118,ASTR/USDT:USDT,2024-06-17 22:15:00+00:00,second_buy,roi,2024-06-18 04:45:00+00:00,0.07233,0.07233,0.07272284831714972,0.07298521627881507,0.07232000000000001,0,0.07232000000000001,20.0,0,False,0.0723259999999988,0.0724571428571422,0.0730596000000004,0.66140789,0.07042098791269144,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06701,0.06697799999999879,0.06868040000000039,0.06726295713027133,0,go_short,0.06701,0.06701,go_long,0.06701,go_short,0.06849496313783957,0.06698571428571362,0.0,1,go_long,go_short,0
119,ASTR/USDT:USDT,2024-06-18 05:00:00+00:00,second_buy,roi,2024-06-23 20:30:00+00:00,0.06705000000000001,0.0671,0.0672209637256142,0.06838348438688849,0.06699000000000001,0,0.06699000000000001,4088.0,0,False,0.06692399999999879,0.06700428571428504,0.0684672000000004,0.01488888,0.0015912645509058069,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06786,0.0679739999999989,0.06839360000000044,0.06806155810265106,1,go_short,0.06786,0.06786,go_long,0.06786,go_short,0.06835541606481985,0.06796142857142803,0.0,0,go_long,go_short,1
240,BSV/USDT:USDT,2024-09-21 22:30:00+00:00,first_buy,roi,2024-09-28 05:00:00+00:00,49.31,49.33,49.3629193255183,49.367045961258015,49.31,0,49.31,278.0,0,False,49.3160000000012,49.33571428571537,49.44119999999985,0.60081397,0.06083658587510199,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,do_nothing,False,52.74,52.8260000000012,52.98319999999987,52.89530724094633,1,go_long,52.74,52.74,go_long,52.74,do_nothing,52.963110774442576,52.82571428571533,0.0,0,go_long,go_long,0
121,ASTR/USDT:USDT,2024-06-23 23:30:00+00:00,second_buy,roi,2024-06-24 02:30:00+00:00,0.06738000000000001,0.06738000000000001,0.06794676947467893,0.06813038963170595,0.06738000000000001,1,0.06738000000000001,441.0,0,False,0.06780999999999889,0.06802428571428516,0.06801960000000043,0.00094486,0.00010026351670756536,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06765,0.06752599999999889,0.06777160000000043,0.06761618958961652,0,go_short,0.06765,0.06765,go_long,0.06765,go_short,0.06777940153716205,0.06755428571428515,0.0,1,go_long,go_short,0
122,ASTR/USDT:USDT,2024-06-24 02:45:00+00:00,second_buy,roi,2024-06-24 05:15:00+00:00,0.06766000000000001,0.06769,0.06754600657582936,0.06773351994181671,0.06716000000000001,1,0.06716000000000001,5736.0,1,False,0.06753999999999889,0.06750428571428516,0.06774360000000045,0.1479674,0.015757640273577123,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06714,0.0670419999999989,0.06741320000000045,0.06725046829537382,1,go_short,0.06714,0.06714,go_long,0.06714,go_short,0.06746125130369504,0.06714428571428517,0.0,1,go_long,go_short,0
123,ASTR/USDT:USDT,2024-06-24 05:30:00+00:00,second_buy,roi,2024-06-27 08:45:00+00:00,0.06595000000000001,0.06595000000000001,0.0670503962499317,0.0673493067626806,0.06556000000000001,1,0.06595000000000001,1158.0,0,False,0.06678599999999889,0.0669128571428566,0.06734280000000045,0.03018121,0.0030651267104369116,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06533,0.06529399999999884,0.06552680000000047,0.06529926336761438,0,go_short,0.06533,0.06533,go_long,0.06533,go_short,0.06560274914701163,0.06522571428571372,0.0,0,go_long,go_short,0
124,ASTR/USDT:USDT,2024-06-27 09:00:00+00:00,second_buy,roi,2024-06-29 22:15:00+00:00,0.06541000000000001,0.06544000000000001,0.06532091515721217,0.0655906936546404,0.0654,0,0.06544000000000001,794.0,0,False,0.06533399999999884,0.06528857142857086,0.06550720000000046,0.0071076,0.0007229299105537485,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06574,0.06574199999999879,0.06621160000000047,0.065969812294238,1,go_short,0.06574,0.06574,go_long,0.06574,go_short,0.06617672685052052,0.06587428571428518,0.0,1,go_long,go_short,0
