,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),open (exit),close (exit),low (exit),short-small-rl (exit),long-large-rl (exit),short-bid-rl (exit),high (exit),long-bid-rl (exit),long_jcrosk (exit),sma-compare (exit),mean-grad-hist (exit),sma-25 (exit),short_kdj (exit),ema-26 (exit),short-large-rl (exit),long-small-rl (exit),volume (exit),sma-07 (exit),sma-05 (exit),ema-12 (exit)
7402,CAKE/USDT:USDT,2025-01-08 14:45:00+00:00,first_buy,force_exit,2.382,2.393,2.3972244123594257,2.4129221085152706,2.354,1,2.356,269819.0,0,False,2.3836000000000936,2.3931428571431073,2.419039999999768,-0.49311742,-0.022206310638514023,1,go_long,go_long,go_long,go_long,go_long,go_long,2.326,2.316,2.316,go_long,go_long,go_long,2.326,go_long,0,0,1,2.3030799999997686,False,2.3107760102813115,go_long,go_long,6334.0,2.3117142857145376,2.3160000000000935,2.3075601781394934
686,AAVE/USDT:USDT,2025-01-10 07:45:00+00:00,second_buy,force_exit,295.9,300.69,293.26141254034326,289.8741884883892,295.84,0,300.2,19338.0,0,False,296.2199999999952,294.9571428571417,289.1279999999972,0.46113767,0.02196627340198293,0,go_long,go_long,go_short,go_short,go_long,go_long,291.93,293.02,291.57,go_long,go_short,go_long,293.15,go_long,0,0,1,290.8523999999972,False,292.26998095389496,go_short,go_long,6806.0,292.5642857142845,292.591999999995,291.28759828010607
8259,CREAM/USDT:USDT,2025-01-07 15:15:00+00:00,first_buy,force_exit,13.66,13.66,13.704752764924882,13.786699862024237,13.2,1,13.25,23556.0,0,False,13.653999999999087,13.694285714285424,13.811199999999822,-3.21283234,-0.14418790284288935,1,go_long,go_long,go_long,go_long,go_long,go_long,11.44,11.35,11.35,go_long,go_long,go_long,11.44,go_long,1,0,1,11.371199999999824,False,11.377333054470935,go_long,go_long,3411.0,11.381428571428302,11.381999999999122,11.415940329084194
7985,CHR/USDT:USDT,2025-01-10 10:30:00+00:00,first_buy,force_exit,0.21760000000000002,0.21760000000000002,0.21805662729221637,0.21664269906856884,0.21760000000000002,1,0.21760000000000002,5.0,1,False,0.2188800000000078,0.21838571428570974,0.21650400000000627,-0.426012,-0.019558199153787387,0,go_long,go_long,go_long,go_long,go_long,go_long,0.2141,0.2139,0.2139,go_long,go_long,go_long,0.2141,go_long,0,0,0,0.21234800000000628,False,0.21303286806588032,go_long,go_long,116.0,0.21334285714285267,0.2134000000000079,0.21276899564190446
7592,CETUS/USDT:USDT,2025-01-08 17:15:00+00:00,first_buy,force_exit,0.32763000000000003,0.32763000000000003,0.3316153488086131,0.3358574861527739,0.31481000000000003,1,0.31509000000000004,18776.0,0,False,0.32832600000000384,0.33027000000000023,0.3367751999999981,-0.53916648,-0.028579576801537263,1,go_long,go_long,go_long,go_long,go_long,go_long,0.30910000000000004,0.30739000000000005,0.30738000000000004,go_long,go_long,go_long,0.30979,go_long,1,0,1,0.30485359999999834,False,0.3065300975276993,go_long,go_long,1368.0,0.30714428571428626,0.3077960000000034,0.3059247906907094
7563,CETUS/USDT:USDT,2024-09-25 12:45:00+00:00,first_buy,long-exit-profit,0.13443000000000002,0.13493000000000002,0.13480932009817895,0.1334400159411115,0.13348000000000002,1,0.13477,2726.0,0,False,0.13517200000000132,0.13512428571428609,0.13322079999999936,6.7314855,0.33223460991357834,0,go_long,go_long,go_long,go_long,go_long,go_long,0.17624,0.17982,0.17624,go_long,go_long,go_long,0.18245,go_long,0,0,0,0.1666551999999994,False,0.17220358381354606,go_long,go_long,18712.0,0.17376285714285755,0.17571000000000148,0.16768199463990033
3181,ATOM/USDT:USDT,2022-02-24 03:45:00+00:00,first_buy,long-exit-profit,23.6,23.64,24.42277908448749,24.94999795932323,22.883,1,23.011,7443.0,0,False,24.045600000000206,24.338857142857112,25.09828000000006,7.590316,0.32939762236026354,1,go_long,go_long,go_long,go_long,go_long,go_long,29.955,30.644,29.955,go_long,go_long,go_long,30.963,go_long,0,0,0,29.531520000000068,False,29.887540921944296,go_long,go_long,29053.0,29.949571428571392,30.0098000000002,29.51538714505188
3192,ATOM/USDT:USDT,2022-05-12 07:15:00+00:00,first_buy,long-exit-profit,9.035,9.095,9.239135096157355,9.64134767627975,8.559,1,8.644,18785.0,1,False,9.126800000000177,9.12928571428569,9.784120000000037,5.62987,0.3264216920630154,1,go_long,go_long,go_long,go_long,go_long,go_long,11.37,11.451,11.254,go_long,go_long,go_long,11.571,go_long,0,0,0,11.03364000000004,False,11.182726609916225,go_long,go_long,8478.0,11.205571428571403,11.245400000000185,11.0337664837888
3201,ATOM/USDT:USDT,2022-06-17 22:00:00+00:00,first_buy,long-exit-profit,6.441,6.474,6.442152117160008,6.438430078338158,6.441,0,6.474,929.0,0,False,6.458400000000196,6.455142857142808,6.432280000000062,6.368898,0.32891519150824355,0,go_long,go_long,go_long,go_long,go_long,go_long,8.54,8.579,8.54,go_long,go_long,go_long,8.622,go_long,0,0,0,8.327920000000063,False,8.42386420575225,go_long,go_long,3387.0,8.460571428571381,8.484200000000191,8.351550836995001
3315,ATOM/USDT:USDT,2024-11-17 22:15:00+00:00,first_buy,long-exit-profit,5.6,5.631,5.666747032358581,5.712830840018957,5.569,1,5.631,8578.0,0,False,5.6456000000002495,5.656285714285842,5.718040000000052,5.66808445,0.33507438475483925,1,go_long,go_long,go_long,go_long,go_long,go_long,7.448,7.549,7.437,go_long,go_long,go_long,7.549,go_long,0,0,0,7.334880000000059,False,7.402599061736616,go_long,go_long,12500.0,7.416428571428697,7.444200000000242,7.3322995350580715
