,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,open (exit),volume (exit),ema-12 (exit),sma-25 (exit),long_jcrosk (exit),sma-05 (exit),mean-grad-hist (exit),long-large-rl (exit),close (exit),short-small-rl (exit),high (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit),short_kdj (exit),low (exit),ema-26 (exit),long-small-rl (exit),sma-compare (exit),sma-07 (exit)
1804,COTI/USDT:USDT,2022-04-24 14:00:00+00:00,second_buy,short-exit-profit,0.21403000000000003,0.21539000000000003,0.21760714679408055,0.21966931237681508,0.214,0,0.21521,1757370.0,0,False,0.21592599999999457,0.21658714285714492,0.2203848000000022,6.73234107,0.10986848463750924,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2022-04-30 18:00:00+00:00,0.19525,5880272.0,0.19846631808695028,0.19888080000000216,0,0.19522399999999457,1,do_nothing,0.1913,go_short,0.19556,go_short,go_short,do_nothing,False,0.19062,0.1967716639826767,go_short,1,0.1965128571428593
1859,COTI/USDT:USDT,2023-12-30 13:45:00+00:00,second_buy,short-exit-profit,0.0693,0.07023,0.07027362875732153,0.07078825849446507,0.06915,0,0.07005,3343671.0,0,False,0.06992399999999357,0.07022571428571737,0.07084520000000215,6.32640176,0.10328829528829528,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2024-01-03 12:15:00+00:00,0.07323,48345510.0,0.07369871748826821,0.07453080000000215,0,0.0717299999999936,1,do_nothing,0.06306,go_short,0.07323,go_short,go_short,do_nothing,False,0.0562,0.07276492049069434,go_short,1,0.07262428571428887
2152,GAS/USDT:USDT,2024-06-17 14:15:00+00:00,second_buy,short-exit-profit,3.6710000000000003,3.71,3.7093269776476516,3.753566932395324,3.669,0,3.71,55602.2,0,False,3.69340000000001,3.69857142857141,3.743800000000063,7.25884542,0.11873022266120135,1,go_short,go_short,go_long,go_long,go_short,go_short,2024-06-18 01:45:00+00:00,3.564,755529.9,3.672122202113283,3.705960000000065,0,3.549000000000011,1,go_long,3.263,go_short,3.566,go_short,go_short,go_long,False,3.146,3.6105994771688743,go_short,1,3.589142857142837
1858,COTI/USDT:USDT,2023-12-27 14:30:00+00:00,second_buy,short-exit-profit,0.07764,0.0785,0.07700505861076087,0.07661261276927459,0.07706,1,0.07724,3673944.0,1,False,0.0773939999999936,0.07713142857143158,0.07649920000000217,6.29271518,0.10269601614363703,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2023-12-30 13:30:00+00:00,0.06964000000000001,2035026.0,0.07084731917402227,0.07097520000000214,0,0.07011599999999359,1,do_nothing,0.06929,go_short,0.06966,go_short,go_short,do_nothing,False,0.06918,0.07031428853137998,go_short,1,0.07025285714286024
2153,GAS/USDT:USDT,2024-06-18 02:00:00+00:00,second_buy,short-exit-profit,3.262,3.403,3.5761995576044323,3.6510020389937803,3.193,1,3.387,594042.1,0,False,3.502400000000011,3.544571428571409,3.689920000000065,7.5963259,0.1240350222712097,1,go_short,go_short,go_long,go_long,go_short,go_short,2024-07-05 00:45:00+00:00,3.068,386382.7,3.2123926666316795,3.2370000000000654,0,3.087200000000016,1,go_long,2.965,go_short,3.085,go_short,go_short,go_long,False,2.911,3.1559930331401653,go_short,1,3.127999999999982
2151,GAS/USDT:USDT,2024-06-11 16:00:00+00:00,second_buy,short-exit-profit,4.044,4.092,4.1321747215265745,4.164808354207356,4.037,1,4.079,121115.2,0,False,4.112200000000012,4.123142857142844,4.176120000000063,6.05141714,0.09900260872133064,1,go_short,go_short,go_long,go_long,go_short,go_short,2024-06-17 14:00:00+00:00,3.6870000000000003,80183.6,3.7570522869869496,3.7499600000000637,0,3.690800000000009,0,go_long,3.672,go_short,3.69,go_short,go_short,go_long,False,3.654,3.7092046099472245,go_short,1,3.6977142857142673
1861,COTI/USDT:USDT,2024-01-07 23:00:00+00:00,second_buy,short-exit-profit,0.05834,0.058440000000000006,0.05929994149311735,0.05987741595330339,0.057760000000000006,1,0.0579,889731.0,1,False,0.05879799999999343,0.05912000000000317,0.05993080000000219,6.30728853,0.10295031628369528,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2024-01-23 08:45:00+00:00,0.05263,3870327.0,0.05371529772175629,0.053994400000002205,1,0.05282999999999364,1,do_nothing,0.052160000000000005,go_short,0.05269000000000001,go_short,go_short,do_nothing,False,0.05188,0.05332246269830454,go_short,1,0.05308571428571738
1710,COTI/USDT:USDT,2021-04-03 17:45:00+00:00,second_buy,short-exit-profit,0.39283,0.39718000000000003,0.40716646648699567,0.4143280912675982,0.38715000000000005,1,0.39292000000000005,3266250.0,0,False,0.4022879999999981,0.4046242857142862,0.41811919999999986,6.27938455,0.10254697603055198,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-04-07 11:30:00+00:00,0.3764,8748998.0,0.3951964776463563,0.3965327999999997,0,0.37784199999999735,1,do_nothing,0.3588,go_short,0.38364000000000004,go_short,go_short,do_nothing,False,0.35393,0.38476494115446463,go_short,1,0.382942857142858
1709,COTI/USDT:USDT,2021-03-24 22:45:00+00:00,second_buy,short-exit-profit,0.40397000000000005,0.42442,0.4447414100666087,0.46051858388646666,0.40321,1,0.4181,9349020.0,0,False,0.43525599999999764,0.4419500000000002,0.46535080000000006,6.14003078,0.10080482374682276,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-04-03 17:30:00+00:00,0.40536000000000005,13059586.0,0.41604073856900603,0.41963839999999986,0,0.40593999999999814,1,do_nothing,0.39282000000000006,go_short,0.40553000000000006,go_short,go_short,do_nothing,False,0.37874,0.40975673312099486,go_short,1,0.40619285714285763
2155,GAS/USDT:USDT,2024-07-21 00:15:00+00:00,second_buy,short-exit-profit,3.917,4.117,3.9246005540947713,3.913718266622236,3.91,0,4.031,766824.2,0,False,3.9334000000000118,3.9228571428571217,3.908800000000068,6.47026632,0.1057061566129448,0,go_short,go_short,go_long,go_long,go_short,go_short,2024-07-25 01:15:00+00:00,3.713,230136.3,3.719500092639175,3.722040000000066,1,3.689800000000011,1,go_long,3.598,go_short,3.713,go_short,go_short,go_long,False,3.557,3.6939710312529828,go_short,1,3.690999999999979
