,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),sma-25 (exit),open (exit),ema-26 (exit),low (exit),long-large-rl (exit),sma-05 (exit),long_jcrosk (exit),short-small-rl (exit),short_kdj (exit),short-large-rl (exit),volume (exit),long-bid-rl (exit),ema-12 (exit),short-bid-rl (exit),sma-07 (exit),long-small-rl (exit),high (exit),sma-compare (exit),close (exit)
127,BAL/USDT:USDT,2021-05-24 20:15:00+00:00,first_buy,stop_loss,31.701,31.891,30.72749656887212,30.114228586435942,31.485,0,31.6,9777.9,0,False,31.102999999999845,30.940142857142984,30.068360000000077,-22.67421196,-0.3772864297770982,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,20.537240000000065,19.35,19.95255763280834,19.21,go_long,19.460999999999842,1,go_short,False,go_long,25256.6,do_nothing,20.45216376594428,do_nothing,19.710428571428707,go_short,19.428,1,19.212
128,BAL/USDT:USDT,2021-07-06 08:15:00+00:00,first_buy,stop_loss,26.271,26.4,25.94043981299428,25.608016989945163,26.2,1,26.239,20681.5,0,False,26.102999999999803,26.049142857142975,25.506320000000073,-22.24891006,-0.3682981585098746,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,16.204160000000115,16.086,16.18341510063408,16.028,go_long,16.11259999999983,0,go_short,False,go_long,9804.3,do_nothing,16.284128638562255,do_nothing,16.17514285714301,go_short,16.204,1,16.044
129,BAL/USDT:USDT,2021-08-21 09:15:00+00:00,first_buy,stop_loss,31.07,32.075,30.870548306635055,30.500611835063705,31.001,0,31.502,87930.4,1,False,31.0687999999998,31.016571428571574,30.425280000000093,-24.2272968,-0.4043830472598816,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,20.802280000000138,19.756,20.222993434464765,19.505,go_long,19.880999999999727,0,go_short,False,go_long,27708.5,do_nothing,20.676724661468594,do_nothing,20.07842857142865,go_short,19.913,1,19.519
116,ETC/USDT:USDT,2022-05-02 11:45:00+00:00,first_buy,stop_loss,27.049,27.092,27.26436199597988,27.453513304137623,26.65,1,26.71,168887.73,0,False,27.071799999999104,27.179285714285726,27.583239999999947,-24.13627991,-0.3942240777197053,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,0,18.36839999999991,17.153,17.410589558549187,16.505,go_long,17.137399999999012,1,go_long,False,go_long,349993.29,do_nothing,18.129833393756776,do_nothing,17.11914285714286,go_long,17.16,0,16.505
130,BAL/USDT:USDT,2021-11-03 19:45:00+00:00,first_buy,stop_loss,28.295,28.374,27.680148006007936,27.336195382926736,27.835,1,28.226,32377.4,1,False,28.122399999999736,27.96671428571443,27.040120000000055,-24.4376919,-0.4118966401674128,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,18.505280000000113,17.972,18.164190309227838,17.629,go_long,17.94879999999969,0,go_short,False,go_long,24572.8,do_nothing,18.469752328094227,do_nothing,18.041714285714402,go_short,18.095,1,17.651
134,BAL/USDT:USDT,2022-05-28 17:30:00+00:00,first_buy,stop_loss,6.765,6.765,6.749508187310407,6.732733978423001,6.657,1,6.719,60525.7,1,False,6.7535999999996985,6.764285714285959,6.737000000000103,-23.56626187,-0.38510151750503246,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,4.2789200000001015,4.26,4.282712084334494,4.254,go_long,4.280199999999732,0,go_short,False,go_long,10325.2,do_nothing,4.287035167335882,do_nothing,4.29057142857167,go_short,4.272,0,4.264
135,BAL/USDT:USDT,2022-08-12 10:30:00+00:00,first_buy,stop_loss,9.719,9.811,7.035676824953942,6.724267793242088,7.335,0,7.521,4615745.1,0,False,7.347999999999756,7.085285714285966,6.585880000000086,-22.73528804,-0.37277607847491745,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,4.775920000000097,4.727,4.7317131600328235,4.606,go_long,4.716799999999807,0,go_short,False,go_long,94674.6,do_nothing,4.772521037708703,do_nothing,4.72728571428596,go_short,4.736,1,4.618
136,BAL/USDT:USDT,2022-10-25 17:15:00+00:00,first_buy,stop_loss,6.399,6.851,6.343954632143031,6.26178322674246,6.397,0,6.612,1683956.4,1,False,6.408999999999807,6.372142857143106,6.233760000000088,-22.7861017,-0.3742665117037869,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,4.167440000000145,4.151,4.161603016421365,4.138,go_long,4.154599999999843,0,go_short,False,go_long,11070.6,do_nothing,4.16833508381146,do_nothing,4.1612857142858894,go_short,4.157,1,4.14
274,NEO/USDT:USDT,2024-08-05 01:30:00+00:00,second_buy,stop_loss,8.281,8.465,8.854207816402004,9.031219871279625,8.138,1,8.342,352954.27,0,False,8.670400000000408,8.795714285713425,9.125640000000283,-23.53887467,-0.38424712406436456,1,go_long,go_long,do_nothing,do_nothing,go_short,go_short,0,10.94364000000028,11.314,11.235901655462932,11.294,do_nothing,11.351400000000428,0,go_long,False,do_nothing,264119.25,go_short,11.055093802732864,go_short,11.330571428570599,go_long,11.61,0,11.557
138,BAL/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,stop_loss,3.735,3.763,3.906353995063393,4.011278550183,3.24,1,3.454,373232.7,0,False,3.8385999999998317,3.8988571428572767,4.051680000000112,-24.64352522,-0.4025755895195911,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,2.167200000000105,2.121,2.1455617991405345,2.108,go_long,2.125399999999865,0,go_short,False,go_long,54503.6,do_nothing,2.1600457532498867,do_nothing,2.1324285714287297,go_short,2.1310000000000002,1,2.12
