,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,mean-grad-hist (exit),long-small-rl (exit),short_kdj (exit),long-large-rl (exit),high (exit),short-small-rl (exit),open (exit),sma-compare (exit),volume (exit),long-bid-rl (exit),close (exit),long_jcrosk (exit),sma-07 (exit),sma-05 (exit),short-large-rl (exit),low (exit),ema-26 (exit),sma-25 (exit),short-bid-rl (exit),ema-12 (exit)
1144,CAKE/USDT:USDT,2024-06-21 18:30:00+00:00,second_buy,roi,2.211,2.22,2.2233158553475687,2.2334353801570237,2.211,0,2.217,6988.0,0,False,2.2106000000001,2.2168571428573807,2.2351599999997687,0.05069984,0.004853032808088988,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-22 01:15:00+00:00,1,go_short,False,go_short,2.201,go_short,2.201,1,0.0,go_short,2.201,0,2.210000000000238,2.207200000000099,go_short,2.201,2.211772269413739,2.2217199999997685,go_short,2.218666849907857
1145,CAKE/USDT:USDT,2024-06-22 01:30:00+00:00,second_buy,roi,2.21,2.21,2.211499612580856,2.218024861025793,2.21,0,2.21,16.0,0,False,2.206000000000099,2.2090000000002377,2.2205599999997685,0.00527716,0.000508562861504038,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-23 20:30:00+00:00,1,go_short,False,go_short,2.227,go_short,2.227,0,0.0,go_short,2.227,0,2.22585714285738,2.2262000000000985,go_short,2.227,2.2257402175809426,2.2271999999997694,go_short,2.230158002646954
1146,CAKE/USDT:USDT,2024-06-23 20:45:00+00:00,second_buy,roi,2.21,2.21,2.221472491799259,2.2277759283768095,2.192,1,2.198,7092.0,1,False,2.2208000000000987,2.222000000000237,2.2257999999997695,0.1672166,0.01611475729122788,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-24 02:30:00+00:00,1,go_short,False,go_short,2.173,go_short,2.173,1,0.0,go_short,2.173,0,2.184000000000237,2.180400000000099,go_short,2.173,2.1849359549136316,2.1944799999997695,go_short,2.194798283268608
1147,CAKE/USDT:USDT,2024-06-24 02:45:00+00:00,second_buy,roi,2.173,2.173,2.181715038773073,2.192516928952415,2.164,1,2.164,13043.0,0,False,2.1760000000000987,2.17985714285738,2.1919599999997694,0.14938368,0.01438261899942417,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-24 22:00:00+00:00,0,go_short,False,go_short,2.123,go_short,2.123,0,0.0,go_short,2.123,0,2.09885714285738,2.1110000000000975,go_short,2.123,2.1007569161403667,2.0917199999997704,go_short,2.097360383347966
1148,CAKE/USDT:USDT,2024-06-24 22:15:00+00:00,second_buy,roi,2.128,2.1310000000000002,2.1047943136572336,2.0995559105073758,2.127,0,2.127,731.0,0,False,2.1192000000000975,2.1082857142859512,2.0931999999997704,0.00209622,0.0002013296794679023,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-25 12:45:00+00:00,1,go_short,False,go_short,2.124,go_short,2.124,1,0.0,go_short,2.124,0,2.1331428571430933,2.1294000000000977,go_short,2.124,2.132956988252341,2.1367999999997718,go_short,2.13737414868602
1149,CAKE/USDT:USDT,2024-06-25 13:00:00+00:00,second_buy,roi,2.121,2.125,2.1309636054442884,2.1360871747092776,2.12,1,2.12,576.0,0,False,2.126000000000098,2.129857142857379,2.1356399999997717,0.05290089,0.005102411193062751,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-30 03:30:00+00:00,0,go_short,False,go_short,2.106,go_short,2.106,1,0.0,go_short,2.106,0,2.1067142857145167,2.1056000000000994,go_short,2.106,2.1104269951977255,2.1172399999997715,go_short,2.1181075162922913
1150,CAKE/USDT:USDT,2024-06-30 04:15:00+00:00,second_buy,roi,2.1,2.1,2.107451220122063,2.1150187441989052,2.098,1,2.098,2268.0,1,False,2.104400000000099,2.104714285714517,2.114039999999771,0.00628082,0.0006112830314831268,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-02 03:00:00+00:00,0,go_short,False,go_short,2.085,go_short,2.085,0,0.0,go_short,2.085,1,2.0858571428573747,2.0866000000001015,go_short,2.085,2.0907282151926485,2.1036799999997706,go_short,2.102518738863264
1151,CAKE/USDT:USDT,2024-07-02 03:15:00+00:00,second_buy,roi,2.094,2.098,2.091385412855318,2.1019617952437626,2.094,0,2.095,10438.0,0,False,2.0882000000001018,2.087142857143089,2.1014399999997706,0.08559222,0.008350183994883135,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-03 06:00:00+00:00,0,go_short,False,go_short,2.073,go_short,2.073,1,0.0,go_short,2.073,0,2.0728571428573725,2.0728000000000995,go_short,2.073,2.080520326524085,2.101479999999771,go_short,2.093828415020204
1152,CAKE/USDT:USDT,2024-07-03 06:30:00+00:00,second_buy,roi,2.086,2.086,2.080384375795351,2.0918199717251404,2.086,0,2.086,89.0,0,False,2.0754000000001,2.0747142857145153,2.097399999999771,0.215406,0.02066330825315013,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-03 14:45:00+00:00,0,go_short,False,go_short,2.048,go_short,2.048,0,0.0,go_short,2.048,0,2.0438571428573726,2.0486000000001003,go_short,2.048,2.045491775811498,2.0540399999997705,go_short,2.053561667209215
1153,CAKE/USDT:USDT,2024-07-03 15:00:00+00:00,second_buy,roi,2.04,2.04,2.0446468872251136,2.052557099267792,2.04,1,2.04,2000.0,1,False,2.0478000000001004,2.0452857142859444,2.0520799999997705,0.16733967,0.01611606699928584,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-03 20:45:00+00:00,0,go_short,False,go_short,2.008,go_short,2.008,1,0.0,go_short,2.008,0,2.0125714285716585,2.0096000000000998,go_short,2.008,2.0193745633840865,2.0316799999997706,go_short,2.0295896405597578
