,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,volume (exit),low (exit),sma-07 (exit),ema-12 (exit),open (exit),mean-grad-hist (exit),sma-05 (exit),close (exit),long_jcrosk (exit),ema-26 (exit),sma-25 (exit),high (exit),short_kdj (exit)
2156,LQTY/USDT:USDT,2024-07-14 05:00:00+00:00,second_buy,trailing_stop_loss,0.8026000000000001,0.8033,0.7927291886384566,0.787660090092348,0.7929,1,0.795,171780.0,1,False,0.7966799999999734,0.7950714285714338,0.7885200000000144,13.64842109,0.22289248094320327,77717.9,0.6124,0.6123571428571465,0.6049408425361336,0.6133000000000001,0,0.6131799999999721,0.6194000000000001,0,0.6109496303933184,0.6067080000000135,0.62,False
2157,LQTY/USDT:USDT,2024-08-06 06:30:00+00:00,second_buy,trailing_stop_loss,0.6191,0.6236,0.6145406272432894,0.6080695252058673,0.6168,1,0.6196,118223.2,1,False,0.6186199999999721,0.6166142857142894,0.6111760000000135,-11.98223578,-0.19563855434476793,105823.9,0.7179,0.717857142857147,0.7123012865018595,0.7217,0,0.7187199999999719,0.7239,0,0.7167741576799725,0.7116600000000143,0.7253000000000001,False
2278,NEO/USDT:USDT,2021-02-06 01:30:00+00:00,first_buy,trailing_stop_loss,26.092,26.186,26.051679108265663,25.873726416125496,25.508,1,25.789,31218.08,0,False,26.0425999999999,26.101714285714195,25.879520000000003,4.97351936,0.08129182754611809,32377.33,32.014,33.17428571428564,34.147654431103085,32.392,1,33.16079999999993,32.037,0,33.505716961092546,34.48288000000006,32.744,False
2277,NEO/USDT:USDT,2020-08-02 04:45:00+00:00,first_buy,trailing_stop_loss,13.593,13.637,13.393958923560492,13.404673320180985,10.44,1,12.327,244668.82,0,False,13.427599999999936,13.473857142857252,13.440919999999972,39.55836608,0.6450456977733561,44272.41,21.148,21.454142857142962,21.696096518439152,21.197,1,21.359999999999882,21.274,0,21.5238052959579,21.76323999999996,21.34,False
2276,NEO/USDT:USDT,2020-07-05 21:30:00+00:00,first_buy,trailing_stop_loss,9.752,9.752,9.777201353368968,9.781611159725804,9.62,1,9.688,17381.6,0,False,9.77279999999991,9.780142857142966,9.787119999999973,15.56916034,0.2535733608085522,37420.33,13.583,13.628857142857253,13.490887185795463,13.792,1,13.704999999999936,13.595,1,13.587951455116945,13.48219999999997,13.819,False
2275,NEO/USDT:USDT,2020-06-02 15:00:00+00:00,first_buy,trailing_stop_loss,12.923,12.926,12.790171312901581,12.80150769545836,11.189,1,11.872,246848.54,0,False,12.787999999999967,12.873000000000138,12.850560000000005,-12.49841825,-0.20383744630883935,14745.83,9.737,9.799714285714396,9.789100052503867,9.771,1,9.79419999999991,9.754,0,9.793419781254235,9.790959999999973,9.782,False
2274,NEO/USDT:USDT,2020-05-09 07:45:00+00:00,first_buy,trailing_stop_loss,10.993,11.081,11.160721294842029,11.208695721351567,10.826,1,10.848,47679.52,0,False,11.069999999999988,11.134714285714344,11.292960000000003,2.33157688,0.038006473505869366,48342.27,12.909,13.034714285714426,12.87586831109503,13.062,1,13.029399999999967,12.922,0,12.957111551610959,12.885080000000006,13.062,False
2273,NEO/USDT:USDT,2020-04-10 08:15:00+00:00,first_buy,trailing_stop_loss,7.494,7.498,7.545172972369736,7.649538116616565,7.366,0,7.489,17790.44,0,False,7.494199999999966,7.517571428571457,7.661039999999988,27.29028648,0.4444943908215314,21750.68,10.971,11.206285714285773,11.237551379059694,11.143,1,11.152999999999988,10.99,0,11.217579712086033,11.313080000000003,11.154,False
2272,NEO/USDT:USDT,2020-03-12 23:30:00+00:00,first_buy,trailing_stop_loss,6.102,6.218,6.243555106817276,6.387558051313253,5.356,1,5.785,30144.28,0,False,6.177199999999988,6.246428571428579,6.439999999999983,17.52425482,0.2854564641554018,4423.33,7.483,7.531142857142885,7.66238116594589,7.502,0,7.5135999999999665,7.495,0,7.555386240073324,7.6797599999999875,7.524,False
2270,NEO/USDT:USDT,2020-02-17 15:30:00+00:00,first_buy,trailing_stop_loss,14.153,14.357,13.929893255380787,13.910605413105413,14.141,0,14.26,6908.3,0,False,14.002999999999997,13.89571428571428,13.867600000000003,-23.71592282,-0.3863558703670702,9196.42,8.968,9.229285714285725,9.401070824786908,9.178,1,9.195199999999986,9.014,0,9.271047942680088,9.439439999999987,9.178,False
2269,ATOM/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,trailing_stop_loss,13.95,14.768,16.5594902910401,18.004452044347953,9.64,1,11.815,700616.49,0,False,15.445999999999907,15.928714285714104,18.455160000000127,-2.0387679,-0.033240618915791206,30874.67,11.543,11.68385714285694,11.842924525158146,11.637,1,11.6029999999999,11.645,0,11.70520372114925,11.847680000000123,11.676,False
2266,ATOM/USDT:USDT,2021-04-18 03:15:00+00:00,first_buy,trailing_stop_loss,22.937,23.253,23.472384039097527,24.01756079422559,22.561,1,22.755,153730.64,0,False,23.175799999999946,23.301999999999826,24.23920000000006,2.85109252,0.04653365862261524,353271.49,25.012,26.54642857142837,27.070903721266067,26.296,1,26.484999999999978,25.545,0,26.672648940051545,27.114160000000155,26.658,False
2265,ATOM/USDT:USDT,2021-02-28 15:45:00+00:00,first_buy,trailing_stop_loss,16.763,17.004,17.084084601025438,17.32226607333387,16.695,1,16.709,96552.51,0,False,17.01360000000002,16.98342857142853,17.416999999999952,-2.35010137,-0.03829252255766771,55776.03,17.96,18.24385714285698,18.6195666644837,18.144,1,18.210399999999968,17.986,0,18.344667715197435,18.668600000000044,18.2,False
2264,ATOM/USDT:USDT,2021-02-06 01:30:00+00:00,first_buy,trailing_stop_loss,12.911,12.975999999999999,12.61729822298331,12.24955683426047,12.404,1,12.464,245744.9,0,False,12.972999999999928,12.887714285714225,12.275719999999989,15.91693746,0.2595292678287666,54380.33,16.964,17.23199999999996,17.572780398733588,17.272,1,17.188800000000022,17.013,0,17.375137155664245,17.635119999999958,17.333,False
2262,ATOM/USDT:USDT,2020-08-02 04:45:00+00:00,first_buy,trailing_stop_loss,4.111,4.133,4.087676312827232,4.107860484659787,3.386,1,3.644,868639.77,0,False,4.073999999999982,4.112285714285702,4.12211999999998,60.49491646,0.9854671413237704,32269.56,7.626,7.7125714285714135,7.766744456313052,7.649,1,7.665199999999966,7.628,1,7.726164501726149,7.765120000000001,7.678,False
2261,ATOM/USDT:USDT,2020-07-10 04:45:00+00:00,first_buy,trailing_stop_loss,3.622,3.625,3.650883549235518,3.6716807507724223,3.563,0,3.599,200654.18,0,False,3.6273999999999953,3.6344285714285647,3.7002399999999835,-3.4583204,-0.05631779034076498,152669.87,4.105,4.189571428571416,4.144969323432569,4.187,1,4.190999999999982,4.111,0,4.168344733341274,4.13979999999998,4.194,False
