,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-07 (exit),mean-grad-hist (exit),long-small-rl (exit),sma-05 (exit),sma-25 (exit),long-bid-rl (exit),long-large-rl (exit),ema-12 (exit),short-large-rl (exit),low (exit),short-small-rl (exit),volume (exit),high (exit),short_kdj (exit),long_jcrosk (exit),sma-compare (exit),ema-26 (exit),close (exit),short-bid-rl (exit),open (exit)
315,AVAX/USDT:USDT,2023-09-17 06:15:00+00:00,second_buy,roi,9.2571,9.2571,9.260997149275067,9.2787434987225,9.2406,1,9.2406,70.0,0,False,9.260180000000028,9.262271428571543,9.261243999999875,-0.00361176,-0.00039058959134151975,0,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,9.26388571428583,1,do_nothing,9.256800000000027,9.258455999999876,go_short,do_nothing,9.264094167081689,do_nothing,9.2529,do_nothing,0.0,9.2529,False,0,0,9.262359960243613,9.2529,go_short,9.2529
314,AVAX/USDT:USDT,2023-09-12 21:00:00+00:00,second_buy,roi,9.2752,9.2752,9.274924126058572,9.29251123576756,9.2581,1,9.2581,4.0,0,False,9.27528000000002,9.275857142857246,9.286179999999879,0.00620152,0.0006705185435162428,1,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,9.26368571428583,1,do_nothing,9.268960000000028,9.266423999999876,go_short,do_nothing,9.281794978620301,do_nothing,9.2577,do_nothing,0.0,9.2577,False,0,0,9.264705721870532,9.2577,go_short,9.2577
313,AVAX/USDT:USDT,2023-09-10 19:15:00+00:00,second_buy,roi,9.4863,9.4863,9.483263354184418,9.503490692369498,9.4863,0,9.4863,78.0,0,False,9.48582000000002,9.47297142857152,9.52659599999988,0.164046,0.017354704101692053,0,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,9.277842857142959,1,do_nothing,9.27828000000002,9.28917999999988,go_short,do_nothing,9.295264134628964,do_nothing,9.2797,do_nothing,0.0,9.2797,False,0,0,9.277983058069221,9.2797,go_short,9.2797
312,AVAX/USDT:USDT,2023-09-10 11:45:00+00:00,second_buy,roi,9.4948,9.5066,9.504034316810872,9.522731803387757,9.4948,0,9.5066,113.0,0,False,9.497400000000017,9.498185714285807,9.512563999999882,0.00514442,0.0005413135118488789,1,do_nothing,do_nothing,do_nothing,do_nothing,go_short,go_short,9.467785714285807,0,do_nothing,9.47556000000002,9.52979599999988,go_short,do_nothing,9.504865947759058,do_nothing,9.4814,do_nothing,0.0,9.4814,False,0,0,9.482711236763402,9.4814,go_short,9.4814
348,BEAMX/USDT:USDT,2024-03-23 22:45:00+00:00,second_buy,roi,0.032986,0.032986999999999995,0.03300522352877502,0.0330219985838086,0.032915,1,0.032915,143.0,0,False,0.03301179999999992,0.03301871428571437,0.03303168000000006,0.05743792,0.008741890742803014,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.03275028571428581,1,go_long,0.032728399999999915,0.03277576000000006,go_short,do_nothing,0.03277477360024381,do_nothing,0.032760000000000004,do_nothing,0.0,0.032760000000000004,False,0,1,0.03272471081120077,0.032760000000000004,go_short,0.032760000000000004
349,BEAMX/USDT:USDT,2024-03-24 03:15:00+00:00,second_buy,roi,0.032532,0.032534,0.032651524532554495,0.03273582740763316,0.032249,1,0.032249,663.0,1,False,0.03264199999999991,0.032666857142857234,0.03274428000000006,0.18993897,0.01960963098065113,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.03145342857142873,0,go_long,0.03147979999999988,0.03130500000000007,go_short,do_nothing,0.031321288610918124,do_nothing,0.031617,do_nothing,0.0,0.031617,False,0,0,0.03138280764676488,0.031617,go_short,0.031617
350,BEAMX/USDT:USDT,2024-04-02 19:45:00+00:00,second_buy,roi,0.031757,0.031795,0.0314462218549549,0.03135637834344271,0.031756,0,0.031795,8.0,0,False,0.03157099999999988,0.03149971428571444,0.03134484000000007,0.0857247,0.00899481242248538,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.03137957142857158,0,go_long,0.03138459999999989,0.03134124000000007,go_short,do_nothing,0.03139790035555095,do_nothing,0.031451,do_nothing,0.0,0.031451,False,0,0,0.03142378998125666,0.031451,go_short,0.031451
351,BEAMX/USDT:USDT,2024-04-02 22:45:00+00:00,second_buy,roi,0.031545,0.031545,0.03144336442445003,0.031411179317173306,0.031528,0,0.031528,186.0,0,False,0.03142039999999988,0.03141457142857158,0.03138660000000006,0.00150572,0.0001583937311209083,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.0319605714285716,1,go_long,0.032067799999999855,0.03201216000000006,go_short,do_nothing,0.031949723175957366,do_nothing,0.031914,do_nothing,0.0,0.031914,False,0,0,0.031946193940443714,0.031914,go_short,0.031914
375,BEAMX/USDT:USDT,2024-05-31 06:30:00+00:00,second_buy,roi,0.026451,0.043488,0.02770070696343589,0.02696744964570993,0.026451,0,0.035838,308865.0,0,False,0.02814639999999984,0.027618571428571603,0.02653732000000004,1.58125764,0.2188480602384316,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.027981857142857326,0,go_long,0.027927799999999826,0.028206480000000048,go_short,do_nothing,0.02809335973483391,do_nothing,0.027854,do_nothing,0.0,0.027854,False,0,1,0.028041198345882777,0.027854,go_short,0.027854
373,BEAMX/USDT:USDT,2024-05-24 00:15:00+00:00,second_buy,roi,0.027368999999999997,0.027451,0.02725777646435184,0.027154707000817426,0.027257999999999998,1,0.027257999999999998,1158.0,0,False,0.0272971999999998,0.02731857142857161,0.02700364000000001,0.02981145,0.0036517849763563633,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.02702600000000019,1,go_long,0.026970199999999788,0.02713212000000001,go_short,do_nothing,0.027063231166664578,do_nothing,0.026913,do_nothing,0.0,0.026913,False,0,1,0.027019702856742187,0.026913,go_short,0.026913
372,BEAMX/USDT:USDT,2024-05-20 16:45:00+00:00,second_buy,roi,0.026892,0.027812999999999997,0.02649390120872605,0.026125900557006997,0.026885,0,0.027756,5406.0,0,False,0.02692459999999981,0.02670000000000019,0.026001120000000016,0.04502479,0.0054349492149458395,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.027318142857143037,1,go_long,0.0273189999999998,0.02698236000000001,go_short,do_nothing,0.02714644356088282,do_nothing,0.027226999999999998,do_nothing,0.0,0.027226999999999998,False,0,0,0.02725773582150672,0.027226999999999998,go_short,0.027226999999999998
370,BEAMX/USDT:USDT,2024-05-14 20:45:00+00:00,second_buy,roi,0.021377,0.021377,0.0213777215284882,0.021489976236461848,0.021370999999999998,1,0.021370999999999998,582.0,0,False,0.021388199999999812,0.021409285714285884,0.021409560000000008,0.0037784,0.00044385558162960407,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.021353000000000167,1,go_long,0.021357999999999815,0.021311760000000016,go_short,do_nothing,0.021407528011420554,do_nothing,0.021358,do_nothing,0.0,0.021358,False,0,0,0.02134910906497286,0.021358,go_short,0.021358
369,BEAMX/USDT:USDT,2024-05-13 22:15:00+00:00,second_buy,roi,0.022196999999999998,0.022215,0.02217895896414562,0.02230936769210069,0.022196999999999998,0,0.022215,2303.0,0,False,0.022102999999999793,0.022139857142857305,0.022299760000000005,0.320566,0.03611151101585493,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.02138742857142874,1,go_long,0.021424799999999813,0.021428000000000006,go_short,do_nothing,0.0215098538822091,do_nothing,0.02137,do_nothing,0.0,0.02137,False,1,0,0.02138056973813641,0.02137,go_short,0.02137
