,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),ema-26 (exit),sma-25 (exit),open (exit),long-large-rl (exit),short-bid-rl (exit),long-small-rl (exit),high (exit),long-bid-rl (exit),short-small-rl (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),short_kdj (exit),long_jcrosk (exit),low (exit),short-large-rl (exit),ema-12 (exit),sma-07 (exit),close (exit),sma-compare (exit)
1067,BAKE/USDT:USDT,2022-10-29 17:45:00+00:00,second_buy,roi,0.2518,0.28140000000000004,0.2493352568050896,0.24630309199695147,0.2518,0,0.26480000000000004,643483.0,0,False,0.25216000000004046,0.25065714285715945,0.24451599999999957,0.2831076,0.031221877491658955,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.26025233958669824,0.2623559999999997,0.2589,go_short,go_long,do_nothing,0.2589,go_long,go_short,0.0,0.2600600000000404,1,False,0,0.2589,go_short,0.25934858416629764,0.2597142857143023,0.2589,0
976,BAKE/USDT:USDT,2021-09-10 19:30:00+00:00,second_buy,roi,1.98,1.98,1.9700557087075228,1.9719999414841307,1.963,1,1.963,537.0,0,False,1.984400000000015,1.9808571428571535,1.9524799999999964,0.2347748,0.02602602602602603,0,do_nothing,go_short,go_short,go_short,go_long,go_long,1.9452177125973307,1.952479999999996,1.944,go_short,go_long,do_nothing,1.944,go_long,go_short,0.0,1.945200000000017,1,False,0,1.944,go_short,1.9595354994101255,1.9454285714285855,1.944,1
1068,BAKE/USDT:USDT,2022-10-30 01:00:00+00:00,second_buy,roi,0.2566,0.2566,0.2596904411887447,0.25914498533916447,0.2566,1,0.2566,1790.0,0,False,0.2594200000000404,0.25948571428573086,0.2620519999999997,0.24555456,0.027087110649291896,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.25024935394902276,0.24988799999999967,0.2504,go_short,go_long,do_nothing,0.2504,go_long,go_short,0.0,0.2505000000000403,1,False,1,0.2504,go_short,0.2504613176057122,0.25032857142858783,0.2504,0
1041,BAKE/USDT:USDT,2022-04-29 20:00:00+00:00,second_buy,roi,0.656,0.656,0.6581154410591982,0.6666023790809308,0.636,1,0.643,126300.0,0,False,0.6524000000000261,0.654000000000014,0.668280000000001,0.2327416,0.026026026026026022,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.6367094314413075,0.6372000000000012,0.634,go_short,go_long,do_nothing,0.634,go_long,go_short,0.0,0.6366000000000261,1,False,0,0.634,go_short,0.6377268816418882,0.6367142857142997,0.634,1
1042,BAKE/USDT:USDT,2022-04-30 08:30:00+00:00,second_buy,roi,0.63,0.63,0.6350618266041833,0.636858223742489,0.625,1,0.626,15109.0,0,False,0.6338000000000261,0.6354285714285854,0.6364400000000012,0.4866192,0.054471540783940134,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.5884530202185835,0.5945200000000012,0.586,go_short,go_long,do_nothing,0.586,go_long,go_short,0.0,0.5860000000000264,0,False,0,0.586,go_short,0.5955035228974221,0.5852857142857282,0.586,0
1065,BAKE/USDT:USDT,2022-09-16 14:00:00+00:00,second_buy,roi,0.2209,0.22210000000000002,0.22443586206295685,0.2248371950182829,0.2209,1,0.22210000000000002,125169.0,1,False,0.22426000000003823,0.22440000000001611,0.22437999999999936,0.5522577,0.060707713566786045,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.21471436002980707,0.2196519999999994,0.2082,go_short,go_long,do_nothing,0.2082,go_long,go_short,0.0,0.20946000000003878,0,False,0,0.2082,go_short,0.21906568801141935,0.21307142857144476,0.2082,1
1043,BAKE/USDT:USDT,2022-04-30 21:15:00+00:00,second_buy,roi,0.582,0.582,0.5867168729681086,0.5931738325088767,0.581,1,0.581,11353.0,1,False,0.5850000000000264,0.5857142857142996,0.5922400000000011,0.8043105,0.08940265566771591,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.5271052352983558,0.5284000000000009,0.528,go_short,go_long,do_nothing,0.528,go_long,go_short,0.0,0.5272000000000264,0,False,0,0.528,go_short,0.529294456230253,0.5258571428571565,0.528,0
1061,BAKE/USDT:USDT,2022-08-27 00:00:00+00:00,second_buy,roi,0.251,0.251,0.25357746471245773,0.25509123566766406,0.248,1,0.24880000000000002,94280.0,0,False,0.2524000000000379,0.25314285714287343,0.25502399999999986,0.24557136,0.02699484049966365,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.2488402914589915,0.24980799999999997,0.248,go_short,go_long,do_nothing,0.248,go_long,go_short,0.0,0.2480000000000376,1,False,0,0.248,go_short,0.24939088689203714,0.24811428571430175,0.248,1
1060,BAKE/USDT:USDT,2022-08-20 20:15:00+00:00,second_buy,roi,0.25370000000000004,0.25370000000000004,0.2567057100566074,0.2604812252594488,0.25370000000000004,0,0.25370000000000004,243718.0,0,False,0.25290000000003776,0.25455714285715947,0.2617440000000001,0.237003,0.026026026026026022,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.2544460946601773,0.25532799999999983,0.2535,go_short,go_long,do_nothing,0.2535,go_long,go_short,0.0,0.2535600000000379,1,False,0,0.2535,go_short,0.25559453452107717,0.25408571428573057,0.2535,1
1059,BAKE/USDT:USDT,2022-07-26 00:15:00+00:00,second_buy,roi,0.266,0.266,0.2726430113084871,0.2742195009841176,0.263,1,0.265,64453.0,0,False,0.2714000000000379,0.2724285714285875,0.2743200000000001,0.27167207,0.029740809511801875,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.2572522027941724,0.2623120000000001,0.2525,go_short,go_long,do_nothing,0.2525,go_long,go_short,0.0,0.2533000000000377,0,False,0,0.2525,go_short,0.2610237232802047,0.25552857142858804,0.2525,1
