,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long-large-rl (exit),short-bid-rl (exit),volume (exit),open (exit),low (exit),short-large-rl (exit),sma-compare (exit),short-small-rl (exit),mean-grad-hist (exit),long-small-rl (exit),ema-12 (exit),sma-05 (exit),long-bid-rl (exit),high (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),close (exit),sma-25 (exit),short_kdj (exit)
123,ATOM/USDT:USDT,2022-05-01 23:00:00+00:00,second_buy,roi,17.88,17.881,17.90314249558044,17.972124219336695,17.66,1,17.77,185747.45,1,False,17.917800000000064,17.916285714285387,18.02420000000045,27.43694859,0.4479853360247772,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-28 17:00:00+00:00,go_long,go_short,0.0,9.578,9.578,go_long,0,do_nothing,1,do_nothing,9.514803379777701,9.583200000000023,go_short,9.578,0,9.551065919683529,9.582999999999714,9.578,9.505360000000435,False
122,ATOM/USDT:USDT,2021-09-18 14:30:00+00:00,second_buy,roi,39.161,39.684,37.90701774914552,36.95547931842094,38.739,0,39.479,1187532.58,0,False,38.552799999999834,38.420285714285434,36.65812000000014,37.66519327,0.6161520122463662,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-01 22:45:00+00:00,go_long,go_short,0.0,17.881,17.881,go_long,0,do_nothing,1,do_nothing,17.98829415688363,17.944000000000063,go_short,17.881,0,17.92735022204961,17.927999999999674,17.881,18.057920000000454,False
11,AAVE/USDT:USDT,2021-02-05 14:00:00+00:00,second_buy,roi,520.302,540.0,507.7240376676472,500.4605367343822,518.865,0,529.666,47409.9,0,False,515.2873999999997,510.5270000000006,499.6023600000008,20.10464567,0.3802543328787318,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2021-03-02 01:30:00+00:00,go_long,go_short,0.0,383.884,383.884,go_long,0,do_nothing,1,do_nothing,377.8170586908039,388.11619999999846,go_short,383.884,0,382.32371913667527,387.80542857142916,383.884,373.6499599999999,False
77,BCH/USDT:USDT,2022-05-01 23:00:00+00:00,second_buy,roi,281.52,281.53,281.39640937822907,281.5550580076477,279.09,1,279.25,8048.968,1,False,281.4360000000032,281.3785714285619,282.61880000000116,22.21158752,0.3634174483186184,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-28 17:00:00+00:00,go_long,go_short,0.0,177.88,177.88,go_long,0,do_nothing,1,do_nothing,177.4734801267187,177.92400000000373,go_short,177.88,0,177.81945970982167,178.05428571427618,177.88,177.49640000000116,False
127,NEO/USDT:USDT,2020-02-17 15:30:00+00:00,first_buy,stop_loss,14.153,14.357,13.929893255380787,13.910605413105413,14.141,0,14.26,6908.3,0,False,14.002999999999997,13.89571428571428,13.867600000000003,-17.69060182,-0.28819742395684594,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2020-03-08 16:15:00+00:00,go_long,go_long,8968.36,10.621,10.436,go_long,1,do_nothing,1,do_nothing,10.963608727872439,10.612799999999991,go_long,10.692,0,10.78251174764334,10.695285714285726,10.436,11.034199999999997,False
128,NEO/USDT:USDT,2020-03-08 16:30:00+00:00,first_buy,stop_loss,10.434,10.434,10.705971478775135,10.913341414696703,10.0,1,10.285,34686.94,0,False,10.518599999999992,10.600142857142869,10.996999999999998,-17.02848777,-0.27762615951015224,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2020-03-12 10:30:00+00:00,go_long,go_long,19569.91,8.012,7.806,go_long,1,do_nothing,1,do_nothing,8.333844502459588,8.054999999999987,go_long,8.012,0,8.127023855660005,8.076714285714292,7.853,8.331919999999982,False
90,SOL/USDT:USDT,2022-05-11 12:45:00+00:00,first_buy,stop_loss,62.01,62.01,61.88598097306057,63.24179567586021,52.27,1,54.22,2297762.0,0,False,60.4139999999975,61.48000000000023,63.16240000000025,-14.86841418,-0.2738488314782562,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-05-12 07:00:00+00:00,go_long,go_long,561191.0,42.44,40.49,go_long,1,do_nothing,1,do_nothing,45.20757673585694,42.091999999997526,go_long,43.19,1,43.20091054062606,42.2857142857145,40.53,46.00680000000022,False
89,SOL/USDT:USDT,2022-05-08 17:15:00+00:00,first_buy,stop_loss,77.45,77.46,77.30815974573149,77.62617176101956,74.7,1,75.48,1024857.0,1,False,77.21999999999761,77.25428571428598,77.84320000000025,-20.80020984,-0.2753336479341515,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-05-11 12:30:00+00:00,go_long,go_long,380382.0,62.42,61.35,go_long,1,do_nothing,1,do_nothing,63.96353932992903,62.3139999999975,go_long,63.08,0,63.27979569543522,62.97428571428595,62.01,63.60840000000024,False
129,NEO/USDT:USDT,2020-03-12 10:45:00+00:00,first_buy,stop_loss,7.853,7.853,7.933327877866158,8.225263428203322,6.764,1,6.868,56368.23,0,False,7.794799999999988,7.893714285714293,8.262599999999983,-16.98106849,-0.27659417531231817,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2020-03-13 01:45:00+00:00,go_long,go_long,11363.67,5.39,5.335,go_long,1,do_nothing,1,do_nothing,5.920888750166318,5.394999999999987,go_long,5.445,0,5.614708222655958,5.433857142857148,5.344,6.009959999999983,False
116,ATOM/USDT:USDT,2021-02-11 06:30:00+00:00,second_buy,stop_loss,15.43,15.828,15.313449700422314,15.192596580747878,15.425,0,15.633,167435.12,1,False,15.396799999999946,15.321142857142783,15.185760000000002,-16.77798915,-0.27402517790954906,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2021-02-12 06:15:00+00:00,go_long,go_short,273652.77,19.332,19.211,go_long,0,do_nothing,0,do_nothing,18.444815683509464,19.297199999999936,go_short,19.75,0,18.899611080014566,19.0444285714285,19.729,18.283319999999996,False
