,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),close_date,ema-12 (exit),high (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),close (exit),sma-25 (exit),short-small-rl (exit),ema-26 (exit),sma-compare (exit),low (exit),short_kdj (exit),long-small-rl (exit),open (exit),long_jcrosk (exit),sma-07 (exit)
332,ALT/USDT:USDT,2025-01-07 19:45:00+00:00,first_buy,force_exit,0.11651000000000002,0.11651000000000002,0.11794684047174088,0.12024352272862997,0.11528000000000001,0,0.11596000000000001,46352.0,0,False,0.11664800000000222,0.117095714285713,0.12064960000000076,-1.58373066,-0.11739723967925154,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.1020550556811935,0.10287,5833.0,0.10271800000000264,1,0.10282000000000001,0.10176240000000063,go_long,0.10236817272725804,0,0.10282000000000001,False,go_long,0.10287,0,0.10262714285714156
311,ALGO/USDT:USDT,2025-01-07 21:00:00+00:00,first_buy,force_exit,0.373,0.37470000000000003,0.37591180206404484,0.38301099810029143,0.37060000000000004,0,0.37360000000000004,7488.0,0,False,0.3732199999999931,0.3736428571428568,0.380615999999991,-0.26015885,-0.023145333604858053,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.3687066971066833,0.3699,2380.0,0.3685599999999927,1,0.36710000000000004,0.36806799999999085,go_long,0.3685381131073663,0,0.36710000000000004,False,go_long,0.3699,1,0.3679285714285712
1053,BAKE/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,0.2444,0.2444,0.24570344890011878,0.24731376993252355,0.2404,1,0.24180000000000001,280470.0,0,False,0.24534000000003847,0.24550000000001318,0.24652800000000127,-0.41723472,-0.031215580616159366,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.23411929950677524,0.23600000000000002,25393.0,0.23530000000003742,1,0.2354,0.2335920000000014,go_long,0.23469523049827148,0,0.2354,False,go_long,0.2359,1,0.234957142857156
381,APT/USDT:USDT,2024-11-11 13:45:00+00:00,first_buy,force_exit,11.79,11.876,11.374852411047955,11.189120355734444,11.565,0,11.736,384854.0,1,False,11.548399999999756,11.466428571428532,11.065519999999934,-3.05595454,-0.2600427289916217,0,go_long,go_long,2025-01-12 16:15:00+00:00,8.979994435689413,9.085,46154.0,9.040199999999786,1,9.022,8.95603999999993,go_long,9.007940061809038,0,9.018,False,go_long,9.075,1,9.026142857142725
1676,CETUS/USDT:USDT,2025-01-04 21:30:00+00:00,first_buy,force_exit,0.39905,0.40696000000000004,0.38998813957623085,0.38681469371881305,0.39848000000000006,0,0.40458000000000005,8636.0,0,False,0.39304400000000417,0.3907957142857147,0.3848623999999981,-3.02657849,-0.24842900860796296,0,go_long,go_long,2025-01-12 16:15:00+00:00,0.3059247906907094,0.30979,1368.0,0.3077960000000034,1,0.30739000000000005,0.30485359999999834,go_long,0.3065300975276993,0,0.30738000000000004,False,go_long,0.30910000000000004,1,0.30714428571428626
516,ARKM/USDT:USDT,2024-12-31 23:00:00+00:00,first_buy,force_exit,1.3901,1.3901,1.396662634273406,1.4064393508005877,1.3757000000000001,1,1.3796,16126.0,0,False,1.3921800000000242,1.3948857142857254,1.4080839999999903,-0.21896469,-0.0176200557453276,1,go_long,go_long,2025-01-12 16:15:00+00:00,1.3573279779769112,1.3767,1167.0,1.3639600000000318,1,1.3644,1.3537359999999907,go_long,1.3608047710573485,0,1.3644,False,go_long,1.3706,0,1.3622714285714408
1776,CHR/USDT:USDT,2025-01-07 17:45:00+00:00,first_buy,force_exit,0.23620000000000002,0.23620000000000002,0.2420807076582966,0.24781985012813726,0.2348,0,0.23550000000000001,261.0,0,False,0.23754000000000836,0.23849999999999524,0.25004800000000615,-1.1476085,-0.09711664870495874,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.21276899564190446,0.2141,116.0,0.2134000000000079,0,0.2139,0.21234800000000628,go_long,0.21303286806588032,0,0.2139,False,go_long,0.2141,0,0.21334285714285267
1832,CREAM/USDT:USDT,2025-01-08 04:45:00+00:00,first_buy,force_exit,12.58,12.58,12.788794977134504,12.918731894770458,12.51,1,12.55,6339.0,0,False,12.663999999999103,12.725714285714002,12.960799999999814,-1.24979427,-0.09407933904060856,1,go_long,go_long,2025-01-12 16:15:00+00:00,11.415940329084194,11.44,3411.0,11.381999999999122,1,11.35,11.371199999999824,go_long,11.377333054470935,0,11.35,False,go_long,11.44,1,11.381428571428302
1741,CHR/USDT:USDT,2023-01-22 15:00:00+00:00,first_buy,long-exit-profit,0.15149,0.1515,0.15011157389209168,0.14883214056417823,0.15149,1,0.1515,28.0,0,False,0.1507320000000104,0.15067714285714118,0.14875440000000387,3.0423564,0.33435831495237434,0,go_long,go_long,2023-02-08 00:30:00+00:00,0.19384910964707666,0.2034,6870.0,0.1968360000000106,0,0.2034,0.1953072000000035,go_long,0.19656253312556982,0,0.1968,False,go_long,0.1968,0,0.1964185714285697
924,BAIDOGE/USDT:USDT,2023-11-25 13:15:00+00:00,first_buy,long-exit-profit,0.16481,0.16871000000000003,0.15848093621571296,0.152643078798996,0.16440000000000002,0,0.16617,25841.0,0,False,0.1620079999999966,0.16018999999999903,0.15501560000000014,3.41711649,0.34169146870185846,0,go_long,go_long,2023-12-09 23:00:00+00:00,0.20186392880073717,0.24122000000000002,42755.0,0.210387999999997,0,0.22535000000000002,0.20224639999999997,go_long,0.20747220637952254,0,0.21779,False,go_long,0.22141000000000002,0,0.20755571428571323
1856,DMAIL/USDT:USDT,2024-12-30 18:30:00+00:00,first_buy,long-exit-profit,0.1948,0.1968,0.1991859517275899,0.20125283555910423,0.19340000000000002,1,0.1968,811.0,0,False,0.19775999999999788,0.19825714285714557,0.20137599999999709,4.82996792,0.3605588517173883,1,go_long,go_long,2025-01-06 21:15:00+00:00,0.24487126514480728,0.28,27121.0,0.2569799999999987,0,0.2679,0.2461799999999973,go_long,0.25110028027073567,0,0.2586,False,go_long,0.2609,1,0.2547428571428597
929,BAIDOGE/USDT:USDT,2024-02-17 05:30:00+00:00,first_buy,long-exit-profit,0.19588000000000003,0.21716000000000002,0.19059310869776988,0.18593009334063718,0.19531,0,0.21164000000000002,10886.0,0,False,0.1956319999999955,0.19225285714285648,0.18384439999999924,3.7903541,0.3567353650635953,0,go_long,go_long,2024-03-01 14:00:00+00:00,0.2739724085751431,0.29267000000000004,4072.0,0.2803299999999963,0,0.29037,0.27389959999999913,go_long,0.27762938698232664,0,0.28122,False,go_long,0.28232,0,0.278269999999999
930,BAIDOGE/USDT:USDT,2024-03-01 14:15:00+00:00,first_buy,long-exit-profit,0.29014,0.29144000000000003,0.2788802505235072,0.2748455634955029,0.28183,0,0.28576,5806.0,0,False,0.28242399999999634,0.2802071428571419,0.27466839999999915,3.75880547,0.32727743860518227,0,go_long,go_long,2024-03-02 02:30:00+00:00,0.3452254122793758,0.38391000000000003,10545.0,0.35468799999999623,0,0.37838000000000005,0.34682479999999927,go_long,0.35084107493632627,0,0.35133000000000003,False,go_long,0.35433000000000003,0,0.35191999999999907
931,BAIDOGE/USDT:USDT,2024-03-02 02:45:00+00:00,first_buy,long-exit-profit,0.38174,0.40448,0.3580624480230453,0.34911834470312575,0.38174,0,0.39778,7417.0,0,False,0.3667359999999963,0.3591642857142848,0.34876599999999924,4.29605738,0.3629645654154711,0,go_long,go_long,2024-03-04 16:30:00+00:00,0.43191316521797785,0.56,23558.0,0.4654679999999963,0,0.54271,0.4242651999999992,go_long,0.45392948426367163,0,0.4869,False,go_long,0.48832000000000003,0,0.4568442857142849
932,BAIDOGE/USDT:USDT,2024-03-04 16:45:00+00:00,first_buy,long-exit-profit,0.54271,0.5538000000000001,0.467935717453876,0.44028774557220174,0.49208,0,0.5449700000000001,19787.0,0,False,0.4889819999999963,0.4728785714285707,0.43057439999999914,3.82061913,0.3505963595311968,0,go_long,go_long,2024-03-09 16:30:00+00:00,0.674413115019897,0.75929,22134.0,0.7115219999999961,0,0.74985,0.6680667999999992,go_long,0.690553183756229,0,0.72145,False,go_long,0.7325,1,0.6954857142857129
1824,CREAM/USDT:USDT,2024-08-12 07:15:00+00:00,first_buy,long-exit-profit,18.68,18.93,19.303457350564496,19.720565088941445,18.49,1,18.56,2600.0,0,False,18.91599999999918,19.078571428571077,19.84199999999992,4.08629039,0.36422271429498415,1,go_long,go_long,2024-08-23 03:15:00+00:00,21.946471392533294,25.49,105983.0,24.08599999999918,0,25.39,21.519599999999905,go_long,23.28822460042616,0,23.55,False,go_long,23.55,0,24.035714285713937
934,BAIDOGE/USDT:USDT,2024-03-16 14:15:00+00:00,first_buy,long-exit-profit,0.5109400000000001,0.51137,0.5288250499474387,0.5438630835609374,0.49208,1,0.50737,7926.0,0,False,0.5196319999999955,0.5229085714285698,0.5479679999999988,3.9215134,0.38370184174297783,1,go_long,go_long,2024-03-17 16:15:00+00:00,0.5545956435693687,0.73189,24918.0,0.6462639999999953,0,0.7087500000000001,0.5374143999999987,go_long,0.6038765965999643,0,0.6213700000000001,False,go_long,0.62941,0,0.6365414285714274
