,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),high (exit),long-large-rl (exit),long_jcrosk (exit),sma-07 (exit),short-large-rl (exit),volume (exit),long-small-rl (exit),sma-05 (exit),mean-grad-hist (exit),low (exit),sma-compare (exit),sma-25 (exit),close (exit),ema-12 (exit),ema-26 (exit),open (exit),short_kdj (exit),short-small-rl (exit)
139,EGLD/USDT:USDT,2022-06-15 23:30:00+00:00,first_buy,stop_loss,57.4,57.5,53.11478362280685,50.65133355532467,55.76,0,56.1,80647.2,0,False,54.53200000000328,54.09142857143071,50.009600000001356,-23.21779716,-0.4135984764165934,0,go_long,go_long,go_long,go_long,36.06,go_long,0,36.1985714285733,go_long,11905.5,go_long,36.03000000000329,1,35.76,1,37.25480000000143,35.8,37.18129449996281,36.55315786929076,35.98,False,go_long
138,EGLD/USDT:USDT,2022-06-06 12:00:00+00:00,first_buy,stop_loss,69.39,69.87,71.40139460987345,72.2530106562253,64.21,1,66.32,555090.8,0,False,70.41200000000319,71.27142857143077,72.56200000000135,-23.4559417,-0.3924057471457622,1,go_long,go_long,go_long,go_long,41.78,go_long,0,42.44571428571645,go_long,47747.5,go_long,42.18800000000333,1,40.77,1,43.74320000000137,40.91,43.55139447028708,42.76995854816363,41.32,False,go_long
136,EGLD/USDT:USDT,2022-05-02 17:30:00+00:00,first_buy,stop_loss,124.97,124.99,125.6538812468764,126.07873519172851,123.45,1,123.91,4997.5,0,False,125.26000000000253,125.50428571428795,126.08880000000137,-19.62011565,-0.3955225428780598,1,go_long,go_long,go_long,go_long,85.22,go_long,0,84.8428571428594,go_long,43657.4,go_long,84.37000000000293,0,82.71,1,90.60160000000133,83.97,90.1186007422716,86.15737873791191,84.95,False,go_long
134,EGLD/USDT:USDT,2022-01-08 17:15:00+00:00,first_buy,stop_loss,192.34,192.69,194.95289570343013,196.60238713462385,189.29,1,189.97,14752.0,0,False,193.63800000000234,194.30000000000197,197.15520000000146,-22.71244227,-0.398275452299149,1,go_long,go_long,go_long,go_long,123.42,go_long,0,124.92857142857393,go_long,36154.1,go_long,124.32800000000222,1,118.99,1,130.3596000000013,119.69,129.79593614735685,125.86222916271856,122.9,False,go_long
133,EGLD/USDT:USDT,2021-12-04 04:45:00+00:00,first_buy,stop_loss,320.99,323.28,327.0482806500788,332.070703288602,313.88,1,314.08,10490.5,0,False,320.50800000000106,324.16285714285954,335.0292000000011,-11.57808243,-0.368231381174936,1,go_long,go_long,go_long,go_long,193.84,go_long,0,195.26000000000198,go_long,5678.4,go_long,194.83000000000231,1,192.0,1,197.54320000000146,192.39,197.13297810539376,195.85887674041743,193.57,False,go_long
132,EGLD/USDT:USDT,2021-11-23 06:15:00+00:00,first_buy,stop_loss,518.67,524.5,508.4727160053264,499.8746259364853,517.0,0,519.56,26454.1,0,False,513.6920000000013,512.048571428573,498.3136000000014,-16.15509195,-0.3106332979887017,0,go_long,go_long,go_long,go_long,324.39,go_long,0,327.1128571428595,go_long,6549.7,go_long,323.9240000000011,1,320.54,1,336.06600000000105,320.91,333.50995955169014,329.4061498591841,322.16,False,go_long
131,EGLD/USDT:USDT,2021-05-24 20:30:00+00:00,first_buy,stop_loss,104.311,104.311,100.49078740494424,98.24192998205405,102.114,1,103.318,7301.9,1,False,102.68740000000044,101.66771428571492,97.64036000000033,-20.5555771,-0.3975845275935306,0,go_long,go_long,go_long,go_long,64.89,go_long,0,64.71571428571522,go_long,4803.0,go_long,64.41200000000038,0,63.01,1,68.11120000000034,63.28,67.33995859628634,65.79185383531899,64.52,False,go_long
130,EGLD/USDT:USDT,2021-05-20 13:00:00+00:00,first_buy,stop_loss,121.476,122.262,116.72407335111043,114.34722219243432,120.0,0,120.237,9523.2,0,False,118.58980000000034,117.35614285714364,114.52212000000029,-23.67787163,-0.393482781545162,0,go_long,go_long,go_long,go_long,77.412,go_long,0,78.32571428571507,go_long,12781.7,go_long,77.23920000000045,1,73.825,1,81.4168400000003,75.325,81.57116091891875,78.79345082409289,74.604,False,go_long
146,COMP/USDT:USDT,2021-05-01 00:30:00+00:00,first_buy,stop_loss,748.18,749.0,740.1993815756255,732.6225105843071,744.05,0,748.09,1581.163,0,False,743.4040000000007,741.4699999999999,733.2095999999992,-25.06997867,-0.4082580617734428,0,go_long,do_nothing,go_long,go_long,523.0,go_long,0,535.4471428571431,go_long,10750.745,go_long,525.2580000000006,1,478.49,1,585.3743999999988,479.2,576.5304110287216,550.0785553198406,522.54,False,do_nothing
164,STORJ/USDT:USDT,2021-05-17 03:30:00+00:00,first_buy,stop_loss,1.4787,1.4913,1.5101285250942709,1.5415237290403585,1.4436,1,1.4468,743235.0,0,False,1.4907200000000063,1.4992285714285878,1.543687999999999,-23.99773092,-0.3948832528345302,1,go_long,do_nothing,go_long,go_long,1.1895,go_long,1,1.1943714285714429,go_long,2081765.0,go_long,1.166640000000006,1,0.9948,1,1.3046599999999986,0.9997,1.2875486883053167,1.225671100398833,1.1895,False,do_nothing
