,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short_kdj (exit),long-large-rl (exit),open (exit),ema-26 (exit),short-large-rl (exit),long_jcrosk (exit),sma-07 (exit),sma-25 (exit),short-small-rl (exit),close (exit),mean-grad-hist (exit),sma-05 (exit),long-bid-rl (exit),long-small-rl (exit),short-bid-rl (exit),sma-compare (exit),low (exit),volume (exit),ema-12 (exit),high (exit)
73,AAVE/USDT:USDT,2022-04-20 07:45:00+00:00,second_buy,short-exit-profit,184.868,187.524,183.9433775959419,182.9843602166405,184.868,1,185.456,18203.0,0,False,184.7109999999963,184.55999999999972,182.86847999999577,2.94274876,0.39790980511128776,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,113.251,114.69504653293808,go_long,0,114.17128571428539,116.13339999999603,go_long,111.21,1,113.57799999999591,go_short,go_long,go_short,1,111.143,62972.0,116.35416860399071,113.272
74,AAVE/USDT:USDT,2022-05-09 16:30:00+00:00,second_buy,short-exit-profit,111.208,112.089,114.134577835563,115.96141537406548,110.755,1,111.052,42639.0,0,False,112.65359999999592,113.47385714285682,115.78347999999603,3.08245287,0.396801758278452,1,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,72.084,74.99883825922501,go_long,1,73.47357142857106,79.88059999999594,go_long,66.807,1,72.18639999999586,go_short,go_long,go_short,1,66.613,57138.0,78.3526794616355,72.386
76,AAVE/USDT:USDT,2022-05-13 14:15:00+00:00,second_buy,short-exit-profit,90.853,109.967,89.18882533964646,88.39546086515314,90.589,0,91.018,171386.0,1,False,89.35419999999579,89.2622857142853,88.38743999999595,3.22910289,0.39444312959447175,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,56.861,58.13465347481614,go_long,0,58.43057142857047,59.1548399999957,go_long,55.275,1,57.74139999999611,go_short,go_long,go_short,1,55.226,44039.0,58.72057735551076,57.143
180,BNB/USDT:USDT,2022-05-22 03:15:00+00:00,second_buy,short-exit-profit,313.917,319.105,314.0476104172506,313.14644843866085,313.436,0,318.154,2090617.0,0,False,314.5238000000049,314.35928571428536,312.96171999999876,3.39138541,0.3952301756752022,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,194.672,196.72945820365555,go_long,1,195.88014285714215,199.44107999999906,go_long,192.177,1,195.1344000000052,go_short,go_long,go_short,1,192.142,638474.0,198.9547448433932,194.748
221,ALGO/USDT:USDT,2020-08-23 22:30:00+00:00,second_buy,short-exit-profit,0.6212,0.6334000000000001,0.595597334928105,0.5863923829398227,0.6106,0,0.6193000000000001,16036.0,0,False,0.6035000000000021,0.5970857142857114,0.5843960000000012,2.639379,0.43064727319006046,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.3904,0.39189941350937624,go_long,0,0.392528571428568,0.3984880000000019,do_nothing,0.3481,1,0.38758000000000087,go_short,go_long,go_short,1,0.3452,29523.0,0.39748797210655695,0.3904
196,ALGO/USDT:USDT,2020-03-09 00:15:00+00:00,second_buy,short-exit-profit,0.2883,0.2969,0.3026008399758782,0.3076279779944293,0.28800000000000003,1,0.2964,14791.0,0,False,0.29844000000000015,0.3005285714285729,0.30945599999999873,3.600969,0.4085428509093929,1,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.1864,0.20817881723303153,go_long,0,0.20467142857143059,0.2234759999999988,do_nothing,0.17370000000000002,1,0.1991000000000001,go_short,go_long,go_short,1,0.1605,80519.0,0.22147780234588224,0.19390000000000002
324,ALGO/USDT:USDT,2024-04-24 04:45:00+00:00,second_buy,short-exit-profit,0.2099,0.22790000000000002,0.208428243580507,0.20349823695568495,0.2096,0,0.22710000000000002,106265.0,0,False,0.21201999999999138,0.20954285714285867,0.20182399999999526,2.68505283,0.3943281353536635,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.1421,0.14348124737148887,go_long,0,0.1426857142857159,0.1458079999999949,do_nothing,0.139,1,0.14195999999999215,go_short,go_long,go_short,1,0.1368,139384.0,0.145042858930719,0.1421
910,APT/USDT:USDT,2022-10-19 08:00:00+00:00,second_buy,short-exit-profit,7.461,7.594,7.587305670065456,7.486957264957265,7.427,0,7.572,2445077.0,0,False,7.604599999999998,7.643,7.398040000000001,3.3824527,0.40687839194118114,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,4.61,4.735011128214804,go_long,0,4.704000000000017,4.869200000000002,go_long,4.476,1,4.671199999999983,go_short,go_long,go_short,1,4.476,457714.0,4.8727001178604334,4.619
931,APT/USDT:USDT,2024-07-17 08:00:00+00:00,second_buy,short-exit-profit,7.308,7.348,7.2471834425414965,7.194344671656361,7.304,1,7.333,6589.0,0,False,7.30299999999976,7.272571428571363,7.1789999999999194,3.23217675,0.4020344154980568,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,4.6530000000000005,4.655690679679665,go_long,1,4.633428571428519,4.7698799999999295,go_long,4.396,1,4.628199999999748,go_short,go_long,go_short,1,4.305,804273.0,4.79592977134237,4.659
929,APT/USDT:USDT,2024-05-20 20:00:00+00:00,second_buy,short-exit-profit,8.87,9.016,8.689477368800768,8.561466126590183,8.855,0,8.998,85610.0,0,False,8.759599999999725,8.716714285714215,8.52235999999993,3.45541493,0.426500179262852,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,5.593,5.66957052033136,go_long,0,5.5984285714285145,5.928479999999926,go_long,5.267,1,5.572199999999759,go_short,go_long,go_short,1,5.159,795580.0,5.846025310245382,5.615
