,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,mean-grad-hist (exit),high (exit),long_jcrosk (exit),sma-05 (exit),long-small-rl (exit),short_kdj (exit),close (exit),ema-26 (exit),long-large-rl (exit),sma-07 (exit),sma-25 (exit),short-large-rl (exit),long-bid-rl (exit),short-bid-rl (exit),volume (exit),ema-12 (exit),short-small-rl (exit),sma-compare (exit),low (exit),open (exit)
441,NEAR/USDT:USDT,2021-02-12 08:15:00+00:00,first_buy,long-exit-profit,3.8545,3.9513,3.757600292917695,3.661464168907282,3.836,0,3.9491,211973.0,0,False,3.8232600000000105,3.8069000000000157,3.614743999999999,25.83912333,0.4358442241579714,0,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2021-03-10 07:15:00+00:00,0,6.2097,0,5.460580000000024,go_long,False,5.9094,5.327404647642162,do_nothing,5.363442857142863,5.151272000000001,do_nothing,go_long,go_long,2290536.0,5.26193629914866,do_nothing,0,5.4856,5.4866
384,CRV/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,long-exit-profit,0.234,0.23500000000000001,0.23853618813810037,0.24124892066216425,0.203,1,0.219,122795161.3,0,False,0.23479999999997342,0.23785714285717385,0.24243999999999327,24.9790103,0.40680279293201294,1,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-08-12 17:15:00+00:00,0,0.314,0,0.30259999999997633,go_short,False,0.31,0.2998135896974808,do_nothing,0.3014285714286024,0.2935599999999935,do_nothing,go_long,go_long,37839426.3,0.29394262527735765,do_nothing,0,0.30000000000000004,0.303
382,CRV/USDT:USDT,2024-06-13 03:00:00+00:00,first_buy,long-exit-profit,0.303,0.308,0.3265828650294192,0.34269829079576425,0.245,1,0.247,223793384.3,0,False,0.3113999999999712,0.3235714285714582,0.34911999999999344,24.19474241,0.394120966970311,1,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-06-17 05:45:00+00:00,0,0.34600000000000003,0,0.3359999999999713,go_short,False,0.34400000000000003,0.3315376950467507,do_nothing,0.3330000000000302,0.3271199999999936,do_nothing,go_long,go_long,29526390.0,0.32844688272963696,do_nothing,0,0.337,0.341
379,CRV/USDT:USDT,2023-08-01 03:45:00+00:00,first_buy,long-exit-profit,0.514,0.516,0.5352517452201274,0.5500193604364394,0.47600000000000003,1,0.499,119709834.2,0,False,0.5275999999999819,0.5301428571428786,0.5519199999999899,24.32068584,0.39617704816548394,1,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2023-12-09 08:30:00+00:00,1,0.706,0,0.6997999999999817,go_short,False,0.704,0.69882537260979,do_nothing,0.6991428571428806,0.6962399999999925,do_nothing,go_long,go_long,2791938.9,0.6967886268178582,do_nothing,0,0.6990000000000001,0.7000000000000001
376,CRV/USDT:USDT,2023-01-16 06:00:00+00:00,first_buy,long-exit-profit,0.893,0.932,0.8633516629180789,0.8520295864666911,0.892,0,0.905,23765923.5,1,False,0.8749999999999902,0.8665714285714534,0.8465599999999921,24.13822218,0.39358084614325584,0,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2023-02-19 00:45:00+00:00,0,1.275,0,1.257599999999983,go_short,False,1.2690000000000001,1.2528187143929739,do_nothing,1.25728571428574,1.2359599999999922,do_nothing,go_long,go_long,2945036.8,1.2396683524295047,do_nothing,0,1.256,1.259
375,CRV/USDT:USDT,2022-11-09 17:30:00+00:00,first_buy,long-exit-profit,0.656,0.659,0.6670367029539309,0.6841944923160939,0.634,1,0.638,3626431.3,1,False,0.6539999999999943,0.6567142857143082,0.6875199999999961,26.17122926,0.4264282597448481,1,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2023-01-16 05:45:00+00:00,0,0.897,0,0.8635999999999902,go_short,False,0.893,0.8557792379940932,do_nothing,0.8584285714285962,0.8437599999999921,do_nothing,go_long,go_long,9185505.5,0.8477919533840265,do_nothing,0,0.863,0.864
373,CRV/USDT:USDT,2022-10-13 07:30:00+00:00,first_buy,long-exit-profit,0.76,0.764,0.7795765095631746,0.7924551309425298,0.753,1,0.76,2781646.8,0,False,0.7667999999999908,0.7732857142857364,0.7955999999999953,24.15992629,0.3935268782935581,1,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-11-04 14:45:00+00:00,0,1.069,1,1.0393999999999926,go_short,False,1.062,1.0222818437103849,do_nothing,1.0312857142857366,0.9974799999999959,do_nothing,go_long,go_long,7061710.5,1.0023691074325822,do_nothing,0,1.048,1.048
371,CRV/USDT:USDT,2022-07-05 15:00:00+00:00,first_buy,long-exit-profit,0.9,0.901,0.8758004053957642,0.865715915489942,0.882,1,0.888,7430133.1,1,False,0.888799999999993,0.8835714285714467,0.8591200000000011,24.23788406,0.3947387618332011,0,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-07-18 15:15:00+00:00,0,1.2429999999999999,0,1.227399999999994,go_short,False,1.238,1.211052516120363,do_nothing,1.2274285714285906,1.1876400000000014,do_nothing,go_long,go_long,3240615.8,1.1925030799857805,do_nothing,0,1.229,1.236
385,CRV/USDT:USDT,2024-08-12 17:30:00+00:00,first_buy,long-exit-profit,0.309,0.319,0.30261149897479145,0.2957246530345904,0.309,0,0.318,63559569.9,0,False,0.30639999999997636,0.3044285714286024,0.2949599999999935,25.47512435,0.4148803706962691,0,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2024-11-22 22:30:00+00:00,0,0.458,0,0.4501999999999839,go_short,False,0.458,0.4463548877043425,do_nothing,0.4471428571428898,0.44355999999999507,do_nothing,go_long,go_long,4603205.6,0.44201778877240877,do_nothing,0,0.45,0.451
370,CRV/USDT:USDT,2022-06-13 09:00:00+00:00,first_buy,long-exit-profit,0.675,0.676,0.6892725009287699,0.7212274143584584,0.645,1,0.646,5701590.8,0,False,0.6769999999999938,0.6800000000000181,0.7108000000000009,24.56763944,0.40014439157123016,1,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-07-05 14:45:00+00:00,0,0.909,0,0.887799999999993,go_short,False,0.9,0.8735822972859031,do_nothing,0.8797142857143038,0.8569600000000009,do_nothing,go_long,go_long,9164229.8,0.8639331887291374,do_nothing,0,0.888,0.889
