,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry),grads-ratio (entry)
454,BAND/USDT:USDT,2024-05-13 02:30:00+00:00,1.433,1.435,1.4486880067310757,1.4601054608885335,1.409,1,1.412,66432.1,1.462839999999996,0,0,go_short,1.43620000000001,1.4450000000000018,go_short,go_short,go_short,23.51725222,first_buy,trailing_stop_loss,go_short,go_short,-0.0555555555555493
455,BAND/USDT:USDT,2024-04-13 20:15:00+00:00,1.458,1.476,1.5509995798885752,1.620805551395702,1.228,1,1.339,824358.4,1.6447199999999944,0,0,go_short,1.505400000000008,1.5371428571428616,go_short,go_short,go_short,10.79206689,first_buy,trailing_stop_loss,go_short,go_short,-0.0555555555555493
456,BAND/USDT:USDT,2024-02-28 00:15:00+00:00,2.19,2.206,2.192525623080152,2.187960113960114,2.19,0,2.199,6040.0,2.18964,0,0,go_short,2.192399999999999,2.192714285714285,go_short,go_short,go_short,-10.74740146,first_buy,trailing_stop_loss,do_nothing,go_short,-0.0555555555555493
457,BAL/USDT:USDT,2024-04-29 13:45:00+00:00,3.772,3.783,3.782006165899071,3.8026793345101546,3.729,1,3.734,5147.46,3.800640000000007,1,0,go_short,3.7707999999999857,3.77342857142858,go_short,go_short,go_short,10.95757399,first_buy,trailing_stop_loss,go_short,go_short,-0.4727272727272504
458,BAL/USDT:USDT,2024-03-30 22:00:00+00:00,5.029,5.03,5.046294464608996,5.060238823998188,4.984,1,5.013,3563.26,5.066960000000006,0,0,go_short,5.025599999999983,5.037285714285732,go_short,go_short,go_short,-60.03140335,first_buy,trailing_stop_loss,do_nothing,go_short,-0.4727272727272504
459,BAL/USDT:USDT,2024-02-28 00:15:00+00:00,4.859,4.86,4.865466278600896,4.868398860398861,4.851,0,4.858,684.75,4.871400000000001,0,0,go_short,4.8572,4.862285714285714,go_short,go_short,go_short,-4.81464546,first_buy,trailing_stop_loss,do_nothing,go_short,-0.4727272727272504
460,BAKE/USDT:USDT,2024-05-09 15:45:00+00:00,0.2768,0.2797,0.2703478183389229,0.2674659110406315,0.2763,0,0.2768,910802.5,0.2654599999999997,0,0,go_short,0.2730999999999982,0.2713428571428557,go_short,go_short,go_short,-48.10830172,second_buy,trailing_stop_loss,do_nothing,go_short,2.945533769063206
461,BAKE/USDT:USDT,2024-04-15 06:30:00+00:00,0.2445,0.2508,0.2412645974325977,0.239777439911238,0.2445,0,0.2506,654071.2,0.2385400000000001,0,0,go_short,0.2440199999999995,0.2419142857142842,go_short,go_short,go_short,-24.56899005,second_buy,trailing_stop_loss,do_nothing,go_short,2.945533769063206
462,BAKE/USDT:USDT,2024-04-12 18:45:00+00:00,0.314,0.3143,0.3211510299886676,0.335461147992564,0.2454,1,0.2738,10913456.4,0.3391720000000001,0,0,go_short,0.3093399999999995,0.3149999999999986,go_short,go_short,go_short,19.74438298,second_buy,trailing_stop_loss,go_short,go_short,2.945533769063206
463,BEAM/USDT:USDT,2024-05-20 15:45:00+00:00,0.026361,0.026868,0.0260026923169198,0.0258459839155056,0.026278,0,0.0267309999999999,10655200.0,0.02582808,0,0,go_short,0.0261275999999998,0.0260239999999999,go_short,go_long,go_short,-60.98606528,second_buy,trailing_stop_loss,do_nothing,go_short,0.4771593855974363
464,BICO/USDT:USDT,2024-02-28 00:15:00+00:00,0.3944,0.3952,0.3941129138457686,0.3926482905982906,0.3926,0,0.3933,11057.4,0.393128,0,0,go_short,0.3946200000000001,0.3945285714285715,go_short,go_short,go_short,-52.8454516,second_buy,trailing_stop_loss,do_nothing,go_short,0.7172641749300793
