,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),exit_reason,action
45,18.68,18.93,19.303457350564496,19.720565088941445,18.49,1,18.56,2600.0,19.84199999999992,0,0,18.91599999999918,19.07857142857108,4.08629039,first_buy,go_long,go_long,long-exit-profit,go_long
46,0.5109400000000001,0.51137,0.5288250499474387,0.5438630835609374,0.49208,1,0.50737,7926.0,0.5479679999999988,0,0,0.5196319999999955,0.5229085714285698,3.9215134,first_buy,go_long,go_long,long-exit-profit,go_long
47,0.5182300000000001,0.52019,0.523230737375554,0.5305590924015356,0.44358,1,0.47938,18092.0,0.5351255999999976,0,0,0.5169439999999929,0.5218657142857123,3.35997631,first_buy,go_long,go_long,long-exit-profit,go_long
48,0.44786,0.44813,0.453405817249312,0.47894739617325,0.27896,1,0.3676,36325.0,0.4861595999999976,0,0,0.4342199999999938,0.4413999999999978,3.72957748,first_buy,go_long,go_long,long-exit-profit,go_long
49,0.3822,0.3822,0.3840164784744003,0.3864293825767847,0.37696,1,0.38007,1316.0,0.384226799999998,0,0,0.3836159999999956,0.3843942857142842,4.09621312,first_buy,go_long,go_long,long-exit-profit,go_long
50,0.51931,0.5216200000000001,0.4880031633431898,0.4743543481085446,0.5119400000000001,0,0.52,3162.0,0.4652307999999974,0,0,0.5042659999999958,0.4980114285714266,3.40405506,first_buy,go_long,go_long,long-exit-profit,go_long
51,0.28767,0.28816,0.289835884044989,0.2928785832465794,0.28268,0,0.28816,925.0,0.2928187999999976,0,0,0.2882599999999963,0.2885471428571415,3.78687848,first_buy,go_long,go_long,long-exit-profit,go_long
52,0.2222,0.2222,0.2262806372533905,0.2292350812522621,0.22,1,0.2207,1025.0,0.2294719999999978,0,0,0.2240199999999953,0.2253571428571416,3.8993395,first_buy,go_long,go_long,long-exit-profit,go_long
53,0.301,0.3022,0.2906787071707614,0.2871053966310811,0.2982,0,0.2995,2555.0,0.2859079999999976,0,0,0.2940199999999952,0.2915571428571413,2.9304153,first_buy,go_long,go_long,long-exit-profit,go_long
54,0.2796,0.2796,0.2815841103169325,0.2849607824931279,0.2705,1,0.2708,893.0,0.2850719999999982,0,0,0.2794199999999943,0.2808142857142842,3.5539412,first_buy,go_long,go_long,long-exit-profit,go_long
55,0.3694,0.3694,0.3715114944421013,0.3791847834219334,0.3511,1,0.3544,1694.0,0.3817639999999974,1,0,0.3666999999999948,0.3673999999999968,4.13182976,first_buy,go_long,go_long,long-exit-profit,go_long
56,59.34,59.34,52.19648545684546,49.620554561050334,55.41,0,57.0,52359.0,48.46399999999992,0,0,54.66799999999936,53.91999999999986,5.34950878,first_buy,go_long,go_long,long-exit-profit,go_long
57,2.926,2.926,2.989584538416125,3.0404338858216677,2.776,1,2.845,15454.0,3.04312,0,0,2.9449999999999994,2.9558571428571447,3.4336268,first_buy,go_long,go_long,long-exit-profit,go_long
58,3.662,3.733,3.3940519532416698,3.327125935679463,3.593,0,3.733,2582.0,3.3401999999999976,0,0,3.443399999999999,3.3690000000000024,3.7498944,first_buy,go_long,go_long,long-exit-profit,go_long
59,2.868,2.868,2.9369560660168883,3.005562497229913,2.719,1,2.775,18584.0,3.0279199999999986,1,0,2.8698000000000103,2.8990000000000093,3.4658169,first_buy,go_long,go_long,long-exit-profit,go_long
