,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),exit_reason,action
881,319.82,324.11,307.8907196222173,303.3615666627995,315.12,0,316.56,79049.707,301.0275999999999,0,0,go_short,313.8019999999998,309.69714285714315,go_short,roi,go_short
882,314.85,315.03,314.3658898053827,313.4438216075753,313.35,1,313.4,9126.55,315.61319999999995,1,0,go_short,314.81799999999987,314.3157142857147,go_short,roi,go_short
883,311.95,312.12,312.0350394260921,312.29428629319733,307.62,1,308.39,19518.339,312.4079999999999,0,0,go_short,311.80199999999985,312.2571428571432,go_short,roi,go_short
884,406.77,417.7,401.2577831763796,383.7049077252718,406.76,1,409.08,96711.873,384.4303999999999,0,0,go_short,407.004,406.1828571428574,go_short,roi,go_short
885,446.84,448.68,435.3494354118832,421.914688383834,441.52,1,442.76,41280.213,418.1516,0,0,go_short,442.7999999999999,443.08142857142894,go_short,roi,go_short
886,450.73,455.48,451.71735289749296,453.7751376411375,449.99,0,453.19,19820.007,454.1939999999999,0,0,go_short,451.0939999999996,451.54571428571455,go_short,roi,go_short
887,78.62,78.89,78.97417553706595,79.60861038768232,78.59,1,78.71,17249.334,79.46079999999992,0,0,go_short,78.87399999999931,78.94999999999993,go_short,roi,go_short
888,0.3842,0.3868,0.3878419136214757,0.3963106570388391,0.3837,1,0.3839,1126260.5,0.3879160000000005,0,0,go_short,0.3871800000000006,0.3878285714285701,go_short,roi,go_short
889,0.733,0.735,0.7321951689791285,0.7363032343690488,0.73,0,0.734,560999.8,0.7372000000000011,0,0,go_short,0.7325999999999989,0.7325714285714309,go_short,roi,go_short
890,0.757,0.764,0.7748417260488695,0.7857864530620452,0.756,1,0.76,2783709.0,0.7914800000000013,0,0,go_short,0.7659999999999988,0.7700000000000028,go_short,roi,go_short
891,0.3514,0.3544,0.3552057051447753,0.3618437166729976,0.3476,1,0.3477,876225.9,0.3637800000000006,0,0,go_short,0.3530800000000004,0.3529999999999985,go_short,roi,go_short
892,0.3118,0.3181,0.3151044341453777,0.3190911835446143,0.3108,1,0.3179,1273608.4,0.3121600000000007,0,0,go_short,0.3144200000000005,0.3147428571428556,go_short,roi,go_short
893,0.3259,0.3263,0.3278906287794946,0.3279332921585349,0.3232,1,0.3243,600489.0,0.3281080000000015,0,0,go_short,0.3270800000000003,0.327528571428571,go_short,roi,go_short
894,0.3176,0.319,0.3247162444004481,0.3283410780107254,0.3148,1,0.3155,1310438.0,0.3309320000000016,1,0,go_short,0.3199600000000003,0.3226999999999995,go_short,roi,go_short
895,0.3159,0.3168,0.3161628825229629,0.3167092552607988,0.3147,1,0.3158,309216.3,0.315948000000002,0,0,go_short,0.3154199999999995,0.3156571428571421,go_short,roi,go_short
896,0.3455,0.3457,0.3467394161304714,0.3480890494973053,0.34,1,0.34,991055.6,0.3493520000000026,1,0,go_short,0.344359999999999,0.3458999999999975,go_short,roi,go_short
897,0.3007,0.3013,0.301449570079848,0.3027438624419107,0.3003,1,0.3005,120284.7,0.3024560000000024,0,0,go_short,0.300899999999999,0.3008857142857116,go_short,roi,go_short
898,1.04,1.046,1.04999473592894,1.0594354636078622,1.029,1,1.029,1888740.3,1.0663199999999988,0,0,go_short,1.038999999999998,1.0442857142857165,go_short,roi,go_short
899,0.937,0.942,0.950278545752122,0.9608138148004036,0.932,0,0.937,2353007.9,0.9678799999999992,0,0,go_short,0.9433999999999976,0.9421428571428596,go_short,roi,go_short
900,0.945,0.949,0.9494567331292229,0.946636899332099,0.939,1,0.946,1394943.1,0.94848,0,0,go_short,0.9479999999999974,0.9505714285714306,go_short,roi,go_short
901,0.97,0.973,0.9723431218171305,0.9739910419242442,0.966,1,0.97,862512.3,0.9732400000000008,1,0,go_short,0.9713999999999964,0.9702857142857156,go_short,roi,go_short
902,0.986,0.988,0.9856582535860624,0.9866836696889852,0.977,1,0.977,813851.4,0.9881200000000008,0,0,go_short,0.9855999999999964,0.9872857142857157,go_short,roi,go_short
903,1.04,1.042,1.048537312351365,1.053333222153384,1.025,1,1.038,6187817.1,1.0546000000000009,0,0,go_short,1.0461999999999985,1.0471428571428585,go_short,roi,go_short
904,0.75,0.754,0.7516271844687258,0.7554001420862897,0.745,0,0.746,2889851.7,0.7528000000000011,0,0,go_short,0.7491999999999988,0.7501428571428599,go_short,roi,go_short
905,0.928,0.935,0.9797450597431788,1.0275009533920614,0.916,0,0.921,4456533.8,1.0473200000000014,0,0,go_short,0.920799999999999,0.9501428571428584,go_short,roi,go_short
906,0.8260000000000001,0.8260000000000001,0.8351792386118925,0.8521016984961276,0.8190000000000001,0,0.8220000000000001,2119003.3,0.8578000000000015,1,0,go_short,0.8273999999999987,0.8258571428571443,go_short,roi,go_short
907,0.934,0.935,0.9095094929724052,0.8839687327198302,0.917,1,0.919,10675568.5,0.8694400000000009,0,0,go_short,0.9243999999999986,0.9245714285714318,go_short,roi,go_short
908,0.865,0.87,0.8751526855973882,0.8783022827967116,0.862,0,0.867,4444618.9,0.8945600000000009,0,0,go_short,0.8703999999999986,0.8701428571428601,go_short,roi,go_short
909,0.845,0.852,0.8519202949791896,0.8591572904606858,0.843,0,0.85,2879715.6,0.8590800000000007,0,0,go_short,0.8431999999999983,0.846000000000003,go_short,roi,go_short
910,0.85,0.852,0.8504275159198714,0.8523669083988697,0.847,1,0.848,577709.1,0.8530800000000011,1,0,go_short,0.850399999999998,0.8501428571428596,go_short,roi,go_short
911,0.8160000000000001,0.8170000000000001,0.8296407362551373,0.838962029289044,0.8,1,0.806,7049113.0,0.8418400000000009,0,0,go_short,0.819599999999998,0.82614285714286,go_short,roi,go_short
912,0.805,0.808,0.8119175438065923,0.8147015829112334,0.797,1,0.805,5589717.8,0.816320000000001,0,0,go_short,0.8097999999999983,0.8111428571428599,go_short,roi,go_short
913,0.8270000000000001,0.8270000000000001,0.8249333378178628,0.8251969995103775,0.8180000000000001,1,0.8190000000000001,1961722.7,0.8269200000000011,0,0,go_short,0.8257999999999995,0.8252857142857168,go_short,roi,go_short
914,0.808,0.81,0.8101181405967893,0.8135041293881823,0.806,0,0.808,1136567.9,0.813520000000001,0,0,go_short,0.8081999999999994,0.8088571428571454,go_short,roi,go_short
915,0.8230000000000001,0.8240000000000001,0.8207309709724789,0.8185273856248616,0.8200000000000001,1,0.8220000000000001,1368714.1,0.8186800000000014,0,0,go_short,0.8225999999999996,0.82214285714286,go_short,roi,go_short
916,0.8170000000000001,0.8170000000000001,0.8156703097341503,0.8142390113009683,0.8160000000000001,1,0.8160000000000001,276361.5,0.813400000000001,0,0,go_short,0.817399999999999,0.8164285714285741,go_short,roi,go_short
917,0.797,0.799,0.7959522064665108,0.7998621326953735,0.793,1,0.794,1418953.4,0.8016000000000011,0,0,go_short,0.7963999999999994,0.7952857142857174,go_short,roi,go_short
918,0.782,0.782,0.7858124689869159,0.7899075226747204,0.772,1,0.777,5043978.4,0.7893600000000014,0,0,go_short,0.7841999999999996,0.7851428571428599,go_short,roi,go_short
919,0.887,0.89,0.8853948200233477,0.8896373677907301,0.876,1,0.878,2159450.0,0.8900800000000012,0,0,go_short,0.8821999999999987,0.8821428571428583,go_short,roi,go_short
920,15.883,15.897,15.952658616045367,16.093619122586674,15.637,1,15.673,48850.3,16.10607999999994,0,0,go_short,15.880000000000004,15.892714285714243,go_short,roi,go_short
921,11.938,11.999,12.027814512568469,12.289235640848776,11.816,0,11.984,40173.9,12.176719999999932,0,0,go_short,11.901199999999957,11.950428571428532,go_short,roi,go_short
922,16.383,16.387,16.406319420118777,16.404813715789533,16.259,1,16.3,8485.3,16.329519999999935,0,0,go_short,16.42239999999999,16.44457142857138,go_short,roi,go_short
923,2.1999,2.211,2.1925346911668324,2.187389401639084,2.1886,1,2.195,733239.5,2.179280000000007,0,0,go_short,2.1954999999999907,2.1955000000000053,go_short,roi,go_short
924,2.1959,2.2253,2.186723032503662,2.1798319824717325,2.1959,0,2.2181,802125.3,2.173352000000007,0,0,go_short,2.19575999999999,2.19108571428572,go_short,roi,go_short
925,2.2344,2.2391,2.22449760746585,2.221065860900937,2.2288,0,2.2318,260334.4,2.227108000000006,0,0,go_short,2.230299999999989,2.22678571428572,go_short,roi,go_short
926,2.2051,2.2075,2.2160550167473434,2.220960626566048,2.193,1,2.1935,503630.5,2.225840000000006,0,0,go_short,2.207099999999989,2.212714285714292,go_short,roi,go_short
927,2.8348,2.8515,2.84032269741992,2.849522694901915,2.8296,0,2.8498,586963.0,2.849120000000001,0,0,go_short,2.8412599999999903,2.837828571428582,go_short,roi,go_short
928,2.8200000000000003,2.8316,2.8396515687766386,2.8707582860655583,2.8011,0,2.803,1094024.7,2.884156000000002,0,0,go_short,2.8256399999999893,2.828385714285724,go_short,roi,go_short
929,2.7806,2.7857000000000003,2.7917873166011056,2.8014212751048584,2.7774,1,2.7844,289222.5,2.795428000000001,0,0,go_short,2.7877399999999897,2.792385714285724,go_short,roi,go_short
930,2.7289,2.7409,2.7367779897047853,2.739800280535192,2.7274000000000003,1,2.7387,355247.7,2.731451999999998,0,0,go_short,2.7359199999999904,2.740000000000008,go_short,roi,go_short
931,2.7066,2.7128,2.7038746905579667,2.7140510015351698,2.6928,0,2.6977,777475.4,2.7169679999999987,0,0,go_short,2.6999199999999908,2.6976142857142924,go_short,roi,go_short
932,2.6523,2.6701,2.663318745016116,2.6718593622300286,2.6519,0,2.6689,370095.7,2.669648000000001,0,0,go_short,2.6603799999999915,2.6594857142857213,go_short,roi,go_short
933,2.6222,2.6365,2.6296716148700905,2.6408083449384443,2.6222,0,2.6291,541044.3,2.6412920000000004,0,0,go_short,2.6234199999999914,2.6250571428571496,go_short,roi,go_short
