,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,exit_reason,action,regbot_long_-1 (entry),regbot_short_1 (entry),long_signal,short_signal
130,ENS/USDT:USDT,2023-08-04 02:30:00+00:00,8.85,8.86,8.90632237441006,8.985621657982499,8.8,1,8.81,6980.5,9.001199999999807,0,0,8.863999999999958,8.871428571429037,3.4619808,first_buy,roi,go_long,-1,-1,1.0,0.0
131,BNB/USDT:USDT,2022-02-20 14:30:00+00:00,377.25,377.6,378.9042033145471,380.0267160479148,374.6,1,377.0,899.63,379.10599999999926,0,0,378.2399999999952,378.464285714285,38.14530474,first_buy,roi,go_long,-1,-1,1.0,0.0
132,1INCH/USDT:USDT,2022-10-13 10:45:00+00:00,0.5415,0.5465,0.5483500452183068,0.5517881950574747,0.534,1,0.5455,739741.8,0.5517000000000084,0,0,0.5466000000000089,0.5478571428571491,8.37371545,first_buy,roi,go_long,-1,-1,1.0,0.0
133,BSV/USDT:USDT,2022-03-07 00:30:00+00:00,77.3,77.65,78.3651685038826,78.9066104374997,76.85,0,77.55,20.25,79.15200000000016,0,0,77.53999999999911,77.92857142857117,47.68842908,first_buy,roi,go_long,-1,-1,1.0,0.0
134,EGLD/USDT:USDT,2023-08-26 12:15:00+00:00,25.15,25.15,25.146066096771527,25.160474951152697,25.15,1,25.15,0.91,25.16600000000068,0,0,25.150000000000546,25.14285714285496,3.51169508,second_buy,roi,,1,1,1.0,0.0
135,BSV/USDT:USDT,2022-10-21 09:30:00+00:00,46.2,46.2,46.35154790513882,46.50913814069744,45.7,1,46.05,883.18,46.56200000000022,0,0,46.209999999998686,46.27857142857079,9.64715083,first_buy,roi,go_long,-1,-1,1.0,0.0
136,BSV/USDT:USDT,2022-10-26 22:15:00+00:00,48.25,48.3,48.28982181386747,48.33947299698967,48.25,0,48.3,155.64,48.36200000000021,0,0,48.26999999999877,48.29285714285652,1.72918941,first_buy,roi,go_long,-1,-1,1.0,0.0
137,EGLD/USDT:USDT,2023-08-21 23:00:00+00:00,26.8,26.8,26.80395569476857,26.80171198162156,26.7,1,26.75,227.43,26.76000000000067,0,0,26.830000000000563,26.828571428569244,12.81759375,second_buy,roi,,1,1,1.0,0.0
138,BSV/USDT:USDT,2022-12-28 03:15:00+00:00,42.5,42.5,42.451794740943214,42.63679132418815,41.3,1,41.35,2688.5,42.70800000000011,0,0,42.31999999999875,42.42857142857064,5.00678974,first_buy,roi,go_long,-1,-1,1.0,0.0
139,BSV/USDT:USDT,2023-01-04 11:30:00+00:00,42.65,42.65,42.71376935940918,42.69514422233895,42.45,1,42.5,77.45,42.74400000000015,0,0,42.6699999999989,42.7214285714279,7.79389259,first_buy,roi,go_long,-1,-1,1.0,0.0
140,BSV/USDT:USDT,2023-01-05 04:45:00+00:00,44.1,44.1,43.95147723914878,43.730322447325655,43.9,1,43.9,31.22,43.69400000000013,1,0,43.999999999998906,43.98571428571363,6.02997356,first_buy,roi,go_long,-1,-1,1.0,0.0
141,EGLD/USDT:USDT,2023-08-20 08:00:00+00:00,27.7,27.75,27.6979370825372,27.707995889211254,27.7,0,27.75,144.32,27.710000000000687,0,0,27.690000000000587,27.671428571426382,7.67248785,second_buy,roi,,1,1,1.0,0.0
142,BSV/USDT:USDT,2023-03-03 01:45:00+00:00,40.25,40.3,40.617293242369605,41.19130031185581,26.75,1,35.55,22990.21,41.45200000000016,0,0,40.18999999999924,40.66428571428493,18.19977454,first_buy,roi,go_long,-1,-1,1.0,0.0
143,EGLD/USDT:USDT,2023-08-08 02:15:00+00:00,30.8,30.85,30.848519661368734,30.84589240820583,30.7,0,30.85,262.73,30.852000000000675,0,0,30.83000000000061,30.85714285714067,22.29499788,second_buy,roi,,1,1,1.0,0.0
144,BSV/USDT:USDT,2023-05-08 12:15:00+00:00,30.6,30.65,30.53848562268701,30.56199000330514,30.45,1,30.45,95.47,30.45400000000015,0,0,30.57999999999916,30.59285714285588,8.95215398,first_buy,roi,go_long,-1,-1,1.0,0.0
145,ARPA/USDT:USDT,2022-10-13 07:45:00+00:00,0.03105,0.03109,0.0314272502351545,0.0317935655948284,0.03022,1,0.03047,3207340.0,0.0318888000000001,0,0,0.0310340000000001,0.0312628571428566,39.76484327,first_buy,roi,go_long,-1,-1,1.0,0.0
146,SC/USDT:USDT,2023-08-17 12:15:00+00:00,0.002938,0.002941,0.0029402385184437,0.0029492104660388,0.002933,0,0.002933,721980.0,0.0029534,0,0,0.0029356000000002,0.0029365714285715,10.56161178,second_buy,roi,,1,1,1.0,0.0
147,SC/USDT:USDT,2022-12-19 22:00:00+00:00,0.00236,0.00237,0.0023493472551759,0.0023556267409025,0.00235,1,0.00235,80750.0,0.002354,0,0,0.0023520000000001,0.0023471428571429,1.04210785,second_buy,roi,,1,1,0.0,0.0
148,PAXG/USDT:USDT,2022-04-06 09:00:00+00:00,1921.0,1921.0,1920.4113286237828,1920.5643340206827,1921.0,0,1921.0,0.015,1920.72,0,0,1920.2,1919.7142857142856,44.15918386,second_buy,roi,,1,1,0.0,0.0
149,ANKR/USDT:USDT,2022-12-28 12:15:00+00:00,0.0156,0.01565,0.0155695858582633,0.0156176639349492,0.0156,0,0.0156,194954.0,0.0155579999999999,0,0,0.0155799999999978,0.0155642857142845,8.22178979,second_buy,roi,,1,1,0.0,0.0
150,SC/USDT:USDT,2023-02-08 01:30:00+00:00,0.005339,0.007095,0.0051296844487866,0.0048138989166067,0.00522,0,0.006378,148486970.0,0.00466976,1,0,0.0055014000000001,0.0052980000000001,73.24351988,second_buy,roi,,1,1,0.0,0.0
151,SC/USDT:USDT,2023-02-12 20:15:00+00:00,0.004056,0.004068,0.0040586525431781,0.0040624326235781,0.004056,1,0.004059,202360.0,0.00404896,0,0,0.0040590000000001,0.0040598571428572,17.547166,second_buy,roi,,1,1,0.0,0.0
152,PAXG/USDT:USDT,2022-10-18 09:15:00+00:00,1648.0,1648.0,1648.2532114036578,1648.3772959031523,1645.0,1,1645.0,1.03,1648.84,0,0,1647.8,1648.142857142857,1.19627017,second_buy,roi,,1,1,0.0,0.0
153,SC/USDT:USDT,2023-09-01 00:15:00+00:00,0.002744,0.002751,0.0027465761489858,0.0027547595525093,0.002738,1,0.002751,130410.0,0.00274888,0,0,0.0027488000000002,0.0027482857142858,1.52313083,second_buy,roi,,1,1,0.0,0.0
154,PAXG/USDT:USDT,2022-03-15 15:00:00+00:00,1921.0,1924.0,1926.5159212669455,1930.7307692307693,1921.0,0,1924.0,1.121,1930.52,0,0,1924.6,1925.571428571429,1.65911282,second_buy,roi,,1,1,0.0,0.0
