,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
54,1.248,1.257,1.2367686893105738,1.2278862323213868,1.248,0,1.256,115.0,1.222639999999999,0,0,go_short,1.2415000000000105,1.244042857142862,go_short,go_short,go_short,-4.245396,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
55,105.45,105.45,105.66626155168994,106.56123572963892,102.2,1,104.2,498628.0,106.38399999999874,0,0,go_short,105.42000000000046,105.6785714285932,go_short,go_short,go_short,1.3036224,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
56,1.32,1.32,1.351635845601735,1.371619238664309,1.2406,1,1.266,1739.0,1.3765839999999985,0,0,go_short,1.338360000000007,1.3434428571428647,go_short,go_short,go_short,2.654213,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
57,0.9031,1.0461,1.0139636218348564,1.0856765937747228,0.9031,0,1.0461,1439.0,1.1115679999999957,0,0,go_short,0.923280000000007,0.9673000000000088,go_short,go_short,go_short,0.587927,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
58,0.9152,0.9303,0.8834633623767164,0.8618586604261266,0.9152,0,0.9286,1143.0,0.8578919999999954,0,0,go_short,0.9083800000000072,0.890271428571437,go_short,go_short,go_short,-1.324945,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
59,177.1,177.45,181.76912513083911,187.3498059022492,169.2,1,169.55,37435.0,189.4159999999989,1,0,go_short,177.21000000000055,179.32142857145058,go_short,go_short,go_short,-0.01196,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
60,1.0497,1.067,0.9852523282966598,0.9637189410623204,1.042,0,1.0562,3329.0,0.9607159999999942,0,0,go_short,1.0008200000000036,0.98952857142858,go_short,go_short,go_short,1.927727,second_buy,do_nothing,do_nothing,trailing_stop_loss,go_short,go_short
61,367.3,367.3,368.0455064335693,369.2681476183693,365.0,1,365.0,8184.0,369.3419999999997,0,0,go_short,367.3600000000012,367.9857142857354,go_short,go_short,go_short,-1.6821248,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
62,308.85,309.05,310.3194149423977,312.837152536659,305.0,0,306.1,24286.0,314.2399999999997,0,0,go_short,308.74000000000126,308.7785714285929,go_short,go_short,go_short,1.7696082,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
63,277.0,277.2,277.0194794077372,277.5732951931729,272.2,1,272.85,23549.0,277.6159999999996,0,0,go_short,276.3500000000028,276.92142857144967,go_short,go_short,go_short,0.9522594,first_buy,go_long,go_long,trailing_stop_loss,go_long,go_short
