,sma-05 (entry),sma-07 (entry),sma-25 (entry),sma-compare (entry),is_short,action,imit-action,nlpreds,reward
3514,74.7215999999997,75.31857142857163,77.30351999999992,1,1,do_nothing,go_short,do_nothing,0.2328064
3515,72.99159999999965,73.18414285714303,74.68651999999994,1,1,do_nothing,go_short,do_nothing,1.32719846
3516,74.84759999999964,74.77314285714303,73.55567999999997,0,1,do_nothing,go_short,do_nothing,0.28876569
3517,77.01639999999986,76.80028571428603,77.23076000000005,0,1,do_nothing,go_short,do_nothing,2.3686313
3518,74.0943999999999,74.55457142857176,76.02904000000004,1,1,do_nothing,go_short,do_nothing,0.24168888
3519,59.57019999999998,60.31757142857144,61.72467999999994,1,1,do_nothing,go_short,do_nothing,0.24269579
3520,106.87079999999976,105.95314285714296,111.69052000000018,0,1,do_nothing,go_short,do_nothing,0.21150633
3521,112.3445999999998,113.74014285714296,113.03692000000018,0,1,do_nothing,go_short,do_nothing,1.937495
3522,110.8447999999998,110.08442857142867,118.5746000000002,0,1,do_nothing,go_short,do_nothing,0.2273049
3523,113.9349999999996,114.7298571428573,112.95820000000012,0,1,do_nothing,go_short,do_nothing,5.6769645
3524,105.95039999999965,105.48771428571442,107.37624000000012,0,1,do_nothing,go_short,do_nothing,0.50087016
3525,115.44679999999984,117.49814285714297,122.51380000000016,1,1,do_nothing,go_short,do_nothing,0.32481808
3526,114.7165999999998,114.65385714285728,116.73604000000016,0,1,do_nothing,go_short,do_nothing,1.9548375
3527,109.10639999999982,109.121142857143,110.49424000000018,1,1,do_nothing,go_short,do_nothing,0.32777604
3528,107.9399999999998,108.00257142857164,111.03772000000016,1,1,do_nothing,go_short,do_nothing,0.25036671
3529,117.86559999999989,117.69028571428592,117.17604000000016,0,1,do_nothing,go_short,do_nothing,0.56888862
