,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,is_short,nlpreds,reward
697,0.5806,0.591,0.5626364283010646,0.551566845592759,0.5806,0,0.5881000000000001,1620982.1,0.5509360000000022,0,0,0,1,go_short,-9.32033929
698,0.9534,0.9928,0.931375314440789,0.8925930400779485,0.9527,0,0.9826,1281223.3,0.8844480000000016,0,0,0,1,go_short,-17.49921384
699,7.9538,7.9649,8.061967451350013,8.123005371591264,7.7701,1,7.8225,669400.6,8.179303999999956,0,0,1,0,go_short,15.43909562
700,1.6073,1.6891,1.608094187173565,1.5902956426399035,1.6037,0,1.6808,1926387.8,1.5852640000000011,0,0,0,1,go_short,3.00033658
701,1.4964,1.645,1.4317114783816005,1.4248648677504905,1.4964,0,1.6266,1694562.9,1.3813440000000037,0,0,0,1,go_short,-13.19645275
702,1.45,1.509,1.4473035368166678,1.4346357343778615,1.45,0,1.4984,1541571.4,1.4315720000000058,0,0,0,1,go_short,3.74155994
703,1.6903,1.6911,1.6610164302029409,1.6377632152732031,1.6735,0,1.6894,376804.9,1.6360120000000091,1,0,0,1,go_short,-3.92110069
704,2.0546,2.1379,2.0203103405378102,1.9688485690818849,2.045,0,2.1012,1718098.5,1.94830800000001,0,0,0,1,go_short,-13.5132443
705,1.6321,1.6763,1.6264371270832962,1.6180474985158513,1.6254,0,1.6613,649459.1,1.6206920000000102,0,0,0,1,go_short,13.75651338
706,1.2617,1.2618,1.2918050105522476,1.3496460407088926,1.1129,1,1.1185,1720477.8,1.3631000000000089,1,0,1,1,go_short,27.46941804
707,1.5261,1.562,1.528883756637135,1.529692194971776,1.526,0,1.5607,445934.5,1.5164320000000036,0,0,0,1,go_short,1.81619483
708,1.169,1.175,1.1587190807012115,1.1517033461011992,1.1681,0,1.1729,86387.0,1.1508040000000148,0,0,0,1,go_short,-2.87165391
709,9.45,9.983,10.338553737220511,10.616131006289276,9.326,1,9.816,1155100.0,10.613279999999998,0,0,1,0,go_short,0.73268837
710,4.967,4.989,5.111563945846184,5.242774692866511,4.883,1,4.934,941671.0,5.271120000000001,0,0,1,0,go_short,-13.16917748
711,13.276,13.322,13.416475496172753,13.526089119778726,13.144,0,13.155,100809.1,13.628959999999982,0,0,1,0,go_short,-3.74689211
712,13.63,13.679,13.691982978443692,13.774580611521875,13.355,1,13.416,268458.9,13.835239999999978,0,0,1,0,go_short,64.55950855
