,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
43,CRO/USDT:USDT,2023-07-22 04:45:00+00:00,0.0606,0.06085,0.0607277465331493,0.0607580559557465,0.0606,0,0.06085,91754.0,0.060812,0,0,0.0606899999999967,0.0607071428571399,2.42860026,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
44,CRO/USDT:USDT,2024-01-22 15:00:00+00:00,0.07911,0.07935,0.0797991373414871,0.0801559940434504,0.0788,1,0.07923,386156.0,0.0800947999999998,0,0,0.0795339999999963,0.0797799999999976,5.69297534,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
45,CTC/USDT:USDT,2022-11-10 20:30:00+00:00,0.4028,0.4028,0.4015966089147494,0.4001406859262502,0.4008,0,0.4011,16342.0,0.4071080000000014,0,0,0.3998400000000029,0.4000571428571412,10.50050469,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
46,CTC/USDT:USDT,2022-11-08 10:15:00+00:00,0.5064500000000001,0.5064500000000001,0.5047551759249856,0.5063097839004077,0.50315,1,0.5032,665.0,0.5000520000000016,0,0,0.5074400000000031,0.5068357142857127,45.76022281,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
47,CTC/USDT:USDT,2022-11-03 16:00:00+00:00,0.5305500000000001,0.5344,0.5301797316725155,0.5314614747809219,0.5305500000000001,0,0.53335,32307.0,0.5297260000000014,0,0,0.5318600000000031,0.5307999999999986,8.70939198,second_buy,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short
48,CRO/USDT:USDT,2023-06-21 11:45:00+00:00,0.05515,0.05525,0.0552297391522138,0.0551748624605282,0.05515,0,0.05525,160469.0,0.055238,0,0,0.0551899999999967,0.0552499999999973,12.50025461,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
49,CRO/USDT:USDT,2024-02-03 11:30:00+00:00,0.08164,0.08164,0.0815990232747624,0.0817164738566686,0.08158,1,0.0816,7502.0,0.0816527999999999,0,0,0.0816119999999962,0.0816085714285692,20.48409504,first_buy,go_long,do_nothing,go_short,go_long,go_short,go_short,roi,go_long
50,BSW/USDT:USDT,2023-08-21 18:15:00+00:00,0.0635,0.0637,0.0636577245597362,0.0640105361448991,0.0635,0,0.0636,5459.0,0.0642080000000015,0,0,0.0634600000000037,0.0634428571428614,1.87539918,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
51,BSW/USDT:USDT,2023-09-05 06:00:00+00:00,0.0622,0.0625,0.0623562457321543,0.0624843107471364,0.0622,0,0.0624,41660.0,0.0626120000000014,0,0,0.062260000000004,0.0622857142857184,11.09645155,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
52,BSW/USDT:USDT,2022-04-02 07:30:00+00:00,1.8922,2.1381,1.7893083413497604,1.688919576445584,1.8316,0,2.0494,4069736.0,1.6829440000000018,0,0,1.8730599999999984,1.8350428571428568,94.08574468,second_buy,do_nothing,go_long,go_long,go_long,do_nothing,go_long,roi,go_short
